"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"ARG","country","total","all",44494502,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARG_2018"
"ARG","rural","total","all",44494502,0.0813,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARG_2018"
"ARG","urban","1","all",44494502,NA,2018,932.834684804356,2400,6133.89714333889,51000,0.789,0.0387,NA,0.827,0.827,0.827,0.171,0.17,NA,NA,NA,0.997,0.998,NA,NA,NA,NA,0.96,0.584,0.266,0,0.134,0.572,0.26,0,0.124,0.849,0.983,0.832,0.957,0.0168,0.151,0.0434,0.0118,"ARG_2018"
"ARG","urban","2","all",44494502,NA,2018,3613.31739040106,4871.42857142857,21719.8551543418,69500,0.823,0.0399,NA,0.863,0.863,0.863,0.136,0.133,NA,NA,NA,0.996,0.999,NA,NA,NA,NA,0.952,0.563,0.28,0,0.148,0.542,0.27,0,0.137,0.843,0.99,0.812,0.949,0.00959,0.157,0.0511,0.00582,"ARG_2018"
"ARG","urban","3","all",44494502,NA,2018,6242.00623067014,7916.66666666667,31112.5744684146,84900,0.838,0.023,NA,0.861,0.861,0.861,0.135,0.133,NA,NA,NA,0.994,0.996,NA,NA,NA,NA,0.965,0.596,0.269,0,0.128,0.577,0.261,0,0.125,0.865,0.993,0.838,0.963,0.00731,0.135,0.0368,0.00605,"ARG_2018"
"ARG","urban","4","all",44494502,NA,2018,10034.9719504996,13000,40955.1164443409,105600,0.903,0.00886,NA,0.912,0.912,0.912,0.0883,0.0866,NA,NA,NA,0.998,1,NA,NA,NA,NA,0.988,0.714,0.21,0,0.0748,0.707,0.208,0,0.0725,0.924,0.999,0.915,0.987,0.00125,0.0761,0.0127,0.000832,"ARG_2018"
"ARG","urban","5","all",44494502,NA,2018,22430.6257849612,1540000,70451.1463206401,3080000,0.934,0.00344,NA,0.938,0.938,0.938,0.0624,0.0613,NA,NA,NA,0.999,1,NA,NA,NA,NA,0.992,0.821,0.147,0,0.0306,0.815,0.147,0,0.0293,0.968,0.999,0.962,0.991,0.000926,0.0315,0.00882,0.000388,"ARG_2018"
"ARG","urban","total","all",44494502,0.9187,2018,7258.38961262345,1540000,30181.348192912,3080000,0.857,0.0228,NA,0.88,0.88,0.88,0.118,0.117,NA,NA,NA,0.997,0.998,NA,NA,NA,NA,0.971,0.655,0.234,0,0.103,0.643,0.229,0,0.0975,0.89,0.993,0.872,0.969,0.00719,0.11,0.0306,0.00498,"ARG_2018"
"ARG","urban","1","female",44494502,NA,2018,1039.60480157976,2400,6663.25240682709,35060,0.798,0.0401,NA,0.839,0.839,0.839,0.161,0.159,NA,NA,NA,0.998,0.999,NA,NA,NA,NA,0.959,0.595,0.257,0,0.136,0.585,0.25,0,0.12,0.852,0.988,0.835,0.956,0.0125,0.148,0.0442,0.00847,"ARG_2018"
"ARG","urban","2","female",44494502,NA,2018,3545.21365655196,4866.66666666667,21746.6382988353,69500,0.822,0.0465,NA,0.868,0.868,0.868,0.129,0.126,NA,NA,NA,0.994,0.997,NA,NA,NA,NA,0.942,0.559,0.274,0,0.156,0.534,0.261,0,0.143,0.833,0.99,0.795,0.938,0.0105,0.167,0.0621,0.00597,"ARG_2018"
