"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"BOL","country","1","all",11347241,2018,0.2,248.29606403439,468.733325195312,1411.10080237561,4541.79998779297,0.148,0.185,0.0148,0.348,0.333,0.333,0.429,0.426,0.00546,0.278,NA,0.759,0.762,0.116,0.16,NA,NA,0.561,0.17,0.0919,0.235,0.235,0.13,0.0782,0.208,0.208,0.496,0.496,0.416,0.416,0.504,0.504,0.584,0.349,"BOL_2018"
"BOL","country","2","all",11347241,2018,0.2,651.931591836178,832.5,3561.75722286165,8700,0.289,0.329,0.0337,0.652,0.618,0.618,0.282,0.278,0.017,0.548,NA,0.896,0.9,0.244,0.299,NA,NA,0.663,0.38,0.115,0.213,0.213,0.267,0.0885,0.177,0.177,0.709,0.709,0.533,0.533,0.291,0.291,0.467,0.15,"BOL_2018"
"BOL","country","3","all",11347241,2018,0.2,1028.64762089771,1254.95884486607,5298.16585753306,14033.3333330154,0.357,0.369,0.0435,0.769,0.726,0.726,0.222,0.218,0.0145,0.647,NA,0.944,0.948,0.308,0.332,NA,NA,0.704,0.477,0.173,0.18,0.18,0.345,0.124,0.149,0.149,0.83,0.83,0.617,0.617,0.17,0.17,0.383,0.0667,"BOL_2018"
"BOL","country","4","all",11347241,2018,0.2,1582.60503998741,2000,7262.46901324411,21432.5002441406,0.471,0.326,0.0278,0.825,0.797,0.797,0.167,0.166,0.0248,0.703,NA,0.963,0.964,0.41,0.287,NA,NA,0.764,0.599,0.157,0.128,0.128,0.476,0.112,0.109,0.109,0.884,0.884,0.697,0.697,0.116,0.116,0.303,0.0379,"BOL_2018"
"BOL","country","5","all",11347241,2018,0.2,3125.28938397628,40820,11832.0101278306,66480.7504882812,0.568,0.286,0.0178,0.872,0.854,0.854,0.114,0.113,0.0209,0.747,NA,0.967,0.968,0.486,0.258,NA,NA,0.8,0.692,0.151,0.0864,0.0864,0.576,0.118,0.0666,0.0666,0.929,0.929,0.761,0.761,0.0708,0.0708,0.239,0.0232,"BOL_2018"
"BOL","country","total","all",11347241,2018,1,1184.10645128577,40820,5366.43616851613,66480.7504882812,0.367,0.299,0.0275,0.693,0.666,0.666,0.243,0.24,0.0166,0.585,NA,0.906,0.908,0.313,0.267,NA,NA,0.699,0.463,0.138,0.169,0.169,0.359,0.104,0.142,0.142,0.77,0.77,0.605,0.605,0.23,0.23,0.395,0.125,"BOL_2018"
"BOL","country","1","female",11347241,2018,0.0301912396958517,270.790704211211,466.666687011719,1293.02981390398,4000,0.185,0.274,0.0273,0.486,0.459,0.459,0.384,0.382,0.00449,0.335,NA,0.84,0.843,0.136,0.195,NA,NA,0.547,0.254,0.0761,0.219,0.219,0.176,0.0567,0.171,0.171,0.549,0.549,0.404,0.404,0.451,0.451,0.596,0.289,"BOL_2018"
"BOL","country","2","female",11347241,2018,0.0368442559175085,650.594521070026,831.666666666667,3242.05531743671,7860,0.316,0.323,0.0303,0.669,0.639,0.639,0.28,0.274,0.0263,0.549,NA,0.913,0.919,0.254,0.294,NA,NA,0.625,0.418,0.124,0.17,0.17,0.288,0.0923,0.115,0.115,0.711,0.711,0.495,0.495,0.289,0.289,0.505,0.146,"BOL_2018"
"BOL","country","3","female",11347241,2018,0.0416093951754707,1036.13255714723,1253.89998372396,5011.84696197784,11500,0.352,0.398,0.0284,0.779,0.75,0.75,0.217,0.212,0.0222,0.669,NA,0.963,0.967,0.305,0.359,NA,NA,0.693,0.5,0.154,0.184,0.184,0.337,0.103,0.15,0.15,0.838,0.838,0.59,0.59,0.162,0.162,0.41,0.0435,"BOL_2018"
"BOL","country","4","female",11347241,2018,0.048502843177276,1568.39159421304,2000,6823.49541464502,21432.5002441406,0.496,0.358,0.0189,0.872,0.854,0.854,0.119,0.118,0.0263,0.75,NA,0.972,0.972,0.428,0.318,NA,NA,0.775,0.631,0.16,0.12,0.12,0.503,0.119,0.101,0.101,0.912,0.912,0.723,0.723,0.0884,0.0884,0.277,0.0297,"BOL_2018"
"BOL","country","5","female",11347241,2018,0.0484489252729372,3162.9085282341,22133,10295.3382349593,33441.6669921875,0.608,0.283,0.018,0.909,0.891,0.891,0.0913,0.0913,0.0157,0.788,NA,0.982,0.982,0.523,0.264,NA,NA,0.784,0.743,0.133,0.0565,0.0565,0.602,0.102,0.0422,0.0422,0.932,0.932,0.746,0.746,0.0678,0.0678,0.254,0.0196,"BOL_2018"
"BOL","country","total","female",11347241,2018,0.201200543706738,1330.6814516058,22133,5374.63789568325,33441.6669921875,0.41,0.328,0.024,0.762,0.738,0.738,0.205,0.202,0.0194,0.638,NA,0.94,0.943,0.346,0.289,NA,NA,0.696,0.53,0.132,0.143,0.143,0.4,0.0967,0.111,0.111,0.806,0.806,0.608,0.608,0.194,0.194,0.392,0.0935,"BOL_2018"
"BOL","country","1","male",11347241,2018,0.169808760304148,244.296617408468,468.733325195312,1432.09329715437,4541.79998779297,0.139,0.164,0.0118,0.315,0.303,0.303,0.44,0.436,0.00569,0.265,NA,0.739,0.743,0.111,0.151,NA,NA,0.564,0.149,0.0957,0.238,0.238,0.119,0.0834,0.217,0.217,0.483,0.483,0.419,0.419,0.517,0.517,0.581,0.363,"BOL_2018"
"BOL","country","2","male",11347241,2018,0.163155744082491,652.233532645955,832.5,3633.95314147324,8700,0.282,0.331,0.0346,0.647,0.612,0.612,0.283,0.28,0.0146,0.548,NA,0.892,0.895,0.242,0.3,NA,NA,0.674,0.37,0.113,0.225,0.225,0.262,0.0875,0.194,0.194,0.708,0.708,0.543,0.543,0.292,0.292,0.457,0.152,"BOL_2018"
"BOL","country","3","male",11347241,2018,0.158390604824529,1026.68131948347,1254.95884486607,5373.38216272086,14033.3333330154,0.358,0.36,0.0482,0.766,0.718,0.718,0.224,0.22,0.0122,0.641,NA,0.938,0.942,0.309,0.324,NA,NA,0.708,0.469,0.179,0.18,0.18,0.347,0.13,0.149,0.149,0.827,0.827,0.626,0.626,0.173,0.173,0.374,0.0739,"BOL_2018"
"BOL","country","4","male",11347241,2018,0.151497156822724,1587.15557113836,2000,7403.00939075582,17000,0.462,0.314,0.031,0.808,0.777,0.777,0.184,0.183,0.0242,0.686,NA,0.96,0.961,0.403,0.277,NA,NA,0.76,0.587,0.156,0.131,0.131,0.467,0.11,0.111,0.111,0.875,0.875,0.688,0.688,0.125,0.125,0.312,0.0408,"BOL_2018"
"BOL","country","5","male",11347241,2018,0.151551074727063,3113.26302842412,40820,12323.2643260659,66480.7504882812,0.554,0.287,0.0178,0.858,0.84,0.84,0.122,0.121,0.0229,0.732,NA,0.961,0.962,0.473,0.256,NA,NA,0.806,0.673,0.157,0.0976,0.0976,0.567,0.124,0.0758,0.0758,0.928,0.928,0.766,0.766,0.0719,0.0719,0.234,0.0246,"BOL_2018"
"BOL","country","total","male",11347241,2018,0.798799456293262,1147.1873353226,40820,5364.37032839523,66480.7504882812,0.353,0.29,0.0286,0.672,0.643,0.643,0.255,0.252,0.0157,0.568,NA,0.895,0.898,0.303,0.261,NA,NA,0.699,0.443,0.139,0.176,0.176,0.346,0.106,0.151,0.151,0.759,0.759,0.604,0.604,0.241,0.241,0.396,0.135,"BOL_2018"
"BOL","rural","1","all",11347241,2018,0.142379428929232,218.773146354924,468.733325195312,1215.6477316473,4000,0.0492,0.0978,0.00279,0.15,0.147,0.147,0.529,0.525,0.00091,0.108,NA,0.672,0.676,0.0298,0.0778,NA,NA,0.501,0.0281,0.0679,0.259,0.259,0.0275,0.0679,0.233,0.233,0.355,0.355,0.329,0.329,0.645,0.645,0.671,0.463,"BOL_2018"
"BOL","rural","2","all",11347241,2018,0.0641422514066492,625.721270928437,831.249977111816,3293.27303037659,7333.33337402344,0.0681,0.165,0.00481,0.238,0.233,0.233,0.511,0.509,0.00581,0.21,NA,0.742,0.744,0.0587,0.152,NA,NA,0.604,0.0563,0.0567,0.256,0.256,0.048,0.0567,0.228,0.228,0.369,0.369,0.333,0.333,0.631,0.631,0.667,0.352,"BOL_2018"
"BOL","rural","3","all",11347241,2018,0.0385442661722294,1030.34289140453,1251.33333333333,5144.41840437407,11426.6665039062,0.076,0.22,0.00402,0.3,0.296,0.296,0.519,0.517,0.00512,0.243,NA,0.813,0.815,0.0637,0.172,NA,NA,0.737,0.06,0.16,0.333,0.333,0.0445,0.152,0.313,0.313,0.553,0.553,0.51,0.51,0.447,0.447,0.49,0.206,"BOL_2018"
"BOL","rural","4","all",11347241,2018,0.0234443974989903,1554.95020526992,2000,6669.51755215352,13450,0.0886,0.247,0.00484,0.341,0.336,0.336,0.507,0.501,0.018,0.289,NA,0.837,0.843,0.0803,0.207,NA,NA,0.735,0.0958,0.095,0.295,0.295,0.0857,0.09,0.27,0.27,0.486,0.486,0.446,0.446,0.514,0.514,0.554,0.2,"BOL_2018"
