"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"BOL","country","1","all",11677406,0.2,2020,253.572989792429,480,1441.26807794617,5610.66668510437,0.184,0.11,0.0189,0.313,0.294,0.294,0.547,0.543,0.0172,NA,NA,0.837,0.841,NA,NA,NA,NA,NA,0.219,0.0895,0.285,0.285,NA,NA,NA,NA,0.594,0.594,NA,NA,0.406,0.406,NA,0.284,"BOL_2020"
"BOL","country","2","all",11677406,0.2,2020,658.85004469613,837.777791341146,3508.99676965718,11703.3334960938,0.389,0.159,0.0487,0.597,0.549,0.549,0.378,0.374,0.0314,NA,NA,0.922,0.926,NA,NA,NA,NA,NA,0.415,0.139,0.238,0.238,NA,NA,NA,NA,0.792,0.792,NA,NA,0.208,0.208,NA,0.0915,"BOL_2020"
"BOL","country","3","all",11677406,0.2,2020,1033.98452473095,1272.66669921875,5183.0920486321,11834.3333129883,0.524,0.166,0.0401,0.73,0.69,0.69,0.278,0.275,0.0423,NA,NA,0.965,0.968,NA,NA,NA,NA,NA,0.534,0.154,0.175,0.175,NA,NA,NA,NA,0.862,0.862,NA,NA,0.138,0.138,NA,0.0669,"BOL_2020"
"BOL","country","4","all",11677406,0.2,2020,1608.28470889471,2082,7733.26120134752,19816.6667480469,0.604,0.15,0.0316,0.785,0.753,0.753,0.212,0.211,0.0349,NA,NA,0.964,0.966,NA,NA,NA,NA,NA,0.635,0.13,0.145,0.145,NA,NA,NA,NA,0.91,0.91,NA,NA,0.0895,0.0895,NA,0.0324,"BOL_2020"
"BOL","country","5","all",11677406,0.2,2020,3541.98785910395,55500,12873.3819492461,211300,0.719,0.105,0.0216,0.846,0.824,0.824,0.16,0.158,0.0539,NA,NA,0.982,0.984,NA,NA,NA,NA,NA,0.745,0.122,0.0923,0.0923,NA,NA,NA,NA,0.959,0.959,NA,NA,0.0413,0.0413,NA,0.0135,"BOL_2020"
"BOL","country","total","all",11677406,1,2020,1262.54384960865,55500,5612.41869979534,211300,0.484,0.138,0.0322,0.654,0.622,0.622,0.315,0.312,0.0359,NA,NA,0.934,0.937,NA,NA,NA,NA,NA,0.51,0.127,0.187,0.187,NA,NA,NA,NA,0.823,0.823,NA,NA,0.177,0.177,NA,0.0977,"BOL_2020"
"BOL","country","1","female",11677406,0.0372499055343421,2020,267.733303612412,480,1292.36770161348,4322.50001907349,0.256,0.163,0.021,0.44,0.419,0.419,0.449,0.442,0.0307,NA,NA,0.861,0.868,NA,NA,NA,NA,NA,0.315,0.0973,0.302,0.302,NA,NA,NA,NA,0.715,0.715,NA,NA,0.285,0.285,NA,0.189,"BOL_2020"
"BOL","country","2","female",11677406,0.042242970060716,2020,671.036393233742,837.5,3577.81482823778,11703.3334960938,0.374,0.234,0.042,0.651,0.609,0.609,0.312,0.305,0.0359,NA,NA,0.914,0.92,NA,NA,NA,NA,NA,0.44,0.113,0.286,0.286,NA,NA,NA,NA,0.839,0.839,NA,NA,0.161,0.161,NA,0.0865,"BOL_2020"
"BOL","country","3","female",11677406,0.0388699030481991,2020,1029.35434849866,1269.44441731771,4552.1830892738,10074.9999980927,0.583,0.174,0.0344,0.791,0.757,0.757,0.205,0.201,0.0296,NA,NA,0.958,0.962,NA,NA,NA,NA,NA,0.583,0.174,0.127,0.127,NA,NA,NA,NA,0.884,0.884,NA,NA,0.116,0.116,NA,0.0786,"BOL_2020"
"BOL","country","4","female",11677406,0.0441685739265107,2020,1628.2240558365,2081.8,7191.31589223923,14130,0.635,0.167,0.0241,0.826,0.802,0.802,0.176,0.176,0.0434,NA,NA,0.978,0.978,NA,NA,NA,NA,NA,0.68,0.14,0.128,0.128,NA,NA,NA,NA,0.948,0.948,NA,NA,0.0523,0.0523,NA,0.0193,"BOL_2020"
"BOL","country","5","female",11677406,0.0504596213681161,2020,3607.17377962002,34350,12274.0827159698,120300,0.773,0.098,0.0272,0.898,0.871,0.871,0.121,0.119,0.0358,NA,NA,0.989,0.992,NA,NA,NA,NA,NA,0.784,0.123,0.0618,0.0618,NA,NA,NA,NA,0.969,0.969,NA,NA,0.0306,0.0306,NA,0.00854,"BOL_2020"
