"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"BRA","country","1","all",208494900,0.2,2019,198.767984397564,359.6,1052.39329156724,4996,0.705,0.0269,NA,0.732,0.769,0.732,0.268,0.019,NA,0.603,0.743,0.751,1,0.562,0.017,NA,NA,0.912,0.387,0.332,0,0.177,0.386,0.322,0,0.15,0.719,0.896,0.708,0.858,0.104,0.281,0.142,0.0243,"BRA_2019"
"BRA","country","2","all",208494900,0.2,2019,507.729646807997,666,2352.41203280218,8623,0.805,0.0131,NA,0.818,0.852,0.818,0.182,0.00764,NA,0.714,0.839,0.826,1,0.681,0.00969,NA,NA,0.977,0.525,0.303,0,0.121,0.524,0.299,0,0.113,0.828,0.949,0.823,0.937,0.0509,0.172,0.0634,0.00485,"BRA_2019"
"BRA","country","3","all",208494900,0.2,2019,846.425499649217,1024.5,3412.9975304718,12832,0.849,0.0095,NA,0.859,0.886,0.859,0.141,0.00492,NA,0.775,0.878,0.863,1,0.749,0.00681,NA,NA,0.989,0.617,0.26,0,0.0909,0.616,0.258,0,0.0874,0.877,0.968,0.874,0.962,0.0322,0.123,0.0382,0.00295,"BRA_2019"
"BRA","country","4","all",208494900,0.2,2019,1349.92143786597,1800,5016.74642147058,19898,0.892,0.00648,NA,0.898,0.919,0.898,0.102,0.00167,NA,0.837,0.916,0.9,1,0.815,0.00561,NA,NA,0.996,0.699,0.217,0,0.0613,0.699,0.217,0,0.0601,0.916,0.977,0.915,0.975,0.0226,0.0839,0.0247,0.000862,"BRA_2019"
"BRA","country","5","all",208494900,0.2,2019,3925.7371738153,116625,12431.3155043629,325000,0.927,0.00454,NA,0.932,0.951,0.932,0.0681,0.000571,NA,0.9,0.95,0.933,1,0.88,0.0035,NA,NA,0.998,0.79,0.167,0,0.0343,0.789,0.167,0,0.0338,0.957,0.991,0.956,0.99,0.00924,0.0435,0.0102,0.000588,"BRA_2019"
"BRA","country","total","all",208494900,1,2019,1176.86224428222,116625,4319.16259971699,325000,0.835,0.0122,NA,0.847,0.875,0.847,0.153,0.00681,NA,0.765,0.867,0.854,1,0.737,0.00856,NA,NA,0.974,0.602,0.256,0,0.0974,0.602,0.253,0,0.0893,0.859,0.956,0.855,0.944,0.044,0.141,0.056,0.00677,"BRA_2019"
"BRA","country","1","female",208494900,0.10874165320634,2019,198.508966061105,359.6,1055.49260402111,4157,0.772,0.0255,NA,0.797,0.83,0.797,0.203,0.011,NA,0.657,0.81,0.808,1,0.62,0.016,NA,NA,0.937,0.444,0.328,0,0.141,0.443,0.32,0,0.123,0.772,0.913,0.762,0.885,0.0868,0.228,0.115,0.018,"BRA_2019"
"BRA","country","2","female",208494900,0.10388554530083,2019,507.085878343285,666,2388.5141602441,7292,0.851,0.0129,NA,0.864,0.892,0.864,0.136,0.00539,NA,0.749,0.883,0.869,1,0.72,0.00917,NA,NA,0.983,0.57,0.283,0,0.101,0.569,0.28,0,0.095,0.853,0.954,0.848,0.943,0.0458,0.147,0.0566,0.00365,"BRA_2019"
"BRA","country","3","female",208494900,0.0947217826908744,2019,844.509163310084,1024.5,3446.62516642468,12832,0.883,0.00923,NA,0.892,0.917,0.892,0.108,0.00349,NA,0.803,0.911,0.895,1,0.78,0.00611,NA,NA,0.991,0.658,0.24,0,0.0724,0.658,0.237,0,0.0697,0.898,0.97,0.895,0.965,0.0297,0.102,0.0352,0.00166,"BRA_2019"
"BRA","country","4","female",208494900,0.0879718172243548,2019,1342.05491623751,1800,4985.02069057617,17220,0.913,0.00762,NA,0.92,0.94,0.92,0.0797,0.00108,NA,0.857,0.937,0.921,1,0.836,0.00694,NA,NA,0.997,0.723,0.204,0,0.0501,0.723,0.204,0,0.0492,0.927,0.977,0.926,0.975,0.0227,0.0728,0.0246,0.000549,"BRA_2019"
