"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"CHL","country","1","all",18419192,2017,0.2,71924.7203438561,105964,365895.28786022,1487700,0.86,0.0241,0.022,0.906,0.924,0.885,0.0908,0.0503,0,NA,NA,0.935,0.975,NA,NA,NA,0.874,NA,0.789,0.119,0.081,0.081,NA,NA,NA,NA,0.989,0.989,NA,NA,0.0113,0.0113,NA,0.0102,"CHL_2017"
"CHL","country","2","all",18419192,2017,0.2,132753.598527131,160503.333333333,662138.976482015,1902315,0.903,0.0186,0.011,0.933,0.954,0.922,0.0637,0.0365,0,NA,NA,0.958,0.985,NA,NA,NA,0.917,NA,0.838,0.105,0.0495,0.0495,NA,NA,NA,NA,0.993,0.993,NA,NA,0.00681,0.00681,NA,0.00606,"CHL_2017"
"CHL","country","3","all",18419192,2017,0.2,193851.226249929,234533.4,896946.225647379,3006755,0.931,0.0141,0.00712,0.952,0.967,0.945,0.0477,0.0259,0,NA,NA,0.971,0.993,NA,NA,NA,0.94,NA,0.872,0.0881,0.0352,0.0352,NA,NA,NA,NA,0.995,0.995,NA,NA,0.00467,0.00467,NA,0.00414,"CHL_2017"
"CHL","country","4","all",18419192,2017,0.2,296554.853627828,387500,1290214.33214146,6101922,0.946,0.014,0.00518,0.965,0.978,0.96,0.0349,0.0205,0,NA,NA,0.98,0.994,NA,NA,NA,0.956,NA,0.905,0.0687,0.0228,0.0228,NA,NA,NA,NA,0.996,0.996,NA,NA,0.00363,0.00363,NA,0.00268,"CHL_2017"
"CHL","country","5","all",18419192,2017,0.2,841235.57101225,48898332,2955352.97275481,87050000,0.965,0.0122,0.00182,0.979,0.985,0.977,0.0197,0.00918,0,NA,NA,0.986,0.996,NA,NA,NA,0.975,NA,0.943,0.0439,0.0114,0.0114,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00204,0.00204,NA,0.00145,"CHL_2017"
"CHL","country","total","all",18419192,2017,1,280299.847042411,48898332,1143514.30736059,87050000,0.921,0.0166,0.00942,0.947,0.962,0.937,0.0514,0.0285,0,NA,NA,0.966,0.989,NA,NA,NA,0.933,NA,0.869,0.085,0.04,0.04,NA,NA,NA,NA,0.994,0.994,NA,NA,0.00569,0.00569,NA,0.00491,"CHL_2017"
"CHL","country","1","female",18419192,2017,0.0889483289288238,69995.1028094388,105956,347784.807451815,1131091,0.893,0.0269,0.0178,0.938,0.95,0.92,0.0634,0.0392,0,NA,NA,0.959,0.983,NA,NA,NA,0.91,NA,0.847,0.0836,0.0577,0.0577,NA,NA,NA,NA,0.988,0.988,NA,NA,0.0117,0.0117,NA,0.0106,"CHL_2017"
"CHL","country","2","female",18419192,2017,0.078960224457488,132807.535398825,160503.333333333,644600.408100308,1902315,0.928,0.018,0.00836,0.955,0.969,0.946,0.0445,0.0264,0,NA,NA,0.973,0.991,NA,NA,NA,0.942,NA,0.88,0.0759,0.0378,0.0378,NA,NA,NA,NA,0.994,0.994,NA,NA,0.00631,0.00631,NA,0.00562,"CHL_2017"
"CHL","country","3","female",18419192,2017,0.0750511063023912,192758.533944955,234508,859423.318031459,2305000,0.944,0.0128,0.0049,0.962,0.976,0.957,0.0371,0.0207,0,NA,NA,0.978,0.994,NA,NA,NA,0.953,NA,0.904,0.0657,0.0277,0.0277,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00285,0.00285,NA,0.00274,"CHL_2017"
"CHL","country","4","female",18419192,2017,0.0671016585642004,293800.437972447,387500,1177178.27140131,4185554,0.956,0.0133,0.00329,0.973,0.985,0.969,0.0269,0.0169,0,NA,NA,0.986,0.996,NA,NA,NA,0.967,NA,0.924,0.0529,0.0186,0.0186,NA,NA,NA,NA,0.996,0.996,NA,NA,0.00424,0.00424,NA,0.00267,"CHL_2017"
"CHL","country","5","female",18419192,2017,0.058820023614423,806469.779834754,22029164,2628440.70868981,79767502,0.971,0.0133,0.00219,0.987,0.99,0.984,0.0127,0.00632,0,NA,NA,0.991,0.997,NA,NA,NA,0.983,NA,0.959,0.0306,0.00923,0.00923,NA,NA,NA,NA,0.999,0.999,NA,NA,0.00126,0.00126,NA,0.000735,"CHL_2017"
"CHL","country","total","female",18419192,2017,0.374061167937042,243658.253998827,22029164,958925.367433197,79767502,0.935,0.0174,0.00793,0.961,0.972,0.953,0.039,0.0232,0,NA,NA,0.976,0.992,NA,NA,NA,0.948,NA,0.898,0.064,0.0322,0.0322,NA,NA,NA,NA,0.994,0.994,NA,NA,0.00567,0.00567,NA,0.00486,"CHL_2017"
"CHL","country","1","male",18419192,2017,0.111051671071176,73470.2734499247,105964,380401.120621561,1487700,0.832,0.0217,0.0256,0.879,0.902,0.854,0.115,0.0599,0,NA,NA,0.914,0.968,NA,NA,NA,0.843,NA,0.739,0.149,0.101,0.101,NA,NA,NA,NA,0.989,0.989,NA,NA,0.0109,0.0109,NA,0.0099,"CHL_2017"
"CHL","country","2","male",18419192,2017,0.121039775542512,132718.412841464,160500,673580.25097113,1840635,0.885,0.019,0.0128,0.917,0.942,0.904,0.0775,0.0438,0,NA,NA,0.948,0.981,NA,NA,NA,0.898,NA,0.808,0.126,0.0579,0.0579,NA,NA,NA,NA,0.993,0.993,NA,NA,0.00717,0.00717,NA,0.00637,"CHL_2017"
"CHL","country","3","male",18419192,2017,0.124948893697609,194507.556721608,234533.4,919484.526267091,3006755,0.922,0.0151,0.0086,0.945,0.962,0.937,0.0548,0.0294,0,NA,NA,0.966,0.991,NA,NA,NA,0.932,NA,0.851,0.103,0.0401,0.0401,NA,NA,NA,NA,0.994,0.994,NA,NA,0.00588,0.00588,NA,0.00508,"CHL_2017"
"CHL","country","4","male",18419192,2017,0.1328983414358,297945.58474497,387500,1347287.33298769,6101922,0.94,0.0144,0.00627,0.96,0.975,0.954,0.0395,0.0226,0,NA,NA,0.977,0.993,NA,NA,NA,0.951,NA,0.894,0.0777,0.0253,0.0253,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00328,0.00328,NA,0.00268,"CHL_2017"
"CHL","country","5","male",18419192,2017,0.141179976385577,855720.094316388,48898332,3091554.91572462,87050000,0.962,0.0116,0.00164,0.975,0.983,0.973,0.0229,0.0105,0,NA,NA,0.984,0.996,NA,NA,NA,0.972,NA,0.935,0.0502,0.0124,0.0124,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00241,0.00241,NA,0.0018,"CHL_2017"
