"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"CHL","country","1","all",19458310,2020,0.2,58087.2440920262,97939.75,287048.242492091,1131915,0.869,0.0377,0.0151,0.922,0.907,0.907,0.0751,0.0151,NA,NA,NA,0.922,0.982,NA,NA,NA,1,NA,0.843,0.0915,0.00103,0.0392,NA,NA,NA,NA,0.935,0.973,NA,NA,0.0268,0.065,NA,0.0267,"CHL_2020"
"CHL","country","2","all",19458310,2020,0.2,127428.317775786,158527,611092.798821366,1923176,0.897,0.0254,0.014,0.936,0.922,0.922,0.0618,0.014,NA,NA,NA,0.936,0.984,NA,NA,NA,1,NA,0.857,0.0956,5e-04,0.0296,NA,NA,NA,NA,0.953,0.982,NA,NA,0.0182,0.0473,NA,0.0181,"CHL_2020"
"CHL","country","3","all",19458310,2020,0.2,194047.655312258,236945,852877.264169325,2717595,0.909,0.0295,0.00953,0.948,0.938,0.938,0.0511,0.00953,NA,NA,NA,0.948,0.989,NA,NA,NA,1,NA,0.884,0.083,0.000997,0.0193,NA,NA,NA,NA,0.968,0.986,NA,NA,0.0136,0.0319,NA,0.0135,"CHL_2020"
"CHL","country","4","all",19458310,2020,0.2,308356.309155546,417500,1249742.4262918,4083333,0.927,0.0263,0.00564,0.959,0.953,0.953,0.038,0.00564,NA,NA,NA,0.959,0.991,NA,NA,NA,1,NA,0.911,0.067,0.000155,0.0119,NA,NA,NA,NA,0.978,0.99,NA,NA,0.0102,0.022,NA,0.0102,"CHL_2020"
"CHL","country","5","all",19458310,2020,0.2,900775.150444056,225200000,3220763.23706421,225200000,0.944,0.0261,0.00293,0.973,0.97,0.97,0.0259,0.00293,NA,NA,NA,0.973,0.996,NA,NA,NA,1,NA,0.947,0.0425,0.000259,0.00442,NA,NA,NA,NA,0.989,0.993,NA,NA,0.00651,0.0107,NA,0.00651,"CHL_2020"
"CHL","country","total","all",19458310,2020,1,291934.000849718,225200000,1155167.98076406,225200000,0.909,0.029,0.00945,0.948,0.938,0.938,0.0504,0.00945,NA,NA,NA,0.948,0.989,NA,NA,NA,1,NA,0.888,0.0759,0.000588,0.0209,NA,NA,NA,NA,0.965,0.985,NA,NA,0.0151,0.0354,NA,0.015,"CHL_2020"
"CHL","country","1","female",19458310,2020,0.110900221263977,58333.8315037697,97939.75,273559.017484034,1131915,0.886,0.0409,0.0145,0.941,0.927,0.927,0.0592,0.0145,NA,NA,NA,0.941,0.986,NA,NA,NA,1,NA,0.868,0.0758,0.00072,0.0318,NA,NA,NA,NA,0.945,0.976,NA,NA,0.024,0.0552,NA,0.024,"CHL_2020"
"CHL","country","2","female",19458310,2020,0.102144978458192,127561.538927361,158526,598071.346980362,1923176,0.909,0.0285,0.0121,0.95,0.938,0.938,0.0507,0.0121,NA,NA,NA,0.95,0.989,NA,NA,NA,1,NA,0.884,0.0729,0.000175,0.0254,NA,NA,NA,NA,0.957,0.982,NA,NA,0.0178,0.043,NA,0.0178,"CHL_2020"
"CHL","country","3","female",19458310,2020,0.0907935678596337,193424.641510026,236882,828233.076746371,2717595,0.913,0.0374,0.00645,0.957,0.951,0.951,0.0416,0.00645,NA,NA,NA,0.957,0.992,NA,NA,NA,1,NA,0.903,0.0647,0.000533,0.018,NA,NA,NA,NA,0.968,0.986,NA,NA,0.0142,0.0317,NA,0.0142,"CHL_2020"
"CHL","country","4","female",19458310,2020,0.0820513747558096,308106.547475245,417500,1197770.72274935,3300000,0.935,0.0267,0.00635,0.968,0.962,0.962,0.0316,0.00635,NA,NA,NA,0.968,0.993,NA,NA,NA,1,NA,0.925,0.0557,0.000245,0.00898,NA,NA,NA,NA,0.981,0.99,NA,NA,0.00983,0.0186,NA,0.00974,"CHL_2020"
