"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"COL","country","1","all",48258494,0.2,2018,109553.960081528,176000,639830.778869071,2550000,NA,0.756,0.0224,0.779,0.697,0.665,0.335,0.216,0.0167,0.462,NA,0.882,1,NA,0.456,NA,NA,0.835,0.461,0.309,0,0.104,0.424,0.296,0,0.0982,0.77,0.874,0.721,0.819,0.126,0.23,0.181,0.11,"COL_2018"
"COL","country","2","all",48258494,0.2,2018,237007.067950223,305555.5546875,1301894.44443762,4700000,NA,0.84,0.0182,0.858,0.812,0.779,0.221,0.138,0.0249,0.587,NA,0.917,1,NA,0.582,NA,NA,0.922,0.643,0.248,0,0.0671,0.607,0.239,0,0.0644,0.891,0.958,0.846,0.91,0.0417,0.109,0.0898,0.03,"COL_2018"
"COL","country","3","all",48258494,0.2,2018,391750.516642574,494833.34375,1974566.29801638,6978372.6484375,NA,0.908,0.00879,0.917,0.907,0.878,0.122,0.0832,0.0223,0.725,NA,0.961,1,NA,0.719,NA,NA,0.941,0.788,0.147,0,0.0451,0.753,0.139,0,0.0417,0.934,0.979,0.892,0.934,0.0205,0.0656,0.0663,0.013,"COL_2018"
"COL","country","4","all",48258494,0.2,2018,637907.582565643,845166.6640625,2882984.69083615,10471095.875,NA,0.947,0.00401,0.951,0.959,0.932,0.0676,0.0496,0.0223,0.819,NA,0.982,1,NA,0.81,NA,NA,0.96,0.892,0.0789,0,0.0187,0.862,0.0757,0,0.0173,0.971,0.99,0.937,0.955,0.00993,0.0287,0.0454,0.0046,"COL_2018"
"COL","country","5","all",48258494,0.2,2018,1790819.8778295,85833334,6007747.03344309,85833334,NA,0.957,0.00194,0.959,0.978,0.952,0.0475,0.0386,0.0227,0.87,NA,0.991,1,NA,0.861,NA,NA,0.972,0.948,0.0412,0,0.00612,0.924,0.0394,0,0.00555,0.989,0.995,0.963,0.968,0.00477,0.0109,0.0315,0.00095,"COL_2018"
"COL","country","total","all",48258494,1,2018,552717.489549804,85833334,2304114.16879131,85833334,NA,0.882,0.0111,0.893,0.871,0.841,0.159,0.105,0.0218,0.693,NA,0.946,1,NA,0.686,NA,NA,0.926,0.746,0.165,0,0.0482,0.714,0.158,0,0.0454,0.911,0.959,0.872,0.917,0.0406,0.0888,0.0829,0.0317,"COL_2018"
"COL","country","1","female",48258494,0.0703404218897059,2018,104857.416970823,176000,591012.333950297,2550000,NA,0.823,0.023,0.846,0.792,0.761,0.239,0.179,0.0157,0.529,NA,0.94,1,NA,0.526,NA,NA,0.838,0.582,0.222,0,0.0954,0.526,0.205,0,0.0896,0.804,0.9,0.731,0.821,0.1,0.196,0.179,0.0833,"COL_2018"
"COL","country","2","female",48258494,0.0623101046723295,2018,238033.389876754,305555.552083333,1353183.41270683,4700000,NA,0.879,0.0173,0.896,0.887,0.856,0.144,0.0981,0.0231,0.628,NA,0.954,1,NA,0.622,NA,NA,0.927,0.741,0.169,0,0.047,0.7,0.162,0,0.0466,0.91,0.957,0.862,0.908,0.0429,0.0899,0.0915,0.0247,"COL_2018"
"COL","country","3","female",48258494,0.0703950042462476,2018,391746.68063294,494777.78125,2044678.50530276,6978372.6484375,NA,0.935,0.00961,0.945,0.941,0.912,0.088,0.0708,0.019,0.761,NA,0.983,1,NA,0.755,NA,NA,0.941,0.857,0.0908,0,0.0388,0.818,0.0847,0,0.0342,0.948,0.986,0.902,0.937,0.0135,0.0523,0.0633,0.00899,"COL_2018"
"COL","country","4","female",48258494,0.0641655160743249,2018,634542.119032016,845166.6640625,2809491.99624057,10471095.875,NA,0.955,0.00336,0.959,0.978,0.951,0.049,0.0393,0.0225,0.844,NA,0.99,1,NA,0.837,NA,NA,0.958,0.923,0.0539,0,0.0182,0.884,0.0521,0,0.0182,0.977,0.995,0.937,0.955,0.00493,0.0232,0.0451,0.00162,"COL_2018"
"COL","country","5","female",48258494,0.0619800897270787,2018,1642027.80621326,40000000,5278723.50347242,79691666.5,NA,0.959,0.00162,0.961,0.982,0.957,0.0427,0.0355,0.0234,0.876,NA,0.993,1,NA,0.868,NA,NA,0.979,0.969,0.0241,0,0.00449,0.948,0.024,0,0.00449,0.993,0.997,0.972,0.977,0.00263,0.00713,0.0232,0.000116,"COL_2018"
"COL","country","total","female",48258494,0.330612038832186,2018,512701.95430262,40000000,2144849.87878436,79691666.5,NA,0.909,0.0112,0.92,0.914,0.885,0.115,0.0866,0.0206,0.724,NA,0.971,1,NA,0.718,NA,NA,0.926,0.81,0.114,0,0.0422,0.77,0.107,0,0.0398,0.924,0.966,0.877,0.917,0.0342,0.0764,0.0827,0.025,"COL_2018"
"COL","country","1","male",48258494,0.129659578110294,2018,112101.838369001,176000,666314.823176734,2436211,NA,0.717,0.0221,0.739,0.64,0.609,0.391,0.238,0.0173,0.423,NA,0.847,1,NA,0.415,NA,NA,0.833,0.39,0.36,0,0.109,0.364,0.35,0,0.103,0.75,0.859,0.714,0.818,0.141,0.25,0.182,0.125,"COL_2018"
"COL","country","2","male",48258494,0.137689895327671,2018,236542.616826068,305555.5546875,1278684.16474509,4510000,NA,0.822,0.0186,0.841,0.778,0.743,0.257,0.157,0.0257,0.567,NA,0.9,1,NA,0.563,NA,NA,0.92,0.598,0.285,0,0.0764,0.564,0.274,0,0.0726,0.882,0.959,0.838,0.911,0.0411,0.118,0.0891,0.0324,"COL_2018"
"COL","country","3","male",48258494,0.129604995753752,2018,391752.600172711,494833.34375,1936484.82514619,6291119.3125,NA,0.894,0.00835,0.902,0.888,0.859,0.141,0.09,0.024,0.706,NA,0.949,1,NA,0.7,NA,NA,0.941,0.75,0.177,0,0.0485,0.718,0.169,0,0.0458,0.927,0.976,0.886,0.932,0.0243,0.0729,0.068,0.0152,"COL_2018"
"COL","country","4","male",48258494,0.135834483925675,2018,639497.360788547,845016.65625,2917701.18211386,9462015.125,NA,0.943,0.00434,0.947,0.949,0.923,0.0769,0.0547,0.0223,0.806,NA,0.978,1,NA,0.797,NA,NA,0.961,0.877,0.0914,0,0.019,0.85,0.0876,0,0.0169,0.969,0.988,0.938,0.954,0.0124,0.0314,0.0456,0.00609,"COL_2018"
"COL","country","5","male",48258494,0.138019910272921,2018,1857637.38213896,85833334,6335126.92893342,85833334,NA,0.957,0.0021,0.959,0.976,0.95,0.0499,0.0401,0.0223,0.867,NA,0.99,1,NA,0.858,NA,NA,0.969,0.938,0.0493,0,0.00689,0.912,0.0467,0,0.00605,0.987,0.994,0.959,0.965,0.00579,0.0127,0.0355,0.00135,"COL_2018"
"COL","country","total","male",48258494,0.669387961167814,2018,572481.24160467,85833334,2382775.11683181,85833334,NA,0.868,0.011,0.879,0.849,0.819,0.181,0.115,0.0224,0.677,NA,0.934,1,NA,0.669,NA,NA,0.926,0.714,0.191,0,0.0513,0.685,0.184,0,0.0483,0.905,0.956,0.869,0.917,0.0438,0.0951,0.0829,0.0351,"COL_2018"
"COL","rural","1","all",48258494,0.0969236104974614,2018,103351.217944524,175833.33203125,574262.247988573,1685000,NA,0.58,0.0316,0.611,0.432,0.411,0.589,0.349,0.013,0.28,NA,0.76,1,NA,0.27,NA,NA,0.768,0.0837,0.537,0,0.155,0.0766,0.521,0,0.148,0.62,0.775,0.597,0.745,0.225,0.38,0.255,0.202,"COL_2018"
"COL","rural","2","all",48258494,0.0598757098954082,2018,232513.330585628,305555.552083333,1202469.29328496,2720833.33398438,NA,0.614,0.0305,0.645,0.47,0.438,0.562,0.305,0.0304,0.28,NA,0.743,1,NA,0.277,NA,NA,0.876,0.117,0.623,0,0.161,0.111,0.6,0,0.155,0.74,0.901,0.71,0.865,0.099,0.26,0.135,0.0884,"COL_2018"
"COL","rural","3","all",48258494,0.0331241572162937,2018,379253.595202252,494833.34375,1739400.46971922,3652333.29296875,NA,0.643,0.0218,0.664,0.563,0.513,0.487,0.279,0.0451,0.382,NA,0.792,1,NA,0.366,NA,NA,0.901,0.148,0.639,0,0.13,0.143,0.61,0,0.124,0.787,0.917,0.753,0.877,0.083,0.213,0.123,0.0589,"COL_2018"
"COL","rural","4","all",48258494,0.0177956407116227,2018,617094.706808856,845166.6640625,2497565.97587399,6073333.5,NA,0.759,0.0267,0.786,0.692,0.643,0.357,0.202,0.0381,0.505,NA,0.846,1,NA,0.483,NA,NA,0.91,0.223,0.623,0,0.101,0.214,0.599,0,0.088,0.845,0.947,0.813,0.901,0.0532,0.155,0.0989,0.0444,"COL_2018"
"COL","rural","5","all",48258494,0.00822785253991873,2018,1658876.59244242,18900000,4630387.70826448,31800000,NA,0.765,0.0117,0.777,0.712,0.679,0.321,0.178,0.0411,0.545,NA,0.857,1,NA,0.532,NA,NA,0.927,0.279,0.62,0,0.064,0.263,0.59,0,0.0524,0.899,0.963,0.853,0.906,0.0367,0.101,0.0944,0.0152,"COL_2018"
"COL","rural","total","all",48258494,0.236065338308673,2018,257317.942661326,18900000,1163289.7814448,31800000,NA,0.623,0.0284,0.651,0.498,0.466,0.534,0.306,0.0264,0.327,NA,0.772,1,NA,0.317,NA,NA,0.838,0.124,0.588,0,0.144,0.117,0.567,0,0.137,0.712,0.856,0.683,0.82,0.144,0.288,0.18,0.126,"COL_2018"
"COL","rural","1","female",48258494,0.0217856540884928,2018,95263.6324833536,175000,479971.587139906,1431666.671875,NA,0.607,0.0499,0.657,0.468,0.452,0.548,0.369,0.00693,0.283,NA,0.821,1,NA,0.278,NA,NA,0.749,0.109,0.513,0,0.132,0.0994,0.485,0,0.129,0.622,0.753,0.585,0.714,0.247,0.378,0.286,0.212,"COL_2018"
"COL","rural","2","female",48258494,0.0104508070977095,2018,236051.572504838,305555.552083333,1241877.98078415,2526666.671875,NA,0.627,0.0506,0.677,0.565,0.54,0.46,0.222,0.0236,0.306,NA,0.761,1,NA,0.304,NA,NA,0.849,0.165,0.561,0,0.145,0.15,0.544,0,0.144,0.726,0.871,0.694,0.838,0.129,0.274,0.162,0.118,"COL_2018"
"COL","rural","3","female",48258494,0.00647028027517454,2018,389333.152924741,492472.229166667,1707257.32261509,3547908.6640625,NA,0.683,0.0353,0.718,0.619,0.555,0.445,0.296,0.0414,0.428,NA,0.851,1,NA,0.409,NA,NA,0.888,0.238,0.611,0,0.098,0.234,0.557,0,0.0955,0.848,0.946,0.791,0.887,0.0537,0.152,0.113,0.0519,"COL_2018"
"COL","rural","4","female",48258494,0.00489919796641262,2018,600401.819636008,845166.6640625,2515702.03589096,4180000,NA,0.863,0.0349,0.898,0.887,0.828,0.172,0.11,0.0309,0.664,NA,0.938,1,NA,0.649,NA,NA,0.968,0.379,0.479,0,0.121,0.367,0.479,0,0.121,0.858,0.979,0.846,0.966,0.021,0.142,0.0336,0.019,"COL_2018"
"COL","rural","5","female",48258494,0.00182248545749636,2018,1330868.52529209,18900000,4353024.25378554,31800000,NA,0.755,0.0293,0.784,0.742,0.698,0.302,0.223,0.104,0.618,NA,0.92,1,NA,0.593,NA,NA,0.996,0.37,0.573,0,0.0113,0.365,0.573,0,0.0113,0.943,0.954,0.938,0.95,0.0462,0.0575,0.0505,0,"COL_2018"
"COL","rural","total","female",48258494,0.049519088507892,2018,249275.624709736,18900000,1120835.10025205,31800000,NA,0.654,0.0456,0.7,0.564,0.534,0.466,0.294,0.0218,0.36,NA,0.827,1,NA,0.352,NA,NA,0.823,0.177,0.537,0,0.124,0.167,0.512,0,0.122,0.714,0.838,0.679,0.801,0.162,0.286,0.199,0.14,"COL_2018"
"COL","rural","1","male",48258494,0.0751379564089686,2018,105696.149157574,175833.33203125,601601.076713748,1685000,NA,0.571,0.0255,0.596,0.42,0.397,0.603,0.343,0.0151,0.279,NA,0.74,1,NA,0.267,NA,NA,0.774,0.0753,0.544,0,0.163,0.0691,0.532,0,0.154,0.62,0.783,0.601,0.755,0.217,0.38,0.245,0.199,"COL_2018"
