"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"COL","country","1","all",50372424,0.2,2020,100935.872039732,167377.083333333,580896.833330706,2451695.1875,NA,0.792,0.0281,0.82,0.771,0.728,0.154,0.081,0.0222,0.454,NA,0.809,0.882,NA,0.45,NA,NA,0.843,0.518,0.311,0,0.0659,0.48,0.298,0,0.0602,0.829,0.895,0.779,0.839,0.105,0.171,0.161,0.0993,"COL_2020"
"COL","country","2","all",50372424,0.2,2020,226524.102809501,291374.16875,1291213.96794773,3900633.34375,NA,0.868,0.0256,0.893,0.857,0.817,0.102,0.0602,0.0187,0.576,NA,0.878,0.919,NA,0.566,NA,NA,0.91,0.655,0.246,0,0.0538,0.624,0.234,0,0.0492,0.901,0.955,0.858,0.907,0.0448,0.0986,0.0928,0.0414,"COL_2020"
"COL","country","3","all",50372424,0.2,2020,369884.880686867,466666.665625,1848168.28281041,5240000,NA,0.914,0.0162,0.93,0.899,0.875,0.0723,0.0452,0.0192,0.683,NA,0.92,0.947,NA,0.68,NA,NA,0.943,0.755,0.189,0,0.0363,0.723,0.181,0,0.0345,0.944,0.981,0.904,0.939,0.0195,0.0558,0.0612,0.0156,"COL_2020"
"COL","country","4","all",50372424,0.2,2020,612325.417299677,818245.83203125,2713103.28602958,10925000,NA,0.945,0.00841,0.954,0.944,0.926,0.0454,0.029,0.015,0.779,NA,0.955,0.971,NA,0.775,NA,NA,0.962,0.865,0.105,0,0.0218,0.84,0.099,0,0.0216,0.97,0.991,0.939,0.96,0.00856,0.0303,0.0396,0.00682,"COL_2020"
"COL","country","5","all",50372424,0.2,2020,1761702.51857081,30208334,5949464.75918239,7.3e+07,NA,0.966,0.00272,0.969,0.977,0.958,0.0308,0.0229,0.0162,0.867,NA,0.981,0.989,NA,0.861,NA,NA,0.976,0.935,0.0548,0,0.00822,0.915,0.0526,0,0.00816,0.99,0.998,0.967,0.976,0.0021,0.0103,0.0245,0.00151,"COL_2020"
"COL","country","total","all",50372424,1,2020,533497.482495142,30208334,2219558.30470906,7.3e+07,NA,0.897,0.0162,0.913,0.89,0.861,0.0809,0.0476,0.0183,0.672,NA,0.908,0.942,NA,0.667,NA,NA,0.927,0.746,0.181,0,0.0372,0.716,0.173,0,0.0347,0.927,0.964,0.889,0.924,0.0359,0.0731,0.0758,0.0329,"COL_2020"
"COL","country","1","female",50372424,0.0830437000665384,2020,98473.7624387984,167289.5859375,569630.381570071,2451695.1875,NA,0.835,0.0283,0.863,0.844,0.797,0.141,0.0737,0.0209,0.516,NA,0.87,0.938,NA,0.51,NA,NA,0.857,0.631,0.231,0,0.0568,0.58,0.222,0,0.0503,0.862,0.919,0.802,0.852,0.081,0.138,0.148,0.074,"COL_2020"
"COL","country","2","female",50372424,0.0700446633134249,2020,226439.410659745,291374.16875,1327733.82552066,3697133.34375,NA,0.904,0.0211,0.925,0.907,0.87,0.0803,0.0581,0.0186,0.612,NA,0.928,0.95,NA,0.604,NA,NA,0.921,0.752,0.167,0,0.0424,0.72,0.16,0,0.0346,0.919,0.962,0.88,0.915,0.0383,0.0807,0.0852,0.0322,"COL_2020"
"COL","country","3","female",50372424,0.074723115806703,2020,371423.67478872,466666.665625,1934443.75105495,5094925,NA,0.931,0.0122,0.944,0.942,0.919,0.0602,0.0402,0.0202,0.719,NA,0.96,0.98,NA,0.718,NA,NA,0.947,0.837,0.126,0,0.0233,0.802,0.119,0,0.0205,0.963,0.986,0.921,0.942,0.014,0.0373,0.0583,0.00864,"COL_2020"
"COL","country","4","female",50372424,0.0777955388933933,2020,608160.106828392,818093.6875,2754088.09509852,10288329.75,NA,0.958,0.00969,0.967,0.965,0.947,0.0372,0.03,0.0157,0.807,NA,0.977,0.984,NA,0.802,NA,NA,0.971,0.907,0.0687,0,0.0201,0.882,0.0676,0,0.0201,0.976,0.996,0.95,0.97,0.00425,0.0244,0.0298,0.00304,"COL_2020"
"COL","country","5","female",50372424,0.0693540964631398,2020,1720665.15156821,21666668,5710342.65915225,44539863,NA,0.974,0.00327,0.977,0.987,0.971,0.0248,0.0218,0.0131,0.88,NA,0.993,0.996,NA,0.873,NA,NA,0.985,0.947,0.0438,0,0.00759,0.933,0.043,0,0.00756,0.991,0.999,0.976,0.984,0.00149,0.00907,0.0163,4.51e-05,"COL_2020"
"COL","country","total","female",50372424,0.376394844169606,2020,507378.757235466,21666668,2151611.42240321,44539863,NA,0.918,0.0153,0.933,0.927,0.898,0.0708,0.0455,0.0178,0.702,NA,0.944,0.969,NA,0.697,NA,NA,0.934,0.81,0.13,0,0.0308,0.778,0.125,0,0.0273,0.94,0.971,0.903,0.93,0.0292,0.06,0.0696,0.0249,"COL_2020"
