"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"CRI","country","1","all",4993754,0.2,2018,44992.9573029939,74062.6375,235423.226370817,684982.875,0.873,0.02,NA,0.893,0.893,0.893,0.0956,0,NA,NA,NA,0.893,0.988,NA,NA,NA,NA,0.976,0.17,0.775,0,0.0418,0.165,0.767,0,0.0408,0.945,0.987,0.932,0.973,0.013,0.0548,0.0275,0.00948,"CRI_2018"
"CRI","country","2","all",4993754,0.2,2018,97777.3232393352,123062.223958333,483931.963468891,1190345.47753906,0.93,0.014,NA,0.944,0.944,0.944,0.0526,0,NA,NA,NA,0.944,0.997,NA,NA,NA,NA,0.986,0.177,0.804,0,0.0114,0.173,0.8,0,0.0101,0.981,0.992,0.973,0.983,0.00756,0.0189,0.0167,0.0062,"CRI_2018"
"CRI","country","3","all",4993754,0.2,2018,155483.569984084,195416.671875,706404.66457025,1621606.48046875,0.95,0.0115,NA,0.962,0.962,0.962,0.0357,0,NA,NA,NA,0.962,0.997,NA,NA,NA,NA,0.99,0.198,0.794,0,0.00532,0.197,0.788,0,0.00502,0.991,0.997,0.985,0.99,0.0032,0.00853,0.00973,0.00511,"CRI_2018"
"CRI","country","4","all",4993754,0.2,2018,259752.48303113,350833.328125,1104858.42580662,3466967.70703125,0.971,0.0079,NA,0.979,0.979,0.979,0.0199,0,NA,NA,NA,0.979,0.999,NA,NA,NA,NA,0.995,0.268,0.727,0,0.00309,0.265,0.727,0,0.00309,0.995,0.998,0.991,0.994,0.00207,0.00516,0.00582,0.00292,"CRI_2018"
"CRI","country","5","all",4993754,0.2,2018,671680.494900159,21090732.671875,2324609.68586781,21090732.671875,0.982,0.00644,NA,0.989,0.989,0.989,0.0115,0,NA,NA,NA,0.989,1,NA,NA,NA,NA,0.998,0.331,0.668,0,0.000403,0.33,0.667,0,0.000278,0.999,0.999,0.997,0.998,0.000941,0.00134,0.00242,0.000916,"CRI_2018"
"CRI","country","total","all",4993754,1,2018,223035.305280921,21090732.671875,894291.176499464,21090732.671875,0.941,0.012,NA,0.953,0.953,0.953,0.0431,0,NA,NA,NA,0.953,0.996,NA,NA,NA,NA,0.989,0.229,0.754,0,0.0124,0.226,0.75,0,0.0119,0.982,0.995,0.976,0.988,0.00535,0.0178,0.0124,0.00492,"CRI_2018"
"CRI","country","1","female",4993754,0.0848810154464605,2018,43554.0047144149,74050,228357.445118094,583924.34375,0.893,0.0199,NA,0.913,0.913,0.913,0.0747,0,NA,NA,NA,0.913,0.987,NA,NA,NA,NA,0.973,0.2,0.747,0,0.04,0.196,0.734,0,0.038,0.947,0.987,0.93,0.968,0.0129,0.053,0.032,0.00545,"CRI_2018"
"CRI","country","2","female",4993754,0.0716108289275833,2018,97302.8126846546,123005.604199219,485043.613033995,1083899.34375,0.955,0.0114,NA,0.967,0.967,0.967,0.0284,0,NA,NA,NA,0.967,0.995,NA,NA,NA,NA,0.992,0.214,0.776,0,0.00281,0.212,0.774,0,0.00238,0.99,0.992,0.985,0.988,0.00759,0.0104,0.0123,0.00379,"CRI_2018"
"CRI","country","3","female",4993754,0.0707661109488159,2018,155874.265175394,195416.671875,705410.676963917,1621606.48046875,0.963,0.00895,NA,0.972,0.972,0.972,0.0248,0,NA,NA,NA,0.972,0.997,NA,NA,NA,NA,0.991,0.259,0.738,0,0.00145,0.258,0.732,0,0.00145,0.997,0.998,0.99,0.991,0.00173,0.00318,0.00901,0.00316,"CRI_2018"
"CRI","country","4","female",4993754,0.0685097211985937,2018,259887.96675094,350833.328125,1038786.46702598,2770933.7421875,0.972,0.0106,NA,0.983,0.983,0.983,0.014,0,NA,NA,NA,0.983,0.997,NA,NA,NA,NA,0.999,0.288,0.705,0,0.00409,0.288,0.704,0,0.00409,0.992,0.997,0.992,0.996,0.00347,0.00756,0.00391,0.00343,"CRI_2018"
"CRI","country","5","female",4993754,0.0650643803486607,2018,635207.815731847,11346400,2052244.76973934,11346400,0.976,0.0129,NA,0.989,0.989,0.989,0.0114,0,NA,NA,NA,0.989,1,NA,NA,NA,NA,0.998,0.388,0.61,0,0.000323,0.388,0.61,0,0.000323,0.998,0.998,0.998,0.998,0.00188,0.00221,0.00188,0,"CRI_2018"
"CRI","country","total","female",4993754,0.364033300208455,2018,203008.946960722,11346400,790315.403833993,11346400,0.95,0.013,NA,0.963,0.963,0.963,0.0323,0,NA,NA,NA,0.963,0.995,NA,NA,NA,NA,0.99,0.266,0.717,0,0.0108,0.264,0.713,0,0.0103,0.983,0.994,0.977,0.987,0.00581,0.0167,0.0126,0.00328,"CRI_2018"
"CRI","country","1","male",4993754,0.115118984553539,2018,46053.9443971,74062.6375,240633.059396878,684982.875,0.858,0.0201,NA,0.878,0.878,0.878,0.111,0,NA,NA,NA,0.878,0.989,NA,NA,NA,NA,0.978,0.147,0.797,0,0.0432,0.142,0.792,0,0.0428,0.944,0.987,0.933,0.976,0.013,0.0562,0.0241,0.0125,"CRI_2018"
"CRI","country","2","male",4993754,0.128389171072417,2018,98041.9880383345,123062.223958333,483311.925609241,1190345.47753906,0.915,0.0156,NA,0.931,0.931,0.931,0.0668,0,NA,NA,NA,0.931,0.998,NA,NA,NA,NA,0.982,0.155,0.821,0,0.0164,0.151,0.815,0,0.0147,0.976,0.992,0.966,0.981,0.00754,0.024,0.0193,0.00762,"CRI_2018"
"CRI","country","3","male",4993754,0.129233889051184,2018,155269.632452231,195291.66796875,706948.95398031,1496397.59375,0.943,0.013,NA,0.956,0.956,0.956,0.0419,0,NA,NA,NA,0.956,0.998,NA,NA,NA,NA,0.99,0.162,0.826,0,0.00757,0.162,0.821,0,0.00709,0.988,0.996,0.983,0.99,0.00405,0.0116,0.0101,0.00623,"CRI_2018"
"CRI","country","4","male",4993754,0.131490278801406,2018,259681.89262737,350464.928125,1139283.56747009,3466967.70703125,0.97,0.00635,NA,0.976,0.976,0.976,0.0233,0,NA,NA,NA,0.976,1,NA,NA,NA,NA,0.993,0.256,0.74,0,0.00251,0.251,0.739,0,0.00251,0.996,0.999,0.991,0.993,0.00126,0.00377,0.00692,0.00262,"CRI_2018"
"CRI","country","5","male",4993754,0.134935619651339,2018,689267.194956626,21090732.671875,2455940.86841549,21090732.671875,0.985,0.00301,NA,0.988,0.988,0.988,0.0115,0,NA,NA,NA,0.988,1,NA,NA,NA,NA,0.997,0.301,0.698,0,0.000445,0.3,0.697,0,0.000254,0.999,1,0.997,0.997,0.000443,0.000888,0.00271,0.0014,"CRI_2018"
"CRI","country","total","male",4993754,0.635966699791545,2018,234498.58050091,21090732.671875,953807.88339236,21090732.671875,0.936,0.0114,NA,0.948,0.948,0.948,0.0495,0,NA,NA,NA,0.948,0.997,NA,NA,NA,NA,0.988,0.206,0.775,0,0.0133,0.203,0.772,0,0.0128,0.982,0.995,0.975,0.988,0.00508,0.0184,0.0123,0.00591,"CRI_2018"
"CRI","rural","1","all",4993754,0.0872419615077508,2018,44304.4628415522,74050,230293.443653096,684982.875,0.788,0.0181,NA,0.806,0.806,0.806,0.188,0,NA,NA,NA,0.806,0.994,NA,NA,NA,NA,0.978,0.0814,0.842,0,0.0633,0.0806,0.837,0,0.0609,0.923,0.987,0.917,0.978,0.0134,0.0767,0.0218,0.014,"CRI_2018"
"CRI","rural","2","all",4993754,0.0685290544661307,2018,96292.3546185094,123000,438572.317636751,977466.640625,0.85,0.0189,NA,0.869,0.869,0.869,0.13,0,NA,NA,NA,0.869,0.999,NA,NA,NA,NA,0.985,0.0555,0.912,0,0.0249,0.0521,0.91,0,0.0229,0.968,0.993,0.962,0.985,0.00718,0.0321,0.0152,0.00828,"CRI_2018"
"CRI","rural","3","all",4993754,0.0478370998914153,2018,153955.872984253,195291.66796875,639799.289310807,1364702.67382812,0.876,0.0167,NA,0.893,0.893,0.893,0.103,0,NA,NA,NA,0.893,0.996,NA,NA,NA,NA,0.99,0.054,0.933,0,0.0113,0.0526,0.926,0,0.0113,0.987,0.998,0.978,0.99,0.00201,0.0133,0.0104,0.00852,"CRI_2018"
"CRI","rural","4","all",4993754,0.0377222773821717,2018,253083.658759911,350000,992634.578124849,2086666.6640625,0.897,0.0116,NA,0.909,0.909,0.909,0.0849,0,NA,NA,NA,0.909,0.994,NA,NA,NA,NA,0.994,0.0638,0.919,0,0.0136,0.0638,0.917,0,0.0136,0.983,0.996,0.981,0.994,0.00378,0.0173,0.00555,0.00487,"CRI_2018"
"CRI","rural","5","all",4993754,0.02083668568345,2018,636770.691314893,11346400,1941999.89979966,11346400,0.902,0.0167,NA,0.919,0.919,0.919,0.0815,0,NA,NA,NA,0.919,1,NA,NA,NA,NA,0.998,0.0391,0.958,0,0.00204,0.0391,0.958,0,0.000964,0.997,0.999,0.997,0.998,0.000999,0.00304,0.00207,0.000999,"CRI_2018"
"CRI","rural","total","all",4993754,0.274558918862066,2018,141870.418785483,11346400,564715.651004943,11346400,0.846,0.017,NA,0.863,0.863,0.863,0.133,0,NA,NA,NA,0.863,0.996,NA,NA,NA,NA,0.986,0.0633,0.898,0,0.0311,0.0619,0.895,0,0.0296,0.962,0.993,0.956,0.986,0.00718,0.0382,0.0139,0.00903,"CRI_2018"
"CRI","rural","1","female",4993754,0.0312894518020871,2018,41983.2270757142,74050,229622.639211073,519000,0.796,0.0216,NA,0.817,0.817,0.817,0.175,0,NA,NA,NA,0.817,0.992,NA,NA,NA,NA,0.971,0.0769,0.84,0,0.0715,0.0745,0.831,0,0.0659,0.917,0.988,0.906,0.971,0.0116,0.0831,0.0286,0.0114,"CRI_2018"
"CRI","rural","2","female",4993754,0.017985980662059,2018,96310.6916356679,122951.109375,414800.267897948,858333.328125,0.882,0.0242,NA,0.906,0.906,0.906,0.0892,0,NA,NA,NA,0.906,0.996,NA,NA,NA,NA,0.985,0.0865,0.895,0,0.0101,0.0817,0.895,0,0.00856,0.981,0.992,0.977,0.985,0.00846,0.0186,0.0148,0.00599,"CRI_2018"
"CRI","rural","3","female",4993754,0.0126443307208531,2018,155105.006720124,194957.524832589,635080.106342416,1364702.67382812,0.869,0.0248,NA,0.894,0.894,0.894,0.106,0,NA,NA,NA,0.894,1,NA,NA,NA,NA,0.984,0.0755,0.917,0,0.00736,0.0755,0.901,0,0.00736,0.993,1,0.976,0.984,0,0.00736,0.0162,0.00857,"CRI_2018"
"CRI","rural","4","female",4993754,0.0117401768670609,2018,252195.744552643,350000,985002.961048609,2086666.6640625,0.907,0.0151,NA,0.922,0.922,0.922,0.0602,0,NA,NA,NA,0.922,0.982,NA,NA,NA,NA,0.996,0.0659,0.912,0,0.0176,0.0659,0.912,0,0.0176,0.978,0.996,0.978,0.996,0.00424,0.0219,0.00424,0,"CRI_2018"
"CRI","rural","5","female",4993754,0.0061120676686463,2018,648122.608096186,11346400,1766409.96057607,11346400,0.85,0.0512,NA,0.901,0.901,0.901,0.0993,0,NA,NA,NA,0.901,1,NA,NA,NA,NA,1,0.0249,0.972,0,0.00335,0.0249,0.972,0,0.00335,0.997,1,0.997,1,0,0.00335,0,0,"CRI_2018"
"CRI","rural","total","female",4993754,0.0840310877375312,2018,135930.577761709,11346400,526132.790846686,11346400,0.849,0.0241,NA,0.874,0.874,0.874,0.12,0,NA,NA,NA,0.874,0.994,NA,NA,NA,NA,0.983,0.0733,0.887,0,0.0327,0.0713,0.881,0,0.0302,0.96,0.993,0.952,0.983,0.0069,0.0396,0.0174,0.00704,"CRI_2018"
"CRI","rural","1","male",4993754,0.0559525097056637,2018,45602.5314178955,73852.46875,230668.567188532,684982.875,0.784,0.0162,NA,0.8,0.8,0.8,0.195,0,NA,NA,NA,0.8,0.996,NA,NA,NA,NA,0.982,0.0839,0.843,0,0.0588,0.0839,0.84,0,0.0581,0.927,0.986,0.924,0.982,0.0144,0.0732,0.0181,0.0154,"CRI_2018"
"CRI","rural","2","male",4993754,0.0505430738040717,2018,96285.8293082901,123000,447031.708701034,977466.640625,0.837,0.0169,NA,0.854,0.854,0.854,0.146,0,NA,NA,NA,0.854,1,NA,NA,NA,NA,0.985,0.0432,0.919,0,0.0308,0.0403,0.916,0,0.0286,0.963,0.993,0.956,0.985,0.00666,0.0375,0.0154,0.00919,"CRI_2018"
"CRI","rural","3","male",4993754,0.0351927691705622,2018,153543.00331411,195291.66796875,641494.833923831,1165025.3203125,0.879,0.0136,NA,0.893,0.893,0.893,0.101,0,NA,NA,NA,0.893,0.994,NA,NA,NA,NA,0.992,0.0456,0.939,0,0.0128,0.0437,0.935,0,0.0128,0.984,0.997,0.979,0.992,0.00278,0.0156,0.00823,0.0085,"CRI_2018"
"CRI","rural","4","male",4993754,0.0259821005151109,2018,253484.86842462,350000,996082.972691894,2069848,0.893,0.0101,NA,0.903,0.903,0.903,0.0962,0,NA,NA,NA,0.903,0.999,NA,NA,NA,NA,0.994,0.0628,0.922,0,0.0117,0.0628,0.919,0,0.0117,0.985,0.996,0.982,0.994,0.00356,0.0153,0.00615,0.00709,"CRI_2018"
"CRI","rural","5","male",4993754,0.0147246180148037,2018,632058.604151319,3971240,2014885.83744429,8442750.5,0.923,0.00268,NA,0.926,0.926,0.926,0.0743,0,NA,NA,NA,0.926,1,NA,NA,NA,NA,0.997,0.0448,0.952,0,0.00151,0.0448,0.952,0,0,0.997,0.999,0.997,0.997,0.0014,0.00291,0.00291,0.0014,"CRI_2018"
"CRI","rural","total","male",4993754,0.190527831124535,2018,144490.147878444,3971240,581732.376005104,8442750.5,0.845,0.0138,NA,0.859,0.859,0.859,0.139,0,NA,NA,NA,0.859,0.997,NA,NA,NA,NA,0.988,0.0588,0.904,0,0.0303,0.0576,0.901,0,0.0294,0.962,0.993,0.958,0.988,0.00731,0.0376,0.0124,0.00993,"CRI_2018"
"CRI","urban","1","all",4993754,0.112758038492249,2018,45525.6519836267,74062.6375,239392.187807063,640986.671875,0.939,0.0215,NA,0.96,0.96,0.96,0.0237,0,NA,NA,NA,0.96,0.984,NA,NA,NA,NA,0.975,0.239,0.723,0,0.0251,0.231,0.712,0,0.0251,0.962,0.987,0.943,0.968,0.0127,0.0377,0.0319,0.00597,"CRI_2018"
"CRI","urban","2","all",4993754,0.131470945533869,2018,98551.361146219,123062.223958333,507575.61817277,1190345.47753906,0.976,0.0113,NA,0.987,0.987,0.987,0.00865,0,NA,NA,NA,0.987,0.996,NA,NA,NA,NA,0.986,0.246,0.742,0,0.00371,0.242,0.737,0,0.00285,0.989,0.992,0.98,0.983,0.00778,0.0115,0.0175,0.00502,"CRI_2018"
"CRI","urban","3","all",4993754,0.152162900108585,2018,155963.848645522,195416.671875,727344.118190793,1621606.48046875,0.976,0.0097,NA,0.986,0.986,0.986,0.0124,0,NA,NA,NA,0.986,0.998,NA,NA,NA,NA,0.991,0.248,0.745,0,0.00325,0.247,0.741,0,0.00284,0.993,0.996,0.988,0.991,0.00362,0.00687,0.00948,0.00392,"CRI_2018"
