"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"DOM","country","1","all",10266149,0.2,2018,2544.28263141393,4000,13677.3376862892,48883.3325195312,0.508,0.314,0.0128,0.835,0.814,0.814,0.177,0.105,0,NA,NA,0.919,0.991,NA,NA,NA,NA,0.898,0.127,0.539,0,0.306,0.121,0.529,0,0.248,0.666,0.973,0.649,0.898,0.0272,0.334,0.102,0.0272,"DOM_2018"
"DOM","country","2","all",10266149,0.2,2018,5015.67443137341,6190.6,24610.1587962099,65473.0004882812,0.612,0.216,0.0194,0.847,0.825,0.825,0.172,0.116,0,NA,NA,0.942,0.997,NA,NA,NA,NA,0.922,0.178,0.626,0,0.18,0.174,0.609,0,0.139,0.804,0.984,0.783,0.922,0.0163,0.196,0.0779,0.0163,"DOM_2018"
"DOM","country","3","all",10266149,0.2,2018,7393.88354245631,8916.666015625,34733.7980238071,115136.33203125,0.717,0.174,0.00724,0.899,0.89,0.89,0.109,0.0605,0,NA,NA,0.951,0.999,NA,NA,NA,NA,0.936,0.199,0.67,0,0.123,0.195,0.653,0,0.0886,0.869,0.993,0.848,0.936,0.0073,0.131,0.0637,0.0073,"DOM_2018"
"DOM","country","4","all",10266149,0.2,2018,11085.8946196486,13891.6669921875,46932.2324520824,104746.999023438,0.778,0.127,0.00946,0.915,0.903,0.903,0.0949,0.0497,0,NA,NA,0.953,0.998,NA,NA,NA,NA,0.959,0.243,0.669,0,0.0834,0.239,0.657,0,0.0621,0.912,0.995,0.897,0.959,0.00453,0.0879,0.0412,0.00453,"DOM_2018"
"DOM","country","5","all",10266149,0.2,2018,26466.5258921943,617616.625,94106.6887380541,1235233.25,0.813,0.091,0.0133,0.917,0.903,0.903,0.0965,0.0451,0,NA,NA,0.948,1,NA,NA,NA,NA,0.96,0.349,0.599,0,0.0488,0.341,0.586,0,0.0332,0.948,0.996,0.927,0.96,0.0037,0.0525,0.04,0.0037,"DOM_2018"
"DOM","country","total","all",10266149,1,2018,9504.6107268778,617616.625,39440.2850179906,1235233.25,0.686,0.184,0.0124,0.883,0.867,0.867,0.13,0.0754,0,NA,NA,0.942,0.997,NA,NA,NA,NA,0.935,0.219,0.621,0,0.148,0.214,0.607,0,0.114,0.84,0.988,0.821,0.935,0.0118,0.16,0.065,0.0118,"DOM_2018"
"DOM","country","1","female",10266149,0.0807853591467306,2018,2707.89528696444,4000,14230.7996479602,48883.3325195312,0.532,0.305,0.0131,0.85,0.824,0.824,0.164,0.112,0,NA,NA,0.936,0.988,NA,NA,NA,NA,0.906,0.147,0.583,0,0.248,0.14,0.574,0,0.192,0.73,0.978,0.714,0.906,0.022,0.27,0.0938,0.022,"DOM_2018"
"DOM","country","2","female",10266149,0.0694994143268477,2018,5081.58435113702,6166.66674804688,23954.6982215502,65473.0004882812,0.632,0.22,0.0039,0.855,0.848,0.848,0.149,0.0955,0,NA,NA,0.944,0.997,NA,NA,NA,NA,0.932,0.187,0.65,0,0.149,0.18,0.633,0,0.119,0.837,0.987,0.813,0.932,0.0134,0.163,0.0678,0.0134,"DOM_2018"
"DOM","country","3","female",10266149,0.0631823135783757,2018,7385.6273191139,8902.77766927083,32909.2798900138,83447.66796875,0.749,0.167,0.00356,0.92,0.914,0.914,0.0834,0.0465,0,NA,NA,0.96,0.997,NA,NA,NA,NA,0.96,0.211,0.68,0,0.105,0.208,0.674,0,0.0785,0.891,0.996,0.881,0.96,0.00424,0.109,0.04,0.00424,"DOM_2018"
"DOM","country","4","female",10266149,0.0679932669902359,2018,11041.1313003956,13875,46861.9413682636,91000,0.811,0.111,0.00697,0.93,0.923,0.923,0.0772,0.0542,0,NA,NA,0.977,1,NA,NA,NA,NA,0.973,0.253,0.7,0,0.0439,0.25,0.691,0,0.0317,0.954,0.998,0.941,0.973,0.00226,0.0462,0.027,0.00226,"DOM_2018"
