"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"ECU","country","1","all",16776977,0.2,2017,48.9516753010852,80.7142857142857,316.209957375436,1100,0.434,0.184,0.028,0.646,0.618,0.618,0.273,0.0395,0,NA,NA,0.658,0.891,NA,NA,NA,0.365,0.79,0.384,0.331,0,0,0.335,0.295,0,0,0.715,0.715,0.63,0.63,0.285,0.285,0.37,0.111,"ECU_2017"
"ECU","country","2","all",16776977,0.2,2017,104.818827221288,130.5,622.204835075513,1721,0.633,0.138,0.0297,0.801,0.771,0.771,0.193,0.0375,0,NA,NA,0.809,0.965,NA,NA,NA,0.442,0.862,0.553,0.316,0,0,0.492,0.278,0,0,0.869,0.869,0.77,0.77,0.131,0.131,0.23,0.0328,"ECU_2017"
"ECU","country","3","all",16776977,0.2,2017,161.414111865326,198.333333333333,876.637876922678,2840,0.737,0.102,0.0195,0.859,0.839,0.839,0.143,0.0288,0,NA,NA,0.868,0.982,NA,NA,NA,0.39,0.897,0.662,0.259,0,0,0.605,0.235,0,0,0.921,0.921,0.84,0.84,0.0789,0.0789,0.16,0.0158,"ECU_2017"
"ECU","country","4","all",16776977,0.2,2017,248.237111904788,319.75,1252.97912979975,3334,0.825,0.0679,0.0123,0.906,0.893,0.893,0.0966,0.0195,0,NA,NA,0.913,0.99,NA,NA,NA,0.473,0.906,0.762,0.187,0,0,0.708,0.165,0,0,0.95,0.95,0.873,0.873,0.0502,0.0502,0.127,0.0137,"ECU_2017"
"ECU","country","5","all",16776977,0.2,2017,564.11982415134,50260,2293.17848077118,50260,0.918,0.0297,0.00606,0.954,0.948,0.948,0.0456,0.00968,0,NA,NA,0.957,0.993,NA,NA,NA,0.563,0.944,0.861,0.122,0,0,0.822,0.111,0,0,0.984,0.984,0.933,0.933,0.0162,0.0162,0.0666,0.00493,"ECU_2017"
"ECU","country","total","all",16776977,1,2017,201.882540555091,50260,980.987739567026,50260,0.71,0.104,0.0191,0.833,0.814,0.814,0.15,0.027,0,NA,NA,0.841,0.964,NA,NA,NA,0.413,0.88,0.644,0.243,0,0,0.593,0.217,0,0,0.888,0.888,0.809,0.809,0.112,0.112,0.191,0.0357,"ECU_2017"
"ECU","country","1","female",16776977,0.0438411032934051,2017,51.290686269334,80.6,314.235796644004,925,0.553,0.2,0.0231,0.776,0.753,0.753,0.189,0.035,0,NA,NA,0.788,0.942,NA,NA,NA,0.463,0.794,0.51,0.283,0,0,0.44,0.246,0,0,0.793,0.793,0.685,0.685,0.207,0.207,0.315,0.0866,"ECU_2017"
"ECU","country","2","female",16776977,0.0498641154799675,2017,105.132306187116,130.333333333333,603.885573080812,1521,0.696,0.132,0.0335,0.862,0.828,0.828,0.147,0.039,0,NA,NA,0.867,0.975,NA,NA,NA,0.326,0.836,0.614,0.285,0,0,0.536,0.237,0,0,0.9,0.9,0.773,0.773,0.1,0.1,0.227,0.0288,"ECU_2017"
"ECU","country","3","female",16776977,0.0468399043851571,2017,162.31506286423,198.333333333333,861.080663909825,1820,0.762,0.105,0.0176,0.885,0.867,0.867,0.116,0.0246,0,NA,NA,0.892,0.983,NA,NA,NA,0.264,0.899,0.685,0.253,0,0,0.622,0.232,0,0,0.938,0.938,0.854,0.854,0.0622,0.0622,0.146,0.0144,"ECU_2017"
"ECU","country","4","female",16776977,0.0453062679395128,2017,249.4852109513,319.5,1288.75404800774,3066,0.847,0.0709,0.0131,0.931,0.918,0.918,0.0765,0.0217,0,NA,NA,0.94,0.994,NA,NA,NA,0.454,0.894,0.76,0.206,0,0,0.698,0.176,0,0,0.966,0.966,0.873,0.873,0.0341,0.0341,0.127,0.011,"ECU_2017"
