"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"ECU","country","1","all",17510643,2020,0.2,32.8805796992313,60,220.402834931522,602,0.455,0.126,0.0367,0.618,0.581,0.581,0.246,0.135,NA,NA,NA,0.716,0.828,NA,NA,NA,0.616,NA,0.361,0.368,0.08,0.132,NA,NA,NA,NA,0.809,0.86,NA,NA,0.14,0.191,NA,0.15,"ECU_2020"
"ECU","country","2","all",17510643,2020,0.2,79.8737618526725,101.285714285714,467.005163650285,1170,0.634,0.112,0.044,0.79,0.746,0.746,0.224,0.112,NA,NA,NA,0.858,0.97,NA,NA,NA,0.76,NA,0.497,0.391,0.0523,0.0718,NA,NA,NA,NA,0.94,0.959,NA,NA,0.0409,0.0604,NA,0.0475,"ECU_2020"
"ECU","country","3","all",17510643,2020,0.2,126.92289865841,152.5,740.636928566621,1684,0.741,0.0728,0.014,0.828,0.814,0.814,0.174,0.0812,NA,NA,NA,0.895,0.988,NA,NA,NA,0.827,NA,0.585,0.35,0.0396,0.0554,NA,NA,NA,NA,0.975,0.991,NA,NA,0.00945,0.0252,NA,0.0147,"ECU_2020"
"ECU","country","4","all",17510643,2020,0.2,198.038817494249,259,986.152035688316,2274,0.819,0.0589,0.0104,0.888,0.877,0.877,0.112,0.0633,NA,NA,NA,0.941,0.989,NA,NA,NA,0.897,NA,0.701,0.266,0.0215,0.0273,NA,NA,NA,NA,0.989,0.995,NA,NA,0.00501,0.0108,NA,0.00922,"ECU_2020"
"ECU","country","5","all",17510643,2020,0.2,527.294239682783,11500,2145.7402231944,24000,0.924,0.0157,0.00295,0.943,0.94,0.94,0.0545,0.0326,NA,NA,NA,0.973,0.994,NA,NA,NA,0.951,NA,0.881,0.105,0.00826,0.0101,NA,NA,NA,NA,0.994,0.996,NA,NA,0.00385,0.00571,NA,0.00487,"ECU_2020"
"ECU","country","total","all",17510643,2020,1,167.787802804395,11500,812.974701425037,24000,0.715,0.0771,0.0216,0.813,0.792,0.792,0.162,0.0847,NA,NA,NA,0.876,0.954,NA,NA,NA,0.81,NA,0.605,0.296,0.0404,0.0593,NA,NA,NA,NA,0.941,0.96,NA,NA,0.0398,0.0587,NA,0.0453,"ECU_2020"
"ECU","country","1","female",17510643,2020,0.0482564987317654,37.3594742985597,60,224.848122100722,530,0.538,0.111,0.0861,0.735,0.649,0.649,0.26,0.168,NA,NA,NA,0.817,0.909,NA,NA,NA,0.677,NA,0.446,0.349,0.087,0.162,NA,NA,NA,NA,0.882,0.958,NA,NA,0.0423,0.118,NA,0.0435,"ECU_2020"
"ECU","country","2","female",17510643,2020,0.0551336484778888,79.6010570763868,101.25,452.057466011618,1109,0.722,0.0962,0.0776,0.896,0.819,0.819,0.173,0.121,NA,NA,NA,0.94,0.992,NA,NA,NA,0.834,NA,0.646,0.287,0.0474,0.06,NA,NA,NA,NA,0.981,0.993,NA,NA,0.00672,0.0193,NA,0.0109,"ECU_2020"
"ECU","country","3","female",17510643,2020,0.0516911387066036,128.363572637085,152.5,665.694172313546,1250,0.765,0.062,0.0187,0.845,0.827,0.827,0.168,0.059,NA,NA,NA,0.886,0.995,NA,NA,NA,0.84,NA,0.668,0.264,0.0542,0.0632,NA,NA,NA,NA,0.986,0.995,NA,NA,0.00472,0.0137,NA,0.0113,"ECU_2020"
"ECU","country","4","female",17510643,2020,0.0617653425313178,198.131919984512,257.5,970.83544609159,2274,0.875,0.0488,0.0252,0.949,0.924,0.924,0.0737,0.0454,NA,NA,NA,0.969,0.997,NA,NA,NA,0.934,NA,0.715,0.266,0.0143,0.017,NA,NA,NA,NA,0.995,0.998,NA,NA,0.00183,0.00459,NA,0.004,"ECU_2020"
"ECU","country","5","female",17510643,2020,0.0428650016403068,446.664353554382,2793,1515.61420968555,6320,0.95,0.00363,0,0.954,0.954,0.954,0.0446,0.0269,NA,NA,NA,0.981,0.998,NA,NA,NA,0.964,NA,0.905,0.0887,0.00355,0.00434,NA,NA,NA,NA,0.997,0.998,NA,NA,0.002,0.00279,NA,0.002,"ECU_2020"
"ECU","country","total","female",17510643,2020,0.260271559968782,151.655834766652,2793,689.290249495577,6320,0.768,0.0658,0.0424,0.876,0.834,0.834,0.145,0.0847,NA,NA,NA,0.919,0.978,NA,NA,NA,0.849,NA,0.671,0.256,0.0415,0.0614,NA,NA,NA,NA,0.969,0.989,NA,NA,0.0114,0.0313,NA,0.0143,"ECU_2020"
"ECU","country","1","male",17510643,2020,0.151743501268235,31.456230255955,60,218.989173108445,602,0.423,0.132,0.0177,0.573,0.555,0.555,0.241,0.122,NA,NA,NA,0.677,0.796,NA,NA,NA,0.592,NA,0.328,0.375,0.0774,0.12,NA,NA,NA,NA,0.78,0.823,NA,NA,0.177,0.22,NA,0.191,"ECU_2020"
"ECU","country","2","male",17510643,2020,0.144866351522111,79.9775486127863,101.285714285714,472.694000971754,1170,0.597,0.119,0.0299,0.746,0.716,0.716,0.246,0.108,NA,NA,NA,0.823,0.962,NA,NA,NA,0.728,NA,0.434,0.434,0.0543,0.0767,NA,NA,NA,NA,0.922,0.945,NA,NA,0.0553,0.0776,NA,0.0629,"ECU_2020"
"ECU","country","3","male",17510643,2020,0.148308861293396,126.420770344476,152.5,766.757258631521,1684,0.731,0.0771,0.0121,0.82,0.808,0.808,0.177,0.0901,NA,NA,NA,0.898,0.985,NA,NA,NA,0.821,NA,0.552,0.384,0.0338,0.0522,NA,NA,NA,NA,0.97,0.989,NA,NA,0.0113,0.0298,NA,0.016,"ECU_2020"
"ECU","country","4","male",17510643,2020,0.138234657468682,197.997217888862,259,992.995720334243,2200,0.792,0.0637,0.00327,0.859,0.855,0.855,0.13,0.0718,NA,NA,NA,0.927,0.985,NA,NA,NA,0.88,NA,0.695,0.266,0.025,0.0323,NA,NA,NA,NA,0.986,0.993,NA,NA,0.00653,0.0138,NA,0.0117,"ECU_2020"
"ECU","country","5","male",17510643,2020,0.157134998359693,549.289340947494,11500,2317.6328816385,24000,0.916,0.0196,0.0039,0.939,0.936,0.936,0.0577,0.0344,NA,NA,NA,0.97,0.993,NA,NA,NA,0.947,NA,0.873,0.11,0.00977,0.012,NA,NA,NA,NA,0.993,0.996,NA,NA,0.00445,0.00664,NA,0.00579,"ECU_2020"
"ECU","country","total","male",17510643,2020,0.739728440031218,173.463794505312,11500,856.492759546753,24000,0.693,0.0816,0.0133,0.788,0.775,0.775,0.169,0.0847,NA,NA,NA,0.86,0.944,NA,NA,NA,0.794,NA,0.579,0.312,0.0399,0.0584,NA,NA,NA,NA,0.93,0.949,NA,NA,0.0511,0.0696,NA,0.0576,"ECU_2020"
"ECU","rural","1","all",17510643,2020,0.118317734027672,30.1860885969839,60,218.085183431408,602,0.192,0.118,0.00941,0.32,0.31,0.31,0.37,0.188,NA,NA,NA,0.498,0.68,NA,NA,NA,0.374,NA,0.133,0.407,0.115,0.2,NA,NA,NA,NA,0.655,0.741,NA,NA,0.259,0.345,NA,0.268,"ECU_2020"
"ECU","rural","2","all",17510643,2020,0.0766789041692677,81.4127219770272,101.166666666667,505.74715314406,1170,0.315,0.155,0.0166,0.487,0.47,0.47,0.45,0.176,NA,NA,NA,0.646,0.92,NA,NA,NA,0.506,NA,0.183,0.532,0.123,0.174,NA,NA,NA,NA,0.838,0.889,NA,NA,0.111,0.162,NA,0.127,"ECU_2020"
"ECU","rural","3","all",17510643,2020,0.0604070866817415,124.362495544259,152.5,723.100190966486,1610,0.416,0.104,0.0236,0.544,0.52,0.52,0.441,0.218,NA,NA,NA,0.737,0.961,NA,NA,NA,0.563,NA,0.229,0.604,0.0878,0.137,NA,NA,NA,NA,0.921,0.97,NA,NA,0.0302,0.0793,NA,0.0453,"ECU_2020"
"ECU","rural","4","all",17510643,2020,0.0491226382189711,195.613157992328,258,991.207723598602,1985,0.481,0.106,0.00891,0.596,0.587,0.587,0.37,0.199,NA,NA,NA,0.786,0.957,NA,NA,NA,0.665,NA,0.337,0.565,0.0639,0.0802,NA,NA,NA,NA,0.966,0.982,NA,NA,0.0178,0.0341,NA,0.0278,"ECU_2020"
"ECU","rural","5","all",17510643,2020,0.0244004186967532,470.477857420034,11500,1772.58444369842,11500,0.57,0.04,0.00446,0.615,0.61,0.61,0.345,0.221,NA,NA,NA,0.832,0.955,NA,NA,NA,0.693,NA,0.431,0.466,0.0589,0.072,NA,NA,NA,NA,0.956,0.969,NA,NA,0.0312,0.0443,NA,0.0375,"ECU_2020"
"ECU","rural","total","all",17510643,2020,0.353549525153351,102.560625468146,11500,552.105841725288,11500,0.339,0.116,0.0134,0.468,0.455,0.455,0.4,0.195,NA,NA,NA,0.65,0.855,NA,NA,NA,0.512,NA,0.219,0.504,0.0992,0.153,NA,NA,NA,NA,0.822,0.875,NA,NA,0.125,0.178,NA,0.136,"ECU_2020"
"ECU","rural","1","female",17510643,2020,0.021868396252672,32.9289694420381,60,242.158294074878,480,0.255,0.109,0.015,0.379,0.364,0.364,0.392,0.225,NA,NA,NA,0.589,0.756,NA,NA,NA,0.437,NA,0.191,0.342,0.153,0.354,NA,NA,NA,NA,0.686,0.887,NA,NA,0.113,0.314,NA,0.115,"ECU_2020"
"ECU","rural","2","female",17510643,2020,0.0128920389225681,81.1530750049368,100,434.731236264967,796,0.412,0.202,0.0314,0.646,0.614,0.614,0.352,0.202,NA,NA,NA,0.816,0.967,NA,NA,NA,0.677,NA,0.29,0.495,0.145,0.188,NA,NA,NA,NA,0.93,0.973,NA,NA,0.0271,0.0704,NA,0.037,"ECU_2020"
"ECU","rural","3","female",17510643,2020,0.0126416110041209,126.431093350868,152,608.696480885683,1180,0.472,0.132,0.0249,0.63,0.605,0.605,0.375,0.172,NA,NA,NA,0.777,0.98,NA,NA,NA,0.655,NA,0.364,0.497,0.0935,0.123,NA,NA,NA,NA,0.955,0.984,NA,NA,0.0161,0.0455,NA,0.0367,"ECU_2020"
"ECU","rural","4","female",17510643,2020,0.00742884133297285,200.045457863971,257.333333333333,729.904821478528,1487,0.609,0.105,0.00515,0.719,0.714,0.714,0.27,0.133,NA,NA,NA,0.847,0.984,NA,NA,NA,0.776,NA,0.371,0.52,0.0807,0.0977,NA,NA,NA,NA,0.971,0.988,NA,NA,0.0115,0.0285,NA,0.0249,"ECU_2020"
