"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"GTM","country","1","all",16346950,2018,0.2,164.5928712621,273.444447835286,1320.91369949133,3830,0.329,0.179,0.00471,0.513,0.508,0.469,0.531,0.221,0.0514,NA,NA,0.689,1,NA,NA,0.806,0.0729,NA,0.108,0.0487,0,0.7,NA,NA,NA,NA,0.157,0.858,NA,NA,0.142,0.843,NA,0.0804,"GTM_2018"
"GTM","country","2","all",16346950,2018,0.2,383.496062447956,500,2703.79073764717,6500,0.429,0.219,0.00436,0.652,0.648,0.574,0.426,0.192,0.0854,NA,NA,0.766,1,NA,NA,0.735,0.141,NA,0.234,0.0663,0,0.558,NA,NA,NA,NA,0.301,0.858,NA,NA,0.142,0.699,NA,0.0587,"GTM_2018"
"GTM","country","3","all",16346950,2018,0.2,644.013373022985,823.25,4064.14933823686,10847.6666564941,0.568,0.179,0.00843,0.755,0.747,0.53,0.47,0.292,0.238,NA,NA,0.822,1,NA,NA,0.806,0.241,NA,0.377,0.099,0,0.414,NA,NA,NA,NA,0.476,0.89,NA,NA,0.11,0.524,NA,0.0272,"GTM_2018"
"GTM","country","4","all",16346950,2018,0.2,1098.02615979453,1470,6322.99243656098,13450,0.678,0.154,0.00951,0.841,0.831,0.478,0.522,0.431,0.385,NA,NA,0.909,1,NA,NA,0.848,0.361,NA,0.539,0.101,0,0.233,NA,NA,NA,NA,0.64,0.873,NA,NA,0.127,0.36,NA,0.0126,"GTM_2018"
"GTM","country","5","all",16346950,2018,0.2,2810.47394048718,50000,13821.2427741932,216333.333251953,0.835,0.0922,0.00533,0.933,0.928,0.298,0.702,0.667,0.653,NA,NA,0.965,1,NA,NA,0.913,0.551,NA,0.722,0.102,0,0.0826,NA,NA,NA,NA,0.823,0.906,NA,NA,0.094,0.177,NA,0.00896,"GTM_2018"
"GTM","country","total","all",16346950,2018,1,893.800202787233,50000,5046.53426142631,216333.333251953,0.568,0.165,0.00647,0.739,0.732,0.47,0.53,0.361,0.283,NA,NA,0.831,1,NA,NA,0.822,0.274,NA,0.396,0.0834,0,0.398,NA,NA,NA,NA,0.479,0.877,NA,NA,0.123,0.521,NA,0.0376,"GTM_2018"
"GTM","country","1","female",16346950,2018,0.0181905846669276,172.176463473682,272.222223917643,953.760616207776,2333.33331298828,0.426,0.193,0,0.619,0.619,0.558,0.442,0.151,0.0718,NA,NA,0.709,1,NA,NA,0.84,0.151,NA,0.191,0.0706,0,0.632,NA,NA,NA,NA,0.262,0.894,NA,NA,0.106,0.738,NA,0.0216,"GTM_2018"
"GTM","country","2","female",16346950,2018,0.0362496596826379,386.811800381673,500,2411.42669277226,4933.33337402344,0.508,0.239,0.00206,0.748,0.746,0.62,0.38,0.202,0.136,NA,NA,0.821,1,NA,NA,0.68,0.161,NA,0.27,0.0937,0,0.471,NA,NA,NA,NA,0.364,0.835,NA,NA,0.165,0.636,NA,0.0822,"GTM_2018"
"GTM","country","3","female",16346950,2018,0.0389998491634182,642.838593942124,823.25,4049.28337995863,9035.6669921875,0.618,0.132,0.0123,0.761,0.749,0.507,0.493,0.312,0.262,NA,NA,0.819,1,NA,NA,0.74,0.238,NA,0.384,0.114,0,0.366,NA,NA,NA,NA,0.498,0.864,NA,NA,0.136,0.502,NA,0.0306,"GTM_2018"
"GTM","country","4","female",16346950,2018,0.0366809504032594,1112.56682033985,1466.66666666667,6011.79700927798,12549.9995117188,0.669,0.143,0.0131,0.825,0.812,0.451,0.549,0.463,0.385,NA,NA,0.914,1,NA,NA,0.781,0.437,NA,0.542,0.11,0,0.233,NA,NA,NA,NA,0.652,0.885,NA,NA,0.115,0.348,NA,0.00511,"GTM_2018"
"GTM","country","5","female",16346950,2018,0.0405122562082256,2557.60314119935,17388.8880208333,11827.9388088838,52166.6640625,0.842,0.0604,0.00186,0.904,0.902,0.281,0.719,0.678,0.646,NA,NA,0.959,1,NA,NA,0.894,0.599,NA,0.777,0.069,0,0.0812,NA,NA,NA,NA,0.846,0.927,NA,NA,0.0732,0.154,NA,0.0073,"GTM_2018"
"GTM","country","total","female",16346950,2018,0.165983794028416,980.33142761979,17388.8880208333,5131.33049414235,52166.6640625,0.631,0.149,0.00624,0.786,0.779,0.474,0.526,0.382,0.323,NA,NA,0.857,1,NA,NA,0.785,0.334,NA,0.457,0.0926,0,0.331,NA,NA,NA,NA,0.55,0.881,NA,NA,0.119,0.45,NA,0.0298,"GTM_2018"
"GTM","country","1","male",16346950,2018,0.181809415333072,163.834109808787,273.444447835286,1357.64848154295,3830,0.315,0.177,0.00541,0.497,0.491,0.455,0.545,0.231,0.0484,NA,NA,0.687,1,NA,NA,0.801,0.0614,NA,0.0962,0.0455,0,0.71,NA,NA,NA,NA,0.142,0.852,NA,NA,0.148,0.858,NA,0.0891,"GTM_2018"
"GTM","country","2","male",16346950,2018,0.163750340317362,382.762052543237,500,2768.51180698733,6500,0.408,0.215,0.00494,0.628,0.623,0.563,0.437,0.189,0.0724,NA,NA,0.752,1,NA,NA,0.749,0.136,NA,0.225,0.0593,0,0.58,NA,NA,NA,NA,0.284,0.864,NA,NA,0.136,0.716,NA,0.0527,"GTM_2018"
"GTM","country","3","male",16346950,2018,0.161000150836582,644.297945470377,822.854187011719,4067.75039157444,10847.6666564941,0.555,0.191,0.00741,0.754,0.746,0.536,0.464,0.287,0.231,NA,NA,0.823,1,NA,NA,0.823,0.242,NA,0.375,0.0952,0,0.427,NA,NA,NA,NA,0.47,0.897,NA,NA,0.103,0.53,NA,0.0263,"GTM_2018"
"GTM","country","4","male",16346950,2018,0.163319049596741,1094.76037267655,1470,6392.88596130334,13450,0.68,0.156,0.00862,0.844,0.836,0.484,0.516,0.424,0.386,NA,NA,0.908,1,NA,NA,0.865,0.343,NA,0.538,0.0989,0,0.233,NA,NA,NA,NA,0.637,0.87,NA,NA,0.13,0.363,NA,0.0144,"GTM_2018"
"GTM","country","5","male",16346950,2018,0.159487743791774,2874.70688005212,50000,14327.5715930956,216333.333251953,0.834,0.101,0.00631,0.941,0.935,0.303,0.697,0.664,0.655,NA,NA,0.967,1,NA,NA,0.918,0.538,NA,0.706,0.111,0,0.083,NA,NA,NA,NA,0.817,0.9,NA,NA,0.0999,0.183,NA,0.00943,"GTM_2018"
"GTM","country","total","male",16346950,2018,0.834016205971584,876.578977471951,50000,5029.65832984998,216333.333251953,0.553,0.168,0.00652,0.728,0.721,0.469,0.531,0.356,0.273,NA,NA,0.824,1,NA,NA,0.83,0.259,NA,0.382,0.0812,0,0.413,NA,NA,NA,NA,0.463,0.876,NA,NA,0.124,0.537,NA,0.0394,"GTM_2018"
