"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"GTM","country","1","all",16604026,0.2,2019,197.838227353929,313.888889312744,1614.47285879136,4659,0.289,0.189,0.0051,0.483,0.478,0.432,0.402,0.196,0.0536,NA,NA,0.628,0.834,NA,NA,0.699,0.101,NA,0.126,0.077,0,0.744,NA,NA,NA,NA,0.203,0.947,NA,NA,0.0534,0.797,NA,0.0534,"GTM_2019"
"GTM","country","2","all",16604026,0.2,2019,419.791218917163,537.5,3102.9581335289,8858.66662597656,0.41,0.254,0.00481,0.669,0.664,0.569,0.346,0.182,0.114,NA,NA,0.751,0.915,NA,NA,0.653,0.201,NA,0.267,0.0926,0,0.609,NA,NA,NA,NA,0.359,0.968,NA,NA,0.032,0.641,NA,0.0302,"GTM_2019"
"GTM","country","3","all",16604026,0.2,2019,689.850550446997,880.25,4581.46270432125,10543.3333435059,0.516,0.195,0.00698,0.718,0.711,0.517,0.426,0.275,0.211,NA,NA,0.791,0.943,NA,NA,0.563,0.326,NA,0.406,0.0959,0,0.473,NA,NA,NA,NA,0.502,0.974,NA,NA,0.0256,0.498,NA,0.025,"GTM_2019"
"GTM","country","4","all",16604026,0.2,2019,1170.83501983092,1555.5556640625,6844.71226545321,16050.0001220703,0.717,0.145,0.0137,0.876,0.862,0.466,0.506,0.448,0.421,NA,NA,0.914,0.972,NA,NA,0.385,0.492,NA,0.596,0.132,0,0.258,NA,NA,NA,NA,0.728,0.987,NA,NA,0.0134,0.272,NA,0.0132,"GTM_2019"
"GTM","country","5","all",16604026,0.2,2019,2834.02018533164,44927.5,13926.8610846283,106333.333984375,0.854,0.0676,0.0125,0.934,0.921,0.353,0.638,0.614,0.598,NA,NA,0.967,0.991,NA,NA,0.305,0.645,NA,0.747,0.123,0,0.127,NA,NA,NA,NA,0.869,0.997,NA,NA,0.00324,0.131,NA,0.00246,"GTM_2019"
"GTM","country","total","all",16604026,1,2019,931.882960987901,44927.5,5403.00071126196,106333.333984375,0.557,0.17,0.00861,0.736,0.727,0.467,0.464,0.343,0.279,NA,NA,0.81,0.931,NA,NA,0.521,0.353,NA,0.428,0.104,0,0.442,NA,NA,NA,NA,0.532,0.974,NA,NA,0.0255,0.468,NA,0.0249,"GTM_2019"
"GTM","country","1","female",16604026,0.0224495836329952,2019,194.570428385031,307.142857142857,1239.59692969748,2831.66668701172,0.403,0.204,0.00269,0.609,0.607,0.502,0.429,0.166,0.112,NA,NA,0.668,0.932,NA,NA,0.612,0.193,NA,0.286,0.202,0,0.503,NA,NA,NA,NA,0.488,0.99,NA,NA,0.00962,0.512,NA,0.00962,"GTM_2019"
"GTM","country","2","female",16604026,0.0324273643565064,2019,409.689625870553,537.5,2823.903427241,5700,0.49,0.275,0.00335,0.769,0.766,0.627,0.31,0.18,0.163,NA,NA,0.807,0.937,NA,NA,0.61,0.29,NA,0.404,0.146,0,0.436,NA,NA,NA,NA,0.549,0.985,NA,NA,0.015,0.451,NA,0.015,"GTM_2019"
"GTM","country","3","female",16604026,0.0324284701641676,2019,699.200654014471,875,3876.83200555853,7394.6669921875,0.62,0.155,0.00824,0.784,0.776,0.517,0.392,0.287,0.27,NA,NA,0.804,0.91,NA,NA,0.497,0.447,NA,0.498,0.119,0,0.378,NA,NA,NA,NA,0.617,0.995,NA,NA,0.00522,0.383,NA,0.00522,"GTM_2019"
"GTM","country","4","female",16604026,0.0384333579266464,2019,1165.47358785641,1555.5556640625,6152.11029654298,13780,0.742,0.144,0.00733,0.894,0.886,0.464,0.528,0.449,0.442,NA,NA,0.913,0.992,NA,NA,0.365,0.551,NA,0.632,0.137,0,0.229,NA,NA,NA,NA,0.768,0.998,NA,NA,0.00239,0.232,NA,0.00239,"GTM_2019"
"GTM","country","5","female",16604026,0.0340405777277079,2019,2742.34308989142,20350,10824.6229585694,46149.666015625,0.895,0.0643,0.0121,0.971,0.959,0.36,0.638,0.625,0.616,NA,NA,0.984,0.998,NA,NA,0.287,0.658,NA,0.801,0.0985,0,0.0971,NA,NA,NA,NA,0.899,0.996,NA,NA,0.00373,0.101,NA,0,"GTM_2019"
"GTM","country","total","female",16604026,0.156914083027014,2019,993.29659393775,20350,4856.08981261626,46149.666015625,0.652,0.163,0.00713,0.822,0.815,0.489,0.468,0.36,0.342,NA,NA,0.849,0.957,NA,NA,0.459,0.45,NA,0.546,0.136,0,0.311,NA,NA,NA,NA,0.682,0.993,NA,NA,0.00678,0.318,NA,0.00595,"GTM_2019"
"GTM","country","1","male",16604026,0.177550416367005,2019,198.251409861463,313.888889312744,1661.87240137984,4659,0.271,0.186,0.00549,0.462,0.457,0.421,0.398,0.201,0.0441,NA,NA,0.621,0.819,NA,NA,0.714,0.0857,NA,0.0998,0.0567,0,0.783,NA,NA,NA,NA,0.157,0.94,NA,NA,0.0605,0.843,NA,0.0605,"GTM_2019"
"GTM","country","2","male",16604026,0.167572635643494,2019,421.746001313738,537.5,3156.95864859777,8858.66662597656,0.393,0.249,0.00512,0.647,0.642,0.556,0.354,0.183,0.103,NA,NA,0.739,0.91,NA,NA,0.663,0.182,NA,0.237,0.081,0,0.646,NA,NA,NA,NA,0.318,0.964,NA,NA,0.0357,0.682,NA,0.0335,"GTM_2019"
"GTM","country","3","male",16604026,0.167571529835832,2019,688.041116858447,880.25,4717.82295366653,10543.3333435059,0.491,0.204,0.00668,0.702,0.695,0.517,0.434,0.272,0.196,NA,NA,0.788,0.951,NA,NA,0.578,0.297,NA,0.384,0.0904,0,0.495,NA,NA,NA,NA,0.474,0.97,NA,NA,0.0304,0.526,NA,0.0297,"GTM_2019"
"GTM","country","4","male",16604026,0.161566642073354,2019,1172.11039345652,1555.5556640625,7009.4679293095,16050.0001220703,0.71,0.146,0.0154,0.871,0.856,0.466,0.5,0.447,0.415,NA,NA,0.914,0.966,NA,NA,0.39,0.476,NA,0.587,0.131,0,0.266,NA,NA,NA,NA,0.718,0.984,NA,NA,0.0163,0.282,NA,0.0161,"GTM_2019"
"GTM","country","5","male",16604026,0.165959422272292,2019,2852.82442826316,44927.5,14563.1731217159,106333.333984375,0.843,0.0684,0.0126,0.924,0.911,0.351,0.638,0.611,0.594,NA,NA,0.962,0.989,NA,NA,0.31,0.642,NA,0.732,0.129,0,0.135,NA,NA,NA,NA,0.862,0.997,NA,NA,0.00311,0.138,NA,0.00311,"GTM_2019"
"GTM","country","total","male",16604026,0.843085916972986,2019,920.452733408863,44927.5,5504.79107500874,106333.333984375,0.536,0.172,0.00895,0.716,0.707,0.462,0.463,0.339,0.265,NA,NA,0.801,0.925,NA,NA,0.535,0.331,NA,0.401,0.0968,0,0.472,NA,NA,NA,NA,0.498,0.97,NA,NA,0.0298,0.502,NA,0.0292,"GTM_2019"
"GTM","rural","1","all",16604026,0.128248793721192,2019,199.590151065967,311.979166030884,1521.26326831411,4651.41662597656,0.237,0.156,0.00773,0.4,0.392,0.362,0.439,0.24,0.0393,NA,NA,0.602,0.801,NA,NA,0.716,0.0796,NA,0.0991,0.0791,0,0.769,NA,NA,NA,NA,0.178,0.947,NA,NA,0.0531,0.822,NA,0.0531,"GTM_2019"
"GTM","rural","2","all",16604026,0.125057028963171,2019,424.410929740631,537.5,3200.64619993777,8858.66662597656,0.391,0.256,0.00364,0.651,0.648,0.598,0.309,0.149,0.0691,NA,NA,0.746,0.907,NA,NA,0.688,0.158,NA,0.24,0.0937,0,0.635,NA,NA,NA,NA,0.333,0.968,NA,NA,0.0319,0.667,NA,0.029,"GTM_2019"
"GTM","rural","3","all",16604026,0.104331885185703,2019,685.170230968675,880,4545.3626951605,10543.3333435059,0.46,0.222,0.00864,0.691,0.682,0.528,0.405,0.246,0.17,NA,NA,0.775,0.933,NA,NA,0.584,0.284,NA,0.358,0.12,0,0.505,NA,NA,NA,NA,0.478,0.984,NA,NA,0.0164,0.522,NA,0.0152,"GTM_2019"
"GTM","rural","4","all",16604026,0.0955022600850075,2019,1164.78487617812,1553.33330078125,7061.08767320489,16017.5001525879,0.648,0.197,0.0122,0.858,0.846,0.529,0.424,0.377,0.337,NA,NA,0.906,0.953,NA,NA,0.471,0.406,NA,0.483,0.191,0,0.317,NA,NA,NA,NA,0.674,0.991,NA,NA,0.00923,0.326,NA,0.00923,"GTM_2019"
