"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"HND","country","1","all",9012229,0.2,2018,385.613883195119,700,2584.16423720775,7630,0.24,0.491,0.00889,0.74,0.731,0.731,0.196,0.05,NA,NA,NA,0.781,0.927,NA,NA,NA,NA,0.749,0.108,0.124,0.501,0.584,0.0983,0.12,0.454,0.52,0.733,0.816,0.672,0.739,0.184,0.267,0.261,0.173,"HND_2018"
"HND","country","2","all",9012229,0.2,2018,1034.12475131701,1403.83333969116,6612.85784779393,15210.0000572205,0.293,0.512,0.0122,0.817,0.805,0.805,0.147,0.052,NA,NA,NA,0.857,0.952,NA,NA,NA,NA,0.801,0.167,0.212,0.432,0.523,0.145,0.191,0.381,0.455,0.811,0.901,0.717,0.79,0.0986,0.189,0.21,0.0872,"HND_2018"
"HND","country","3","all",9012229,0.2,2018,1870.05726368596,2350,11816.9325505868,25800,0.421,0.424,0.022,0.867,0.845,0.845,0.131,0.0477,NA,NA,NA,0.893,0.976,NA,NA,NA,NA,0.878,0.346,0.233,0.294,0.37,0.316,0.217,0.264,0.33,0.874,0.949,0.797,0.863,0.0506,0.126,0.137,0.0332,"HND_2018"
"HND","country","4","all",9012229,0.2,2018,3129.47584206006,4149.45859375,17650.4453796445,43700,0.567,0.35,0.0192,0.936,0.917,0.917,0.0698,0.0297,NA,NA,NA,0.947,0.987,NA,NA,NA,NA,0.912,0.48,0.291,0.158,0.204,0.443,0.275,0.142,0.182,0.929,0.975,0.861,0.9,0.0246,0.0706,0.1,0.0122,"HND_2018"
"HND","country","5","all",9012229,0.2,2018,8181.73871117749,253339.812505086,38333.1408875575,787394.375,0.76,0.195,0.012,0.967,0.955,0.955,0.0372,0.0162,NA,NA,NA,0.971,0.992,NA,NA,NA,NA,0.947,0.673,0.232,0.059,0.0798,0.641,0.227,0.0517,0.0698,0.964,0.985,0.92,0.938,0.0154,0.0362,0.0615,0.00623,"HND_2018"
"HND","country","total","all",9012229,1,2018,2692.13391824384,253339.812505086,14371.6675888844,787394.375,0.457,0.394,0.0149,0.866,0.851,0.851,0.116,0.0391,NA,NA,NA,0.89,0.967,NA,NA,NA,NA,0.857,0.355,0.218,0.289,0.352,0.329,0.206,0.259,0.311,0.862,0.925,0.793,0.846,0.0747,0.138,0.154,0.0624,"HND_2018"
"HND","country","1","female",9012229,0.0473052114596781,2018,420.944207573769,700,3033.7079059036,7387.916015625,0.314,0.509,0,0.823,0.823,0.823,0.125,0.047,NA,NA,NA,0.87,0.948,NA,NA,NA,NA,0.765,0.22,0.195,0.344,0.434,0.205,0.189,0.304,0.366,0.759,0.849,0.698,0.76,0.151,0.241,0.24,0.146,"HND_2018"
"HND","country","2","female",9012229,0.0604475051935599,2018,1030.30916642047,1403.83333969116,6820.29875790858,12705.6666717529,0.318,0.535,0.0096,0.862,0.853,0.853,0.113,0.0449,NA,NA,NA,0.897,0.965,NA,NA,NA,NA,0.825,0.22,0.223,0.389,0.463,0.194,0.213,0.351,0.409,0.833,0.907,0.758,0.816,0.0934,0.167,0.184,0.0829,"HND_2018"
"HND","country","3","female",9012229,0.0662966588857972,2018,1882.7702112936,2350,12050.1008331194,25400,0.472,0.41,0.0236,0.906,0.883,0.883,0.111,0.0678,NA,NA,NA,0.951,0.993,NA,NA,NA,NA,0.878,0.414,0.254,0.251,0.3,0.386,0.234,0.207,0.252,0.919,0.968,0.827,0.872,0.0319,0.0811,0.128,0.0208,"HND_2018"
"HND","country","4","female",9012229,0.0750504167397055,2018,3095.081368987,4143.33333892822,19716.0184061542,43700,0.612,0.319,0.0218,0.953,0.931,0.931,0.0568,0.0259,NA,NA,NA,0.957,0.988,NA,NA,NA,NA,0.928,0.536,0.276,0.131,0.168,0.506,0.255,0.121,0.156,0.944,0.98,0.882,0.917,0.0196,0.0564,0.0834,0.00722,"HND_2018"
"HND","country","5","female",9012229,0.0604598314229793,2018,7586.86870395057,131232.395833333,33996.2276111369,787394.375,0.756,0.185,0.0231,0.964,0.941,0.941,0.0552,0.029,NA,NA,NA,0.97,0.996,NA,NA,NA,NA,0.955,0.71,0.215,0.0409,0.0574,0.683,0.214,0.0325,0.0447,0.966,0.982,0.93,0.942,0.0179,0.0344,0.0582,0.00234,"HND_2018"
"HND","country","total","female",9012229,0.308333591734989,2018,2702.99198814423,131232.395833333,14950.7649829216,787394.375,0.511,0.38,0.0169,0.908,0.891,0.891,0.0891,0.0425,NA,NA,NA,0.934,0.981,NA,NA,NA,NA,0.878,0.438,0.236,0.22,0.27,0.412,0.223,0.193,0.233,0.894,0.944,0.829,0.869,0.056,0.106,0.131,0.0447,"HND_2018"
"HND","country","1","male",9012229,0.152694788540322,2018,374.668464024971,699,2444.89453120596,7630,0.218,0.485,0.0116,0.714,0.703,0.703,0.218,0.0509,NA,NA,NA,0.753,0.921,NA,NA,NA,NA,0.745,0.0734,0.102,0.55,0.63,0.0652,0.0987,0.5,0.568,0.725,0.805,0.664,0.732,0.195,0.275,0.268,0.182,"HND_2018"
"HND","country","2","male",9012229,0.13955249480644,2018,1035.77748126763,1403.33333740234,6523.00430910296,15210.0000572205,0.282,0.503,0.0133,0.798,0.785,0.785,0.162,0.0551,NA,NA,NA,0.84,0.947,NA,NA,NA,NA,0.791,0.143,0.207,0.451,0.549,0.123,0.182,0.394,0.474,0.801,0.899,0.699,0.779,0.101,0.199,0.221,0.0891,"HND_2018"
"HND","country","3","male",9012229,0.133703341114203,2018,1863.75356219314,2350,11701.3163067351,25800,0.394,0.432,0.0212,0.847,0.826,0.826,0.141,0.0373,NA,NA,NA,0.863,0.967,NA,NA,NA,NA,0.878,0.311,0.223,0.317,0.406,0.28,0.209,0.293,0.37,0.851,0.94,0.781,0.858,0.0602,0.149,0.142,0.0397,"HND_2018"
"HND","country","4","male",9012229,0.124949583260295,2018,3150.13473079199,4149.45859375,16409.7680408261,40750,0.543,0.367,0.0178,0.927,0.91,0.91,0.0768,0.0317,NA,NA,NA,0.941,0.986,NA,NA,NA,NA,0.903,0.45,0.299,0.173,0.224,0.409,0.286,0.154,0.196,0.922,0.973,0.849,0.891,0.0273,0.0782,0.109,0.0148,"HND_2018"
"HND","country","5","male",9012229,0.139540168577021,2018,8439.48342169555,253339.812505086,40212.2345439747,760019.437515259,0.761,0.2,0.00644,0.968,0.961,0.961,0.028,0.00964,NA,NA,NA,0.971,0.989,NA,NA,NA,NA,0.943,0.654,0.241,0.0681,0.0911,0.62,0.234,0.0614,0.0826,0.963,0.986,0.916,0.937,0.0141,0.0371,0.0632,0.0082,"HND_2018"
"HND","country","total","male",9012229,0.691666408265011,2018,2687.29356796561,253339.812505086,14113.5154257402,760019.437515259,0.432,0.401,0.014,0.846,0.832,0.832,0.128,0.0375,NA,NA,NA,0.87,0.961,NA,NA,NA,NA,0.848,0.317,0.211,0.321,0.389,0.291,0.198,0.288,0.347,0.848,0.917,0.777,0.836,0.0832,0.152,0.164,0.0705,"HND_2018"
"HND","rural","1","all",9012229,0.167737129084912,2018,384.858812772834,700,2546.54954309235,7630,0.187,0.504,0.00943,0.7,0.691,0.691,0.224,0.0512,NA,NA,NA,0.742,0.915,NA,NA,NA,NA,0.713,0.0128,0.113,0.573,0.66,0.00952,0.109,0.517,0.586,0.698,0.786,0.636,0.704,0.214,0.302,0.296,0.206,"HND_2018"
"HND","rural","2","all",9012229,0.128086058436183,2018,1007.0115573218,1403.83333969116,6362.35619708653,15210.0000572205,0.243,0.51,0.00637,0.759,0.753,0.753,0.187,0.0492,NA,NA,NA,0.802,0.94,NA,NA,NA,NA,0.775,0.0204,0.203,0.553,0.649,0.0162,0.188,0.484,0.56,0.777,0.872,0.688,0.764,0.128,0.223,0.236,0.116,"HND_2018"
