"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"MEX","country","1","all",124737789,0.2,2018,998.574796093578,1524.892578125,5996.451771857,23437.17237854,0.419,0.416,0.0255,0.861,0.835,0.835,0.165,0.0556,NA,0.492,NA,0.891,1,0.283,0.209,NA,NA,0.836,0.509,0.325,NA,NA,0.448,0.282,NA,NA,0.834,0.834,0.73,0.73,0.166,0.166,0.27,0.0503,"MEX_2018"
"MEX","country","2","all",124737789,0.2,2018,1929.74084827615,2354.36995442708,11194.8330335027,37470.7988815308,0.657,0.255,0.0235,0.935,0.911,0.911,0.0888,0.0393,NA,0.577,NA,0.95,1,0.449,0.128,NA,NA,0.889,0.718,0.215,NA,NA,0.654,0.193,NA,NA,0.933,0.933,0.848,0.848,0.0667,0.0667,0.152,0.0216,"MEX_2018"
"MEX","country","3","all",124737789,0.2,2018,2844.29335341007,3429.43003336589,15827.2374031803,53644.6860351562,0.76,0.184,0.0189,0.963,0.944,0.944,0.056,0.0282,NA,0.653,NA,0.972,1,0.559,0.094,NA,NA,0.914,0.791,0.166,NA,NA,0.733,0.151,NA,NA,0.957,0.957,0.884,0.884,0.0427,0.0427,0.116,0.013,"MEX_2018"
"MEX","country","4","all",124737789,0.2,2018,4285.82989734066,5521.97515106201,21341.3059138263,72855.328125,0.851,0.109,0.0156,0.976,0.96,0.96,0.0399,0.0218,NA,0.695,NA,0.982,1,0.639,0.0553,NA,NA,0.938,0.843,0.129,NA,NA,0.797,0.121,NA,NA,0.972,0.972,0.918,0.918,0.0279,0.0279,0.082,0.00785,"MEX_2018"
"MEX","country","5","all",124737789,0.2,2018,11678.7404084652,2007045.73014323,45397.38319207,6021137.19042969,0.935,0.0425,0.00889,0.987,0.978,0.978,0.0222,0.0118,NA,0.775,NA,0.99,1,0.751,0.024,NA,NA,0.957,0.904,0.0853,NA,NA,0.87,0.0797,NA,NA,0.99,0.99,0.95,0.95,0.0104,0.0104,0.0504,0.00417,"MEX_2018"
"MEX","country","total","all",124737789,1,2018,3855.5586038744,2007045.73014323,18154.475365832,6021137.19042969,0.725,0.201,0.0185,0.944,0.926,0.926,0.0743,0.0313,NA,0.638,NA,0.957,1,0.536,0.102,NA,NA,0.907,0.753,0.184,NA,NA,0.7,0.165,NA,NA,0.937,0.937,0.866,0.866,0.0627,0.0627,0.134,0.0194,"MEX_2018"
"MEX","country","1","female",124737789,0.0423695388232283,2018,1029.83000552561,1524.83407592773,6091.14869373799,19427.2195577621,0.47,0.385,0.0187,0.874,0.855,0.855,0.145,0.0449,NA,0.509,NA,0.9,1,0.324,0.185,NA,NA,0.835,0.586,0.27,NA,NA,0.514,0.236,NA,NA,0.856,0.856,0.75,0.75,0.144,0.144,0.25,0.0495,"MEX_2018"
"MEX","country","2","female",124737789,0.0476292613449712,2018,1936.72084536431,2354.36808268229,11371.5674935808,37470.7988815308,0.676,0.236,0.0211,0.933,0.912,0.912,0.0878,0.0414,NA,0.582,NA,0.954,1,0.465,0.117,NA,NA,0.892,0.753,0.189,NA,NA,0.692,0.167,NA,NA,0.942,0.942,0.858,0.858,0.0575,0.0575,0.142,0.0215,"MEX_2018"
"MEX","country","3","female",124737789,0.0475567116750083,2018,2837.56975153111,3429.02108764648,15397.0720569385,51178.1368255615,0.77,0.179,0.0157,0.964,0.949,0.949,0.0512,0.025,NA,0.661,NA,0.974,1,0.577,0.0838,NA,NA,0.904,0.822,0.139,NA,NA,0.755,0.123,NA,NA,0.961,0.961,0.878,0.878,0.0392,0.0392,0.122,0.0122,"MEX_2018"
"MEX","country","4","female",124737789,0.0471855853809209,2018,4286.73268388242,5521.47607421875,20351.0945077101,57759.0806522369,0.857,0.108,0.0134,0.978,0.964,0.964,0.0357,0.0179,NA,0.69,NA,0.982,1,0.638,0.0523,NA,NA,0.944,0.862,0.115,NA,NA,0.818,0.108,NA,NA,0.977,0.977,0.926,0.926,0.0227,0.0227,0.0739,0.00633,"MEX_2018"
"MEX","country","5","female",124737789,0.0477796724647673,2018,10896.2421228973,2007045.73014323,38520.9710621049,6021137.19042969,0.942,0.0424,0.00524,0.989,0.984,0.984,0.016,0.00753,NA,0.785,NA,0.992,1,0.764,0.0217,NA,NA,0.954,0.923,0.0678,NA,NA,0.884,0.0634,NA,NA,0.99,0.99,0.947,0.947,0.0097,0.0097,0.053,0.00523,"MEX_2018"
