"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"MEX","country","1","all",126014024,0.2,2020,947.591328077491,1483.23046875,5643.05795917604,20217.9916381836,0.484,0.375,0.0261,0.885,0.859,0.859,0.141,0.0543,NA,0.482,NA,0.913,1,0.309,0.173,NA,NA,0.867,0.574,0.297,0,0.0767,0.515,0.265,0,0.0665,0.872,0.948,0.78,0.846,0.0518,0.128,0.154,0.0316,"MEX_2020"
"MEX","country","2","all",126014024,0.2,2020,1900.65142312619,2350.602684021,10820.7208797725,32226.2157897949,0.687,0.227,0.0269,0.94,0.913,0.913,0.0867,0.0413,NA,0.573,NA,0.955,1,0.473,0.101,NA,NA,0.909,0.733,0.211,0,0.031,0.68,0.19,0,0.0262,0.944,0.975,0.87,0.896,0.0254,0.0564,0.104,0.015,"MEX_2020"
"MEX","country","3","all",126014024,0.2,2020,2876.73089831343,3486.35458374023,15592.7835771018,84938.3272705078,0.789,0.154,0.0192,0.962,0.942,0.942,0.0576,0.0265,NA,0.654,NA,0.969,1,0.581,0.0731,NA,NA,0.93,0.799,0.164,0,0.0177,0.753,0.15,0,0.0148,0.962,0.98,0.903,0.918,0.0199,0.0376,0.0818,0.0099,"MEX_2020"
"MEX","country","4","all",126014024,0.2,2020,4397.28518742731,5664.85486778846,21375.9552217206,73947.6790771484,0.864,0.0972,0.0143,0.976,0.961,0.961,0.0388,0.0187,NA,0.708,NA,0.98,1,0.659,0.0492,NA,NA,0.945,0.844,0.133,0,0.0114,0.803,0.124,0,0.0103,0.977,0.988,0.927,0.937,0.0118,0.0233,0.0629,0.00541,"MEX_2020"
"MEX","country","5","all",126014024,0.2,2020,11303.5774833968,2273644.08056641,43967.1434041289,3657628.85614014,0.937,0.0403,0.00772,0.985,0.977,0.977,0.023,0.0107,NA,0.774,NA,0.988,1,0.754,0.0203,NA,NA,0.961,0.898,0.0928,0,0.00373,0.866,0.0876,0,0.0034,0.991,0.995,0.954,0.957,0.00543,0.00916,0.0427,0.00357,"MEX_2020"
"MEX","country","total","all",126014024,1,2020,3812.07354036632,2273644.08056641,17741.3542418927,3657628.85614014,0.752,0.179,0.0188,0.949,0.931,0.931,0.0694,0.0303,NA,0.638,NA,0.961,1,0.555,0.0831,NA,NA,0.922,0.77,0.179,0,0.0281,0.723,0.163,0,0.0242,0.949,0.977,0.887,0.911,0.0229,0.051,0.0889,0.0131,"MEX_2020"
"MEX","country","1","female",126014024,0.0447749589946657,2020,986.252785644437,1482.95686976115,5722.92301273547,16990.3641357422,0.525,0.36,0.0228,0.908,0.885,0.885,0.115,0.0397,NA,0.525,NA,0.925,1,0.361,0.164,NA,NA,0.872,0.655,0.249,0,0.0533,0.591,0.221,0,0.0442,0.904,0.957,0.812,0.856,0.0426,0.096,0.144,0.0279,"MEX_2020"
"MEX","country","2","female",126014024,0.0493011080811423,2020,1889.47631756933,2350.602684021,10506.8616192642,30082.4077453613,0.706,0.213,0.0272,0.946,0.919,0.919,0.0808,0.0414,NA,0.602,NA,0.961,1,0.502,0.0998,NA,NA,0.918,0.766,0.188,0,0.0238,0.715,0.173,0,0.0196,0.954,0.978,0.888,0.907,0.0223,0.0461,0.0927,0.0143,"MEX_2020"
"MEX","country","3","female",126014024,0.0501433199713147,2020,2868.31963297204,3486.228515625,15126.7995520087,42561.5869750977,0.795,0.153,0.0194,0.968,0.948,0.948,0.0519,0.0249,NA,0.661,NA,0.973,1,0.593,0.0678,NA,NA,0.917,0.81,0.157,0,0.0152,0.754,0.141,0,0.013,0.967,0.982,0.895,0.908,0.0179,0.0331,0.0922,0.00972,"MEX_2020"
"MEX","country","4","female",126014024,0.0508488660452458,2020,4376.65159963124,5664.1953125,20514.8493869593,64559.7299346924,0.873,0.0917,0.013,0.978,0.965,0.965,0.0353,0.0172,NA,0.717,NA,0.982,1,0.673,0.0436,NA,NA,0.949,0.857,0.122,0,0.00909,0.819,0.115,0,0.00876,0.98,0.989,0.934,0.943,0.0113,0.0204,0.0573,0.00594,"MEX_2020"
"MEX","country","5","female",126014024,0.0480055196031979,2020,10574.0715018877,365370.846435547,36676.3951826534,740740.078948975,0.943,0.0368,0.00732,0.987,0.979,0.979,0.0206,0.00975,NA,0.786,NA,0.989,1,0.766,0.0195,NA,NA,0.964,0.912,0.0805,0,0.00295,0.88,0.0773,0,0.0028,0.992,0.995,0.957,0.96,0.00467,0.00762,0.0397,0.00352,"MEX_2020"
"MEX","country","total","female",126014024,0.242577864562519,2020,3730.49787913352,365370.846435547,16463.5985084851,740740.078948975,0.775,0.166,0.0177,0.959,0.941,0.941,0.0592,0.0261,NA,0.662,NA,0.967,1,0.585,0.0767,NA,NA,0.925,0.804,0.157,0,0.0201,0.756,0.143,0,0.017,0.961,0.981,0.899,0.916,0.0192,0.0393,0.0837,0.0119,"MEX_2020"
