"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,2725288,NA,2015,"JAM","country","all","total",1,NA,NA,NA,NA,0.491,0.169,0.0521,0.712,0.66,0.66,0.34,0.28,0.0203,0.267,1,0.94,1,0.193,0.0739,NA,0.421,0.846,0.183,0.576,0,0.231,0.165,0.499,0,0.18,0.759,0.99,0.664,0.843876581675129,0.00963649161770698,0.240632997055314,0.156123418324871,0.0139093987738039,"NA_2015"
NA,NA,NA,NA,2725288,NA,2015,"JAM","country","female","total",0.551,NA,NA,NA,NA,0.499,0.197,0.045,0.741,0.696,0.696,0.304,0.26,0.0191,0.29,1,0.956,1,0.2,0.0897,NA,0.417,0.826,0.178,0.594,0,0.221,0.16,0.499,0,0.164,0.772,0.993,0.659,0.82259526600912,0.0066913543508719,0.227508094338457,0.17740473399088,0.0146750770838037,"NA_2015"
NA,NA,NA,NA,2725288,NA,2015,"JAM","country","male","total",0.46,NA,NA,NA,NA,0.482,0.139,0.0599,0.681,0.621,0.621,0.379,0.301,0.0215,0.242,1,0.922,1,0.185,0.0568,NA,0.426,0.869,0.189,0.557,0,0.242,0.17,0.499,0,0.198,0.745,0.987,0.669,0.86702184284376,0.0128395817033093,0.254907457617907,0.13297815715624,0.0130766577565552,"NA_2015"
NA,NA,NA,NA,2725288,NA,2015,"JAM","rural","all","total",0.484,NA,NA,NA,NA,0.283,0.153,0.0886,0.525,0.436,0.436,0.564,0.453,0.0162,0.147,1,0.889,1,0.0977,0.0498,NA,0.243,0.892,0.0189,0.608,0,0.36,0.0172,0.575,0,0.295,0.627,0.986,0.592,0.887239684112825,0.0135386792164693,0.373184181679577,0.112760315887175,0.0151257976880078,"NA_2015"
NA,NA,NA,NA,2725288,NA,2015,"JAM","rural","female","total",0.239,NA,NA,NA,NA,0.284,0.185,0.0838,0.554,0.47,0.47,0.53,0.446,0.0159,0.171,1,0.915,1,0.105,0.0658,NA,0.231,0.884,0.0144,0.6,0,0.378,0.0122,0.563,0,0.302,0.614,0.992,0.575,0.877331876360023,0.00751447272947895,0.385592713972593,0.122668123639977,0.0176893664431729,"NA_2015"
NA,NA,NA,NA,2725288,NA,2015,"JAM","rural","male","total",0.254,NA,NA,NA,NA,0.281,0.125,0.0928,0.499,0.406,0.406,0.594,0.459,0.0165,0.127,1,0.865,1,0.0911,0.0355,NA,0.254,0.9,0.0229,0.615,0,0.343,0.0216,0.586,0,0.289,0.638,0.981,0.607,0.896022780271384,0.0188790316106997,0.362184237490579,0.103977219728616,0.0128532393736496,"NA_2015"
NA,NA,NA,NA,2725288,NA,2015,"JAM","urban","all","total",0.516,NA,NA,NA,NA,0.684,0.184,0.0185,0.886,0.867,0.867,0.133,0.12,0.024,0.378,1,0.987,1,0.281,0.0963,NA,0.586,0.804,0.335,0.547,0,0.112,0.301,0.429,0,0.0739,0.882,0.994,0.73,0.803820402389443,0.00603188961103591,0.118190327657566,0.196179597610557,0.0127857639264063,"NA_2015"
NA,NA,NA,NA,2725288,NA,2015,"JAM","urban","female","total",0.312,NA,NA,NA,NA,0.663,0.206,0.0154,0.884,0.869,0.869,0.131,0.118,0.0215,0.381,1,0.988,1,0.273,0.108,NA,0.559,0.781,0.303,0.59,0,0.101,0.273,0.45,0,0.0579,0.893,0.994,0.723,0.780775409171404,0.00606247557059735,0.106728306935432,0.219224590828596,0.0123721001791663,"NA_2015"
NA,NA,NA,NA,2725288,NA,2015,"JAM","urban","male","total",0.206,NA,NA,NA,NA,0.71,0.155,0.0226,0.888,0.865,0.865,0.135,0.122,0.0272,0.373,1,0.987,1,0.292,0.0809,NA,0.621,0.834,0.376,0.49,0,0.127,0.338,0.401,0,0.095,0.867,0.994,0.739,0.834138644784186,0.00599165039173626,0.13326988612388,0.165861355215814,0.0133299844275833,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","all","1",0.2,0,0,0,0,0.63,0.0471,0.00766,0.685,0.677,0.677,0.208,0.175,NA,NA,NA,0.853,0.886,NA,NA,NA,NA,NA,0.317,NA,0,0.679,NA,NA,NA,NA,0.317,0.996,NA,NA,0.00390331782014713,0.683230746134214,NA,0.00300255216934394,"NA_2015"
