"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","all","1",0.2,71900,106000,366000,1490000,0.86,0.0241,0.022,0.906,0.924,0.885,0.0908,0.0503,0,NA,NA,0.935,0.975,NA,NA,NA,0.874,NA,0.789,0.119,0.081,0.081,NA,NA,NA,NA,0.989,0.989,NA,NA,0.0112838257863553,0.0112838257863553,NA,0.0102222117399183,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","all","2",0.2,133000,161000,662000,1900000,0.903,0.0186,0.011,0.933,0.954,0.922,0.0637,0.0365,0,NA,NA,0.958,0.985,NA,NA,NA,0.917,NA,0.838,0.105,0.0495,0.0495,NA,NA,NA,NA,0.993,0.993,NA,NA,0.0068138187962787,0.0068138187962787,NA,0.00605766377017829,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","all","3",0.2,194000,235000,897000,3010000,0.931,0.0141,0.00712,0.952,0.967,0.945,0.0477,0.0259,0,NA,NA,0.971,0.993,NA,NA,NA,0.94,NA,0.872,0.0881,0.0352,0.0352,NA,NA,NA,NA,0.995,0.995,NA,NA,0.00466770668023401,0.00466770668023401,NA,0.00414264583494783,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","all","4",0.2,297000,388000,1290000,6100000,0.946,0.014,0.00518,0.965,0.978,0.96,0.0349,0.0205,0,NA,NA,0.98,0.994,NA,NA,NA,0.956,NA,0.905,0.0687,0.0228,0.0228,NA,NA,NA,NA,0.996,0.996,NA,NA,0.0036321376798064,0.0036321376798064,NA,0.00267861730560861,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","all","5",0.2,841000,48900000,2960000,87000000,0.965,0.0122,0.00182,0.979,0.985,0.977,0.0197,0.00918,0,NA,NA,0.986,0.996,NA,NA,NA,0.975,NA,0.943,0.0439,0.0114,0.0114,NA,NA,NA,NA,0.998,0.998,NA,NA,0.0020365666625297,0.0020365666625297,NA,0.00145477069882344,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","all","total",1,280000,48900000,1140000,87000000,0.921,0.0166,0.00942,0.947,0.962,0.937,0.0514,0.0285,0,NA,NA,0.966,0.989,NA,NA,NA,0.933,NA,0.869,0.085,0.04,0.04,NA,NA,NA,NA,0.994,0.994,NA,NA,0.00568684481643432,0.00568684481643432,NA,0.00491121282405182,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","female","1",0.0889,70000,106000,348000,1130000,0.893,0.0269,0.0178,0.938,0.95,0.92,0.0634,0.0392,0,NA,NA,0.959,0.983,NA,NA,NA,0.91,NA,0.847,0.0836,0.0577,0.0577,NA,NA,NA,NA,0.988,0.988,NA,NA,0.0116871075044424,0.0116871075044424,NA,0.0105988931443706,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","female","2",0.079,133000,161000,645000,1900000,0.928,0.018,0.00836,0.955,0.969,0.946,0.0445,0.0264,0,NA,NA,0.973,0.991,NA,NA,NA,0.942,NA,0.88,0.0759,0.0378,0.0378,NA,NA,NA,NA,0.994,0.994,NA,NA,0.00631493886744535,0.00631493886744535,NA,0.00561961772102454,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","female","3",0.0751,193000,235000,859000,2300000,0.944,0.0128,0.0049,0.962,0.976,0.957,0.0371,0.0207,0,NA,NA,0.978,0.994,NA,NA,NA,0.953,NA,0.904,0.0657,0.0277,0.0277,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00284719181849819,0.00284719181849819,NA,0.00273984328517383,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","female","4",0.0671,294000,388000,1180000,4190000,0.956,0.0133,0.00329,0.973,0.985,0.969,0.0269,0.0169,0,NA,NA,0.986,0.996,NA,NA,NA,0.967,NA,0.924,0.0529,0.0186,0.0186,NA,NA,NA,NA,0.996,0.996,NA,NA,0.00424471324792868,0.00424471324792868,NA,0.0026725685889673,"NA_2017"
