"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"PAN","country","1","all",4158783,2018,0.2,59.2447792009893,115.714285714286,440.310158525686,1684,NA,0.733,0.0175,0.751,0.733,0.733,0.0414,0.041,0.00176,0.567,1,0.774,0.774,NA,0.543,NA,NA,0.759,NA,0.35,0,0.477,NA,0.337,0,0.423,0.35,0.827,0.337,0.759,0.173,0.65,0.241,0.173,"PAN_2018"
"PAN","country","2","all",4158783,2018,0.2,165.649846984916,215,1069.38544829616,3165,NA,0.927,0.00965,0.936,0.927,0.927,0.0257,0.0242,0.00122,0.758,1,0.951,0.952,NA,0.741,NA,NA,0.927,NA,0.646,0,0.33,NA,0.62,0,0.307,0.646,0.976,0.62,0.927,0.0241,0.354,0.0726,0.0241,"PAN_2018"
"PAN","country","3","all",4158783,2018,0.2,274.346340490022,345,1541.07525364489,4482,NA,0.962,0.0107,0.973,0.962,0.962,0.0185,0.0169,0.00145,0.774,1,0.979,0.98,NA,0.766,NA,NA,0.964,NA,0.814,0,0.179,NA,0.794,0,0.17,0.814,0.993,0.794,0.964,0.00749,0.186,0.0359,0.00749,"PAN_2018"
"PAN","country","4","all",4158783,2018,0.2,454.865137687832,600,2166.27931457047,5900,NA,0.971,0.0106,0.982,0.971,0.971,0.0142,0.014,0.00208,0.844,1,0.985,0.986,NA,0.838,NA,NA,0.975,NA,0.855,0,0.141,NA,0.842,0,0.133,0.855,0.996,0.842,0.975,0.00399,0.145,0.0251,0.00399,"PAN_2018"
"PAN","country","5","all",4158783,2018,0.2,1170.38341537764,22000,4474.16658964548,80090,NA,0.981,0.00335,0.984,0.981,0.981,0.0122,0.0107,0.00509,0.907,1,0.991,0.993,NA,0.904,NA,NA,0.98,NA,0.931,0,0.0652,NA,0.919,0,0.0606,0.931,0.997,0.919,0.98,0.0034,0.0686,0.02,0.0034,"PAN_2018"
"PAN","country","total","all",4158783,2018,1,350.089998369832,22000,1661.69484194995,80090,NA,0.915,0.0104,0.925,0.915,0.915,0.0224,0.0214,0.00232,0.77,1,0.936,0.937,NA,0.758,NA,NA,0.921,NA,0.719,0,0.239,NA,0.702,0,0.219,0.719,0.958,0.702,0.921,0.0423,0.281,0.0789,0.0423,"PAN_2018"
"PAN","country","1","female",4158783,2018,0.064481726174429,60.4610702534616,115.2,453.135017283444,1684,NA,0.76,0.0157,0.775,0.76,0.76,0.0356,0.0349,0.00496,0.596,1,0.795,0.795,NA,0.569,NA,NA,0.777,NA,0.414,0,0.433,NA,0.388,0,0.389,0.414,0.847,0.388,0.777,0.153,0.586,0.223,0.153,"PAN_2018"
"PAN","country","2","female",4158783,2018,0.0581737066265786,165.569213198522,215,1063.32275318589,3165,NA,0.921,0.0109,0.932,0.921,0.921,0.0269,0.0249,0.000268,0.765,1,0.946,0.948,NA,0.731,NA,NA,0.915,NA,0.653,0,0.331,NA,0.616,0,0.298,0.653,0.984,0.616,0.915,0.0156,0.347,0.0854,0.0156,"PAN_2018"
"PAN","country","3","female",4158783,2018,0.0602092148988245,273.329118984729,345,1486.02476860758,3129,NA,0.963,0.00998,0.973,0.963,0.963,0.015,0.0147,0.00218,0.792,1,0.978,0.978,NA,0.781,NA,NA,0.956,NA,0.847,0,0.145,NA,0.815,0,0.141,0.847,0.992,0.815,0.956,0.00763,0.153,0.0441,0.00763,"PAN_2018"
"PAN","country","4","female",4158783,2018,0.0598960656508247,459.008357489567,600,2005.72470602131,3974,NA,0.958,0.0167,0.974,0.958,0.958,0.0189,0.0189,0.00218,0.839,1,0.976,0.976,NA,0.832,NA,NA,0.975,NA,0.866,0,0.13,NA,0.851,0,0.124,0.866,0.996,0.851,0.975,0.00438,0.134,0.0252,0.00438,"PAN_2018"
