"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"PER","country","1","all",32162184,0.2,2018,181.529890887418,280.30970454216,1097.35404350292,4736.33331775665,0.724,0.0318,0.0163,0.773,0.756,0.389,0.221,0.102,NA,0.68,NA,0.491,0.61,0.638,0.0256,NA,NA,NA,0.391,0.185,0.0629,0.231,NA,NA,NA,NA,0.639,0.807,NA,NA,0.193,0.361,NA,NA,"PER_2018"
"PER","country","2","all",32162184,0.2,2018,368.542450369921,459.450283050537,2124.89626157478,6663.98213005066,0.8,0.0384,0.0311,0.87,0.839,0.607,0.141,0.0802,NA,0.751,NA,0.687,0.748,0.7,0.0341,NA,NA,NA,0.622,0.109,0.0422,0.15,NA,NA,NA,NA,0.773,0.881,NA,NA,0.119,0.227,NA,NA,"PER_2018"
"PER","country","3","all",32162184,0.2,2018,557.64613102278,674.557645320892,3108.73610052572,8693.6854352951,0.859,0.0324,0.0281,0.919,0.891,0.754,0.0941,0.0557,NA,0.814,NA,0.81,0.849,0.773,0.029,NA,NA,NA,0.771,0.0639,0.0254,0.0931,NA,NA,NA,NA,0.86,0.928,NA,NA,0.0723,0.14,NA,NA,"PER_2018"
"PER","country","4","all",32162184,0.2,2018,841.033420704075,1067.84809494019,4383.44739222586,12826.9917268753,0.888,0.0412,0.0183,0.947,0.929,0.83,0.0585,0.0358,NA,0.858,NA,0.866,0.888,0.814,0.0369,NA,NA,NA,0.853,0.0401,0.0222,0.0677,NA,NA,NA,NA,0.916,0.961,NA,NA,0.0388,0.0843,NA,NA,"PER_2018"
"PER","country","5","all",32162184,0.2,2018,1892.4299255237,37375.4166259766,7820.50839526269,50562.6303100586,0.935,0.0246,0.00963,0.969,0.959,0.904,0.0358,0.0198,NA,0.918,NA,0.923,0.939,0.892,0.0228,NA,NA,NA,0.924,0.0166,0.0122,0.0367,NA,NA,NA,NA,0.953,0.978,NA,NA,0.0223,0.0468,NA,NA,"PER_2018"
"PER","country","total","all",32162184,1,2018,717.473621595515,37375.4166259766,3509.49213406771,50562.6303100586,0.841,0.0337,0.0207,0.896,0.875,0.697,0.11,0.0586,NA,0.804,NA,0.755,0.807,0.763,0.0297,NA,NA,NA,0.712,0.0829,0.033,0.116,NA,NA,NA,NA,0.828,0.911,NA,NA,0.089,0.172,NA,NA,"PER_2018"
"PER","country","1","female",32162184,0.0357785157026813,2018,190.478263127321,280.202241897583,1087.21569259521,3323.57919883728,0.736,0.0615,0.0204,0.818,0.797,0.507,0.175,0.0766,NA,0.729,NA,0.584,0.682,0.663,0.0467,NA,NA,NA,0.514,0.138,0.0485,0.177,NA,NA,NA,NA,0.701,0.829,NA,NA,0.171,0.299,NA,NA,"PER_2018"
"PER","country","2","female",32162184,0.0461839168584384,2018,369.896221227923,459.436765034993,1999.01335087964,5772.52767562866,0.789,0.044,0.0347,0.867,0.833,0.662,0.14,0.0802,NA,0.767,NA,0.742,0.801,0.706,0.0403,NA,NA,NA,0.69,0.0706,0.0315,0.125,NA,NA,NA,NA,0.792,0.886,NA,NA,0.114,0.208,NA,NA,"PER_2018"
"PER","country","3","female",32162184,0.0508617343113282,2018,559.655116800372,674.476396560669,2922.37075228616,8555.13671112061,0.865,0.0362,0.0301,0.932,0.902,0.797,0.0795,0.0439,NA,0.831,NA,0.841,0.877,0.792,0.0338,NA,NA,NA,0.781,0.0528,0.023,0.0934,NA,NA,NA,NA,0.857,0.927,NA,NA,0.0731,0.143,NA,NA,"PER_2018"
"PER","country","4","female",32162184,0.0511357366575508,2018,842.911284436778,1067.84809494019,4124.02439987491,9877.37639045715,0.893,0.0465,0.0199,0.96,0.94,0.851,0.0481,0.0316,NA,0.875,NA,0.883,0.9,0.826,0.0438,NA,NA,NA,0.879,0.0341,0.0125,0.0541,NA,NA,NA,NA,0.926,0.968,NA,NA,0.0325,0.0741,NA,NA,"PER_2018"
