"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"PER","country","1","all",32824358,2020,0.2,125.179735148543,202.594974381583,743.466493695854,2713.41621017456,0.776,0.0387,0.0303,0.845,0.815,0.572,0.145,0.0529,NA,0.164,0.00367,0.625,0.717,0.15,0.0107,NA,NA,NA,0.536,0.157,0.179,0.179,NA,NA,NA,NA,0.872,0.872,NA,NA,0.128,0.128,NA,NA,"PER_2020"
"PER","country","2","all",32824358,2020,0.2,269.727747435071,342.789720535278,1525.1649305855,4654.16220092773,0.812,0.0362,0.0307,0.879,0.848,0.635,0.117,0.0476,NA,0.352,0.00614,0.683,0.752,0.326,0.0204,NA,NA,NA,0.621,0.115,0.153,0.153,NA,NA,NA,NA,0.889,0.889,NA,NA,0.111,0.111,NA,NA,"PER_2020"
"PER","country","3","all",32824358,2020,0.2,427.886313270459,526.227331797282,2377.76582670771,8306.25729370117,0.833,0.0385,0.0355,0.907,0.872,0.714,0.108,0.0518,NA,0.475,0.00787,0.766,0.823,0.446,0.0241,NA,NA,NA,0.721,0.0757,0.111,0.111,NA,NA,NA,NA,0.908,0.908,NA,NA,0.0916,0.0916,NA,NA,"PER_2020"
"PER","country","4","all",32824358,2020,0.2,662.326253297992,839.053295135498,3451.42199837841,9018.62779998779,0.863,0.0409,0.0307,0.934,0.904,0.789,0.0861,0.0482,NA,0.547,0.0131,0.837,0.875,0.515,0.0258,NA,NA,NA,0.805,0.0442,0.0851,0.0851,NA,NA,NA,NA,0.935,0.935,NA,NA,0.0653,0.0653,NA,NA,"PER_2020"
"PER","country","5","all",32824358,2020,0.2,1500.26710832942,28256.5826673508,6450.84132164381,74361.704208374,0.906,0.0286,0.022,0.957,0.935,0.863,0.0582,0.0316,NA,0.627,0.0106,0.894,0.921,0.604,0.0196,NA,NA,NA,0.887,0.0273,0.0474,0.0474,NA,NA,NA,NA,0.962,0.962,NA,NA,0.0382,0.0382,NA,NA,"PER_2020"
"PER","country","total","all",32824358,2020,1,554.911711142434,28256.5826673508,2735.64783301559,74361.704208374,0.838,0.0366,0.0299,0.904,0.875,0.715,0.103,0.0464,NA,0.433,0.00827,0.761,0.817,0.408,0.0201,NA,NA,NA,0.714,0.0836,0.115,0.115,NA,NA,NA,NA,0.913,0.913,NA,NA,0.0869,0.0869,NA,NA,"PER_2020"
"PER","country","1","female",32824358,2020,0.0402715790422543,125.367901448968,202.548774719238,657.136837032913,1763.56194227934,0.77,0.07,0.0429,0.882,0.84,0.693,0.142,0.0663,NA,0.184,0.00303,0.76,0.835,0.165,0.0136,NA,NA,NA,0.666,0.0948,0.145,0.145,NA,NA,NA,NA,0.905,0.905,NA,NA,0.095,0.095,NA,NA,"PER_2020"
"PER","country","2","female",32824358,2020,0.0528148545139887,268.550607195444,342.761490345001,1502.81147458029,4654.16220092773,0.808,0.0464,0.0391,0.894,0.855,0.705,0.125,0.0599,NA,0.369,0.00661,0.765,0.83,0.333,0.0265,NA,NA,NA,0.692,0.0926,0.127,0.127,NA,NA,NA,NA,0.912,0.912,NA,NA,0.0883,0.0883,NA,NA,"PER_2020"
"PER","country","3","female",32824358,2020,0.0579411000554653,426.272363158844,526.227331797282,2334.05921450002,5251.26449775696,0.836,0.0431,0.0405,0.92,0.879,0.75,0.103,0.0539,NA,0.491,0.00774,0.804,0.854,0.464,0.0227,NA,NA,NA,0.767,0.0584,0.0882,0.0882,NA,NA,NA,NA,0.914,0.914,NA,NA,0.0865,0.0865,NA,NA,"PER_2020"
"PER","country","4","female",32824358,2020,0.0524152999142557,663.224798580917,838.355543136597,3249.00895222772,9018.62779998779,0.854,0.0496,0.0269,0.931,0.904,0.809,0.0851,0.042,NA,0.56,0.0133,0.851,0.894,0.528,0.0294,NA,NA,NA,0.828,0.0411,0.0657,0.0657,NA,NA,NA,NA,0.935,0.935,NA,NA,0.0654,0.0654,NA,NA,"PER_2020"
