"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"PRY","country","1","all",6953646,0.2,2017,207736.672426969,350000,1350445.13052616,3812624.75,0.458,0.279,0,0.737,0.737,0.702,0.198,0.198,NA,0.615,NA,0.899,0.9,0.377,0.222,NA,NA,NA,0.0215,0.228,0.0216,0.731,NA,NA,NA,NA,0.271,0.98,NA,NA,0.0196,0.729,NA,0.0174,"PRY_2017"
"PRY","country","2","all",6953646,0.2,2017,477708.817577119,603149.6,3037942.83262822,13450236.0625,0.603,0.183,0,0.785,0.785,0.72,0.214,0.213,NA,0.688,NA,0.934,0.934,0.52,0.157,NA,NA,NA,0.0372,0.384,0.0136,0.553,NA,NA,NA,NA,0.435,0.975,NA,NA,0.0253,0.565,NA,0.0113,"PRY_2017"
"PRY","country","3","all",6953646,0.2,2017,759893.362074356,940000,4835721.49534924,11688520.5625,0.694,0.1,0,0.794,0.794,0.654,0.291,0.291,NA,0.7,NA,0.946,0.946,0.609,0.0864,NA,NA,NA,0.0615,0.46,0.00411,0.461,NA,NA,NA,NA,0.526,0.983,NA,NA,0.0169,0.474,NA,0.00932,"PRY_2017"
"PRY","country","4","all",6953646,0.2,2017,1204922.74457924,1540000,6451274.42964414,18133692.875,0.776,0.0642,0,0.841,0.841,0.636,0.318,0.318,NA,0.747,NA,0.954,0.954,0.684,0.0586,NA,NA,NA,0.101,0.566,0.00277,0.319,NA,NA,NA,NA,0.67,0.986,NA,NA,0.0139,0.33,NA,0.00633,"PRY_2017"
"PRY","country","5","all",6953646,0.2,2017,3776737.76817323,132225386.666667,18122282.8375535,735200000,0.82,0.0193,0,0.839,0.839,0.481,0.464,0.464,NA,0.756,NA,0.945,0.945,0.735,0.0165,NA,NA,NA,0.224,0.575,0.000679,0.198,NA,NA,NA,NA,0.799,0.996,NA,NA,0.00405,0.201,NA,0.00198,"PRY_2017"
"PRY","country","total","all",6953646,1,2017,1153616.14061981,132225386.666667,6153378.69813269,735200000,0.67,0.129,0,0.799,0.799,0.639,0.297,0.297,NA,0.701,NA,0.936,0.936,0.585,0.108,NA,NA,NA,0.089,0.443,0.00856,0.453,NA,NA,NA,NA,0.54,0.984,NA,NA,0.0159,0.46,NA,0.00926,"PRY_2017"
"PRY","country","1","female",6953646,0.0647215606185043,2017,215424.555033941,350000,1390228.56543362,3812624.75,0.418,0.331,0,0.75,0.75,0.718,0.165,0.164,NA,0.666,NA,0.882,0.882,0.351,0.275,NA,NA,NA,0.0154,0.232,0.0133,0.718,NA,NA,NA,NA,0.26,0.965,NA,NA,0.0346,0.74,NA,0.0309,"PRY_2017"
"PRY","country","2","female",6953646,0.0783644169326282,2017,480372.480214144,603025.625,3442170.62952564,13450236.0625,0.612,0.221,0,0.833,0.833,0.76,0.186,0.184,NA,0.727,NA,0.945,0.946,0.521,0.198,NA,NA,NA,0.0454,0.395,0.0213,0.517,NA,NA,NA,NA,0.461,0.957,NA,NA,0.0431,0.539,NA,0.0177,"PRY_2017"
"PRY","country","3","female",6953646,0.0629709801128023,2017,766909.582486529,940000,5148392.35484398,11688520.5625,0.71,0.127,0,0.837,0.837,0.738,0.228,0.228,NA,0.744,NA,0.966,0.966,0.63,0.11,NA,NA,NA,0.0809,0.426,0.00794,0.472,NA,NA,NA,NA,0.515,0.979,NA,NA,0.0211,0.485,NA,0.0147,"PRY_2017"
"PRY","country","4","female",6953646,0.0631376697957555,2017,1227064.9043046,1540000,6779368.72498651,18133692.875,0.827,0.0561,0,0.883,0.883,0.647,0.312,0.312,NA,0.801,NA,0.958,0.958,0.749,0.0482,NA,NA,NA,0.151,0.518,0.00459,0.315,NA,NA,NA,NA,0.674,0.985,NA,NA,0.0155,0.326,NA,0.00346,"PRY_2017"
