"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"PRY","country","1","all",7252672,2020,0.2,279716.975960711,432175.328125,1869844.54316923,8085748.375,0.576,0.186,0,0.762,0.762,0.709,0.228,0.228,0.0674,0.58,NA,0.938,0.938,0.45,0.116,NA,NA,NA,0.0154,0.426,0.409,0.409,NA,NA,NA,NA,0.851,0.851,NA,NA,0.149,0.149,NA,0.0111,"PRY_2020"
"PRY","country","2","all",7252672,2020,0.2,555755.504388212,689597.6953125,3434922.34513351,10086474,0.69,0.119,0,0.809,0.809,0.695,0.274,0.274,0.121,0.627,NA,0.969,0.969,0.538,0.0769,NA,NA,NA,0.0398,0.492,0.386,0.386,NA,NA,NA,NA,0.918,0.918,NA,NA,0.0825,0.0825,NA,0.00656,"PRY_2020"
"PRY","country","3","all",7252672,2020,0.2,845469.552427129,1026623.41666667,4820795.57682704,11932013.109375,0.774,0.0762,0,0.85,0.85,0.673,0.31,0.31,0.212,0.682,NA,0.983,0.983,0.623,0.0557,NA,NA,NA,0.06,0.541,0.354,0.354,NA,NA,NA,NA,0.956,0.956,NA,NA,0.0443,0.0443,NA,0.000885,"PRY_2020"
"PRY","country","4","all",7252672,2020,0.2,1285544.54419306,1635974.0625,6631574.67431599,18800000,0.782,0.0514,0,0.834,0.834,0.619,0.369,0.369,0.257,0.632,NA,0.987,0.987,0.6,0.0311,NA,NA,NA,0.0735,0.633,0.253,0.253,NA,NA,NA,NA,0.959,0.959,NA,NA,0.0407,0.0407,NA,0.0097,"PRY_2020"
"PRY","country","5","all",7252672,2020,0.2,2896341.0024852,37700000,12463643.1002013,77731088.5,0.836,0.028,0.000856,0.865,0.864,0.483,0.511,0.511,0.422,0.669,NA,0.994,0.994,0.649,0.0206,NA,NA,NA,0.2,0.644,0.147,0.147,NA,NA,NA,NA,0.992,0.992,NA,NA,0.00827,0.00827,NA,0.00274,"PRY_2020"
"PRY","country","total","all",7252672,2020,1,1062547.40460295,37700000,5401257.83056581,77731088.5,0.732,0.0921,0.000171,0.824,0.824,0.636,0.338,0.338,0.216,0.638,NA,0.974,0.974,0.572,0.0601,NA,NA,NA,0.0778,0.547,0.31,0.31,NA,NA,NA,NA,0.935,0.935,NA,NA,0.065,0.065,NA,0.0062,"PRY_2020"
"PRY","country","1","female",7252672,2020,0.0872009865543368,275415.279972446,432175.328125,1961195.95523732,8085748.375,0.631,0.23,0,0.861,0.861,0.8,0.149,0.149,0.0705,0.613,NA,0.949,0.949,0.468,0.136,NA,NA,NA,0.0238,0.396,0.436,0.436,NA,NA,NA,NA,0.855,0.855,NA,NA,0.145,0.145,NA,0.0156,"PRY_2020"
"PRY","country","2","female",7252672,2020,0.0871724301326827,553339.562230049,689597.6953125,3783222.22874722,10086474,0.733,0.0979,0,0.831,0.831,0.699,0.279,0.279,0.143,0.64,NA,0.978,0.978,0.579,0.0549,NA,NA,NA,0.0529,0.489,0.379,0.379,NA,NA,NA,NA,0.921,0.921,NA,NA,0.0793,0.0793,NA,0.00504,"PRY_2020"
"PRY","country","3","female",7252672,2020,0.0717990401591895,833191.935437985,1023333.33333333,4635524.14859196,7944372.125,0.764,0.0911,0,0.855,0.855,0.701,0.275,0.275,0.187,0.692,NA,0.976,0.976,0.619,0.0732,NA,NA,NA,0.0399,0.462,0.433,0.433,NA,NA,NA,NA,0.935,0.935,NA,NA,0.0652,0.0652,NA,0.000844,"PRY_2020"
"PRY","country","4","female",7252672,2020,0.0746293391923356,1281778.86808892,1632621.9375,6714549.26565485,12781821.90625,0.809,0.0649,0,0.874,0.874,0.598,0.394,0.394,0.345,0.641,NA,0.991,0.991,0.613,0.0289,NA,NA,NA,0.0944,0.64,0.231,0.231,NA,NA,NA,NA,0.965,0.965,NA,NA,0.0345,0.0345,NA,0.0112,"PRY_2020"
"PRY","country","5","female",7252672,2020,0.0648732031044738,2638414.65551249,16392858,11884364.4640008,35465572,0.875,0.0196,0.00274,0.898,0.895,0.469,0.53,0.53,0.477,0.691,NA,1,1,0.672,0.0186,NA,NA,NA,0.238,0.622,0.134,0.134,NA,NA,NA,NA,0.993,0.993,NA,NA,0.00659,0.00659,NA,0.00659,"PRY_2020"
"PRY","country","total","female",7252672,2020,0.390567869401295,941921.479013901,16392858,5076235.41649723,35465572,0.754,0.108,0.000456,0.862,0.861,0.665,0.313,0.313,0.23,0.653,NA,0.977,0.977,0.583,0.0659,NA,NA,NA,0.0826,0.514,0.333,0.333,NA,NA,NA,NA,0.929,0.929,NA,NA,0.0709,0.0709,NA,0.00815,"PRY_2020"
