"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"SLV","country","1","all",6305496,0.2,2018,41.2458461746534,63.784676688058,261.977973187552,1395.37335205078,0.107,0.546,0.0177,0.671,0.68,0.68,0.204,0.199,NA,0.000132,NA,0.879,0.884,0,0.000132,NA,NA,0.822,0.105,0.172,0.121,0.678,0.097,0.157,0.0981,0.524,0.398,0.955,0.352,0.777,0.0453,0.602,0.223,0.0983,"SLV_2018"
"SLV","country","2","all",6305496,0.2,2018,82.0408375049553,100,441.568003856582,1329.58999609947,0.226,0.511,0.0178,0.755,0.755,0.755,0.187,0.183,NA,0.0000994,NA,0.938,0.943,0,0.0000994,NA,NA,0.848,0.232,0.199,0.109,0.548,0.213,0.181,0.0879,0.432,0.54,0.979,0.482,0.826,0.0214,0.46,0.174,0.054,"SLV_2018"
"SLV","country","3","all",6305496,0.2,2018,122.579316191492,147.600006103516,649.420742098043,1792.65518188477,0.324,0.473,0.0137,0.81,0.804,0.804,0.164,0.161,NA,0.000262,NA,0.965,0.968,0,0.000262,NA,NA,0.863,0.339,0.214,0.071,0.436,0.322,0.194,0.0562,0.336,0.624,0.989,0.571,0.852,0.0114,0.376,0.148,0.0361,"SLV_2018"
"SLV","country","4","all",6305496,0.2,2018,178.930847622989,223.375,872.144968605723,3012,0.467,0.387,0.0175,0.871,0.859,0.859,0.12,0.118,NA,0.000447,NA,0.977,0.979,0,0.000447,NA,NA,0.901,0.478,0.221,0.0468,0.298,0.454,0.204,0.0382,0.239,0.746,0.996,0.697,0.897,0.00353,0.254,0.103,0.0275,"SLV_2018"
"SLV","country","5","all",6305496,0.2,2018,364.604923691672,8666.66666666667,1454.71204619594,26000,0.68,0.243,0.00636,0.929,0.927,0.927,0.0645,0.0632,NA,0.000117,NA,0.99,0.991,0,0.000117,NA,NA,0.945,0.678,0.183,0.0229,0.137,0.658,0.174,0.0184,0.11,0.884,0.998,0.85,0.942,0.00231,0.116,0.0576,0.0115,"SLV_2018"
"SLV","country","total","all",6305496,1,2018,144.511874399555,8666.66666666667,686.394259351239,26000,0.361,0.432,0.0146,0.807,0.805,0.805,0.148,0.145,NA,0.000212,NA,0.95,0.953,0,0.000212,NA,NA,0.876,0.366,0.198,0.0741,0.419,0.349,0.182,0.0598,0.328,0.638,0.983,0.59,0.859,0.0168,0.362,0.141,0.0455,"SLV_2018"
"SLV","country","1","female",6305496,0.0585555997014851,2018,45.3270012953505,63.7403310139974,333.054919321889,1395.37335205078,0.148,0.542,0.0204,0.711,0.71,0.71,0.196,0.193,NA,0,NA,0.903,0.906,0,0,NA,NA,0.828,0.157,0.166,0.102,0.639,0.147,0.157,0.0786,0.486,0.425,0.963,0.383,0.79,0.0375,0.575,0.21,0.0746,"SLV_2018"
"SLV","country","2","female",6305496,0.0714489015919977,2018,82.4342474295839,100,456.073862589291,1296,0.244,0.512,0.0232,0.779,0.77,0.77,0.181,0.172,NA,0.000276,NA,0.942,0.951,0,0.000276,NA,NA,0.852,0.26,0.225,0.0933,0.494,0.235,0.209,0.079,0.386,0.578,0.978,0.523,0.83,0.0217,0.422,0.17,0.0521,"SLV_2018"
"SLV","country","3","female",6305496,0.069507470691321,2018,121.778529160338,147.555554707845,631.40814240417,1489.66665649414,0.339,0.456,0.0147,0.809,0.799,0.799,0.162,0.159,NA,0.000359,NA,0.959,0.961,0,0.000359,NA,NA,0.865,0.376,0.22,0.0649,0.39,0.363,0.194,0.0478,0.295,0.661,0.986,0.604,0.851,0.0135,0.339,0.149,0.0404,"SLV_2018"
"SLV","country","4","female",6305496,0.0659440505911513,2018,177.46434383354,223.333333333333,850.066293611609,1998.74998474121,0.5,0.367,0.0172,0.884,0.869,0.869,0.112,0.111,NA,0,NA,0.981,0.981,0,0,NA,NA,0.918,0.504,0.205,0.0464,0.29,0.489,0.19,0.0372,0.237,0.755,0.998,0.716,0.916,0.00153,0.245,0.084,0.0198,"SLV_2018"
