"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"SLV","country","1","all",6321042,0.2,2020,25.9627984670254,54.85,132.590702856558,605,0.156,0.534,0.0119,0.702,0.719,0.719,0.224,0.164,NA,0.405,0.351,0.884,0.943,0.0933,0.285,NA,NA,0.872,0.143,0.237,0.125,0.588,0.134,0.226,0.106,0.512,0.505,0.968,0.466,0.872,0.0315,0.495,0.128,0.071,"SLV_2020"
"SLV","country","2","all",6321042,0.2,2020,77.9509462961231,101.11110941569,396.81629258609,1178.33331298828,0.251,0.493,0.015,0.758,0.75,0.75,0.214,0.147,NA,0.441,0.365,0.898,0.964,0.151,0.284,NA,NA,0.88,0.261,0.209,0.1,0.515,0.238,0.189,0.0869,0.454,0.57,0.985,0.514,0.88,0.0153,0.43,0.12,0.0527,"SLV_2020"
"SLV","country","3","all",6321042,0.2,2020,123.821301704035,149.999999880791,631.787777323715,1508,0.356,0.442,0.0088,0.807,0.803,0.803,0.184,0.126,NA,0.43,0.444,0.929,0.987,0.185,0.241,NA,NA,0.912,0.385,0.235,0.0561,0.373,0.373,0.218,0.0441,0.322,0.676,0.993,0.635,0.912,0.0065,0.324,0.0876,0.0346,"SLV_2020"
"SLV","country","4","all",6321042,0.2,2020,184.003367308698,227.166662597656,886.396203204136,2237.50002288818,0.45,0.392,0.0142,0.856,0.842,0.842,0.15,0.102,NA,0.488,0.456,0.944,0.993,0.279,0.208,NA,NA,0.927,0.475,0.218,0.0528,0.305,0.458,0.201,0.0444,0.268,0.746,0.998,0.704,0.927,0.00214,0.254,0.0733,0.0273,"SLV_2020"
"SLV","country","5","all",6321042,0.2,2020,413.303103578634,7400,1743.91097854991,16001.3333330154,0.612,0.3,0.0101,0.923,0.915,0.915,0.0819,0.0561,NA,0.584,0.424,0.971,0.997,0.416,0.167,NA,NA,0.948,0.624,0.216,0.0224,0.156,0.61,0.204,0.018,0.134,0.862,0.996,0.832,0.948,0.00385,0.138,0.0517,0.0139,"SLV_2020"
"SLV","country","total","all",6321042,1,2020,157.729277710116,7400,729.763736251814,16001.3333330154,0.365,0.432,0.012,0.809,0.806,0.806,0.171,0.119,NA,0.47,0.408,0.925,0.977,0.225,0.237,NA,NA,0.908,0.378,0.223,0.0712,0.387,0.363,0.207,0.06,0.338,0.672,0.988,0.63,0.908,0.0119,0.328,0.0919,0.0399,"SLV_2020"
"SLV","country","1","female",6321042,0.0633530312551333,2020,25.166114110192,54.85,120.64701601028,605,0.181,0.535,0.00748,0.723,0.746,0.746,0.202,0.149,NA,0.411,0.379,0.895,0.948,0.0964,0.285,NA,NA,0.867,0.177,0.259,0.112,0.542,0.169,0.244,0.0913,0.454,0.548,0.979,0.505,0.867,0.0214,0.452,0.133,0.0703,"SLV_2020"
"SLV","country","2","female",6321042,0.0673441320666765,2020,77.8204082030846,101.11110941569,394.408064493497,1178.33331298828,0.305,0.476,0.00602,0.787,0.784,0.784,0.188,0.133,NA,0.454,0.358,0.917,0.972,0.183,0.267,NA,NA,0.889,0.347,0.19,0.0737,0.452,0.318,0.173,0.0627,0.398,0.611,0.99,0.554,0.889,0.0102,0.389,0.111,0.0511,"SLV_2020"
"SLV","country","3","female",6321042,0.0689800326677524,2020,124.060053370191,149.600003814697,629.852356390109,1253,0.377,0.422,0.0177,0.817,0.804,0.804,0.185,0.125,NA,0.379,0.463,0.929,0.989,0.159,0.215,NA,NA,0.925,0.434,0.213,0.043,0.348,0.418,0.203,0.031,0.303,0.69,0.995,0.653,0.925,0.005,0.31,0.0751,0.0284,"SLV_2020"
"SLV","country","4","female",6321042,0.0684006301636599,2020,182.498654672495,226.66667175293,895.434215354348,2237.50002288818,0.387,0.446,0.018,0.851,0.834,0.834,0.16,0.118,NA,0.446,0.483,0.952,0.994,0.193,0.252,NA,NA,0.934,0.441,0.211,0.0529,0.345,0.427,0.199,0.0426,0.309,0.705,0.998,0.668,0.934,0.00234,0.295,0.0658,0.018,"SLV_2020"
"SLV","country","5","female",6321042,0.0655950063432773,2020,404.770036578395,3468,1759.49721963497,10000,0.643,0.273,0.0148,0.93,0.917,0.917,0.0804,0.051,NA,0.601,0.418,0.968,0.997,0.448,0.151,NA,NA,0.951,0.67,0.188,0.0196,0.136,0.654,0.18,0.0181,0.118,0.878,0.994,0.852,0.951,0.00554,0.122,0.0489,0.0174,"SLV_2020"
"SLV","country","total","female",6321042,0.334021969969335,2020,156.099836088626,3468,733.465681610051,10000,0.377,0.431,0.0128,0.821,0.816,0.816,0.164,0.116,NA,0.457,0.42,0.932,0.98,0.214,0.235,NA,NA,0.913,0.412,0.213,0.0605,0.366,0.395,0.2,0.0494,0.318,0.685,0.991,0.645,0.913,0.00892,0.315,0.087,0.0371,"SLV_2020"
"SLV","country","1","male",6321042,0.136646968744867,2020,26.3321617205431,54.7916666666667,138.128101695506,546.333343505859,0.143,0.534,0.0143,0.69,0.705,0.705,0.235,0.173,NA,0.402,0.336,0.877,0.94,0.0916,0.284,NA,NA,0.875,0.124,0.226,0.132,0.613,0.116,0.216,0.115,0.544,0.481,0.963,0.446,0.875,0.037,0.519,0.125,0.0714,"SLV_2020"
"SLV","country","2","male",6321042,0.132655867933324,2020,78.0172153177222,101.041666507721,398.038854642642,981,0.222,0.502,0.0197,0.743,0.732,0.732,0.228,0.155,NA,0.434,0.368,0.888,0.96,0.134,0.293,NA,NA,0.876,0.215,0.219,0.114,0.548,0.195,0.197,0.0999,0.484,0.548,0.982,0.492,0.876,0.018,0.452,0.124,0.0535,"SLV_2020"
"SLV","country","3","male",6321042,0.131019967332248,2020,123.695602560109,149.999999880791,632.80674719483,1508,0.344,0.453,0.00402,0.801,0.802,0.802,0.184,0.127,NA,0.457,0.434,0.929,0.986,0.2,0.254,NA,NA,0.906,0.359,0.246,0.0631,0.387,0.348,0.225,0.0511,0.332,0.669,0.993,0.625,0.906,0.00731,0.331,0.0943,0.0379,"SLV_2020"
"SLV","country","4","male",6321042,0.13159936983634,2020,184.785462942283,227.166662597656,881.698568806114,1808.33331298828,0.485,0.362,0.0122,0.859,0.847,0.847,0.145,0.0932,NA,0.51,0.441,0.94,0.992,0.326,0.184,NA,NA,0.923,0.493,0.222,0.0527,0.282,0.475,0.203,0.0454,0.245,0.768,0.998,0.723,0.923,0.00203,0.232,0.0774,0.0323,"SLV_2020"
"SLV","country","5","male",6321042,0.134404993656723,2020,417.467581168194,7400,1736.30427023478,16001.3333330154,0.597,0.315,0.00771,0.919,0.914,0.914,0.0827,0.0587,NA,0.575,0.427,0.973,0.997,0.399,0.175,NA,NA,0.947,0.6,0.23,0.0239,0.166,0.588,0.216,0.018,0.143,0.855,0.997,0.822,0.947,0.00299,0.145,0.0531,0.0122,"SLV_2020"
"SLV","country","total","male",6321042,0.665978030030665,2020,158.546525841163,7400,727.907021727432,16001.3333330154,0.359,0.433,0.0116,0.803,0.8,0.8,0.174,0.121,NA,0.476,0.402,0.922,0.975,0.231,0.238,NA,NA,0.905,0.359,0.229,0.077,0.399,0.345,0.211,0.0656,0.349,0.665,0.987,0.622,0.905,0.0134,0.335,0.0945,0.0414,"SLV_2020"
"SLV","rural","1","all",6321042,0.136886671958977,2020,23.9021079237206,54.7916666666667,123.343126428329,546.333343505859,0.0527,0.558,0.0105,0.621,0.654,0.654,0.263,0.197,NA,0.346,0.331,0.851,0.917,0.033,0.273,NA,NA,0.857,0.00827,0.236,0.166,0.712,0.00644,0.226,0.141,0.624,0.41,0.956,0.373,0.857,0.0439,0.59,0.143,0.0903,"SLV_2020"
"SLV","rural","2","all",6321042,0.0975611371190254,2020,76.0078022420726,101.041666507721,392.342251057925,981,0.0587,0.539,0.0218,0.619,0.612,0.612,0.319,0.229,NA,0.298,0.341,0.841,0.93,0.0332,0.252,NA,NA,0.858,0.00823,0.204,0.173,0.758,0.00448,0.182,0.151,0.671,0.386,0.97,0.337,0.858,0.0299,0.614,0.142,0.0888,"SLV_2020"
"SLV","rural","3","all",6321042,0.0656370107356611,2020,122.93186550766,149.611114501953,607.589301125031,1239.16667175293,0.0547,0.58,0.0134,0.648,0.65,0.65,0.318,0.242,NA,0.299,0.405,0.892,0.968,0.0292,0.258,NA,NA,0.849,0.0155,0.252,0.131,0.716,0.0155,0.223,0.107,0.611,0.399,0.983,0.346,0.849,0.017,0.601,0.151,0.0814,"SLV_2020"
"SLV","rural","4","all",6321042,0.0551274138250015,2020,180.896875809957,226.666666666667,904.315004435867,2237.50002288818,0.0547,0.631,0.024,0.709,0.686,0.686,0.289,0.226,NA,0.299,0.46,0.912,0.975,0.0248,0.273,NA,NA,0.897,0.00938,0.324,0.131,0.661,0.00855,0.301,0.111,0.588,0.464,0.994,0.421,0.897,0.00593,0.536,0.103,0.0643,"SLV_2020"
"SLV","rural","5","all",6321042,0.0315565020178285,2020,354.311680657167,7400,1533.55405699238,12027.5,0.15,0.586,0.0305,0.767,0.745,0.745,0.241,0.175,NA,0.318,0.483,0.92,0.986,0.0839,0.227,NA,NA,0.894,0.0424,0.442,0.0839,0.496,0.0391,0.416,0.0738,0.438,0.569,0.981,0.529,0.894,0.0192,0.431,0.106,0.0517,"SLV_2020"
"SLV","rural","total","all",6321042,0.39224606977531,2020,100.797090409596,7400,490.381514120442,12027.5,0.063,0.57,0.0175,0.65,0.655,0.655,0.289,0.215,NA,0.316,0.377,0.87,0.943,0.0355,0.261,NA,NA,0.864,0.0125,0.26,0.15,0.699,0.0106,0.241,0.128,0.613,0.423,0.972,0.379,0.864,0.0282,0.577,0.136,0.0814,"SLV_2020"
"SLV","rural","1","female",6321042,0.0385074034233387,2020,22.5423950230599,54.6666679382324,110.815909006133,485,0.0543,0.552,0.00962,0.616,0.656,0.656,0.261,0.201,NA,0.341,0.336,0.857,0.917,0.0374,0.255,NA,NA,0.845,0.0082,0.271,0.166,0.689,0.0082,0.254,0.135,0.583,0.445,0.968,0.398,0.845,0.0319,0.555,0.155,0.0947,"SLV_2020"
"SLV","rural","2","female",6321042,0.0263810796417632,2020,75.7843590600941,100.75,372.959039489436,853.666664123535,0.0472,0.538,0.00719,0.593,0.594,0.594,0.339,0.242,NA,0.282,0.305,0.837,0.933,0.0258,0.248,NA,NA,0.869,0.0122,0.194,0.147,0.774,0.00901,0.168,0.125,0.692,0.353,0.98,0.301,0.869,0.0198,0.647,0.131,0.0819,"SLV_2020"
