"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"SUR","country","1","all",570501,2017,0.2,60.1354292580074,168.5,430.664002644387,1574,0.612,0.156,0.00793,0.775,0.767,0.767,0.187,0.133,NA,NA,NA,0.901,0.954,NA,NA,NA,NA,NA,NA,0.807,0,0.136,NA,NA,NA,NA,0.807,0.943,NA,NA,0.0572,0.193,NA,NA,"SUR_2017"
"SUR","country","2","all",570501,2017,0.2,291.770723055243,406.547619138445,1876.75647159335,4405,0.675,0.113,0.00495,0.793,0.788,0.788,0.172,0.114,NA,NA,NA,0.902,0.961,NA,NA,NA,NA,NA,NA,0.909,0,0.0758,NA,NA,NA,NA,0.909,0.985,NA,NA,0.0148,0.0906,NA,NA,"SUR_2017"
"SUR","country","3","all",570501,2017,0.2,539.013979824736,680,3148.30818261051,7885,0.716,0.11,0.00317,0.829,0.826,0.826,0.136,0.0878,NA,NA,NA,0.914,0.962,NA,NA,NA,NA,NA,NA,0.924,0,0.0532,NA,NA,NA,NA,0.924,0.977,NA,NA,0.0225,0.0758,NA,NA,"SUR_2017"
"SUR","country","4","all",570501,2017,0.2,886.284723187745,1185,4676.15884315694,10196,0.811,0.0729,0.018,0.902,0.884,0.884,0.0987,0.0641,NA,NA,NA,0.948,0.983,NA,NA,NA,NA,NA,NA,0.962,0,0.0323,NA,NA,NA,NA,0.962,0.994,NA,NA,0.00609,0.0384,NA,NA,"SUR_2017"
"SUR","country","5","all",570501,2017,0.2,2076.78926384792,28164.5998535156,8125.77861066412,55100,0.856,0.05,0.00253,0.909,0.906,0.906,0.0777,0.0513,NA,NA,NA,0.957,0.984,NA,NA,NA,NA,NA,NA,0.956,0,0.0198,NA,NA,NA,NA,0.956,0.975,NA,NA,0.0246,0.0444,NA,NA,"SUR_2017"
"SUR","country","total","all",570501,2017,1,657.541733916954,28164.5998535156,3230.6735878268,55100,0.735,0.1,0.00731,0.842,0.835,0.835,0.134,0.0899,NA,NA,NA,0.925,0.969,NA,NA,NA,NA,NA,NA,0.912,0,0.063,NA,NA,NA,NA,0.912,0.975,NA,NA,0.0248,0.0878,NA,NA,"SUR_2017"
"SUR","country","1","female",570501,2017,0.0686799355872857,68.6346734103538,168.5,488.90534088993,1574,0.555,0.216,0.022,0.793,0.771,0.771,0.178,0.144,NA,NA,NA,0.916,0.949,NA,NA,NA,NA,NA,NA,0.783,0,0.147,NA,NA,NA,NA,0.783,0.93,NA,NA,0.0697,0.217,NA,NA,"SUR_2017"
"SUR","country","2","female",570501,2017,0.0692707068657565,273.794918190965,406,1774.44664993577,3605.66674804688,0.678,0.162,0.00892,0.848,0.839,0.839,0.118,0.0657,NA,NA,NA,0.905,0.957,NA,NA,NA,NA,NA,NA,0.892,0,0.0934,NA,NA,NA,NA,0.892,0.985,NA,NA,0.0147,0.108,NA,NA,"SUR_2017"
"SUR","country","3","female",570501,2017,0.0642463748785139,531.97879294395,680,3279.67649258359,7692.16667175293,0.759,0.123,0.00946,0.892,0.882,0.882,0.0915,0.0601,NA,NA,NA,0.942,0.974,NA,NA,NA,NA,NA,NA,0.946,0,0.0358,NA,NA,NA,NA,0.946,0.982,NA,NA,0.0181,0.0539,NA,NA,"SUR_2017"
"SUR","country","4","female",570501,2017,0.0681009478406007,877.170207646986,1185,4911.58981706956,10196,0.77,0.129,0.0152,0.915,0.899,0.899,0.0869,0.0728,NA,NA,NA,0.972,0.986,NA,NA,NA,NA,NA,NA,0.971,0,0.0197,NA,NA,NA,NA,0.971,0.991,NA,NA,0.00916,0.0289,NA,NA,"SUR_2017"
