"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"TTO","country","1","all",1349667,2015,0.2,0,0,0,0,0.63,0.0471,0.00766,0.685,0.677,0.677,0.208,0.175,NA,NA,NA,0.853,0.886,NA,NA,NA,NA,NA,0.317,NA,0,0.679,NA,NA,NA,NA,0.317,0.996,NA,NA,0.0039,0.683,NA,0.003,"TTO_2015"
"TTO","country","2","all",1349667,2015,0.2,0,0,0,0,0.684,0.0611,0.00631,0.751,0.745,0.745,0.191,0.133,NA,NA,NA,0.878,0.936,NA,NA,NA,NA,NA,0.181,NA,0,0.819,NA,NA,NA,NA,0.181,1,NA,NA,0.00045,0.819,NA,3e-04,"TTO_2015"
"TTO","country","3","all",1349667,2015,0.2,830.482296859149,1400,4751.93781852264,13500,0.644,0.0563,0.0132,0.714,0.701,0.701,0.23,0.156,NA,NA,NA,0.857,0.931,NA,NA,NA,NA,NA,0.161,NA,0,0.837,NA,NA,NA,NA,0.161,0.998,NA,NA,0.0018,0.839,NA,0.00015,"TTO_2015"
"TTO","country","4","all",1349667,2015,0.2,1983.49191800715,2750,10395.815080429,29700,0.628,0.0635,0.012,0.703,0.691,0.691,0.242,0.163,NA,NA,NA,0.854,0.933,NA,NA,NA,NA,NA,0.166,NA,0,0.833,NA,NA,NA,NA,0.166,0.999,NA,NA,0.00105,0.834,NA,3e-04,"TTO_2015"
"TTO","country","5","all",1349667,2015,0.2,4571.18136031183,65000,18362.4356413962,84000,0.639,0.0453,0.0122,0.697,0.685,0.685,0.248,0.174,NA,NA,NA,0.859,0.933,NA,NA,NA,NA,NA,0.188,NA,0,0.81,NA,NA,NA,NA,0.188,0.998,NA,NA,0.00165,0.812,NA,0.00105,"TTO_2015"
"TTO","country","total","all",1349667,2015,1,1386.28211279118,65000,6441.25770917155,84000,0.645,0.0547,0.0103,0.71,0.7,0.7,0.224,0.16,NA,NA,NA,0.86,0.924,NA,NA,NA,NA,NA,0.203,NA,0,0.796,NA,NA,NA,NA,0.203,0.998,NA,NA,0.00177,0.797,NA,0.000961,"TTO_2015"
"TTO","country","1","female",1349667,2015,0.0749525472629261,0,0,0,0,0.613,0.0573,0.00956,0.68,0.67,0.67,0.222,0.192,NA,NA,NA,0.863,0.892,NA,NA,NA,NA,NA,0.343,NA,0,0.653,NA,NA,NA,NA,0.343,0.996,NA,NA,0.00398,0.657,NA,0.00358,"TTO_2015"
"TTO","country","2","female",1349667,2015,0.0710782374812119,0,0,0,0,0.693,0.0603,0.00549,0.759,0.753,0.753,0.177,0.121,NA,NA,NA,0.874,0.93,NA,NA,NA,NA,NA,0.192,NA,0,0.807,NA,NA,NA,NA,0.192,0.999,NA,NA,0.000844,0.808,NA,0.000422,"TTO_2015"
"TTO","country","3","female",1349667,2015,0.0754203034385801,756.569553398058,1400,4625.15899029126,13500,0.637,0.0575,0.00703,0.702,0.695,0.695,0.22,0.146,NA,NA,NA,0.841,0.915,NA,NA,NA,NA,NA,0.213,NA,0,0.782,NA,NA,NA,NA,0.213,0.995,NA,NA,0.00455,0.787,NA,0,"TTO_2015"
"TTO","country","4","female",1349667,2015,0.0614276139410188,1971.36263736264,2750,10739.4391707583,27000,0.656,0.0615,0.0141,0.731,0.717,0.717,0.225,0.155,NA,NA,NA,0.872,0.942,NA,NA,NA,NA,NA,0.185,NA,0,0.815,NA,NA,NA,NA,0.185,1,NA,NA,0.000484,0.815,NA,0.000484,"TTO_2015"
