"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"URY","country","1","all",3505985,0.2,2018,4956.65676760681,7900,26769.7553552058,86300,0.923,0.0188,NA,0.942,0.942,0.942,0.052,0.0501,NA,NA,NA,0.992,0.994,NA,NA,NA,NA,0.963,0.445,0.527,NA,NA,0.436,0.511,NA,NA,0.973,0.973,0.946,0.946,0.0274,0.0274,0.0536,0.124,"URY_2018"
"URY","country","2","all",3505985,0.2,2018,10173.1728423353,12500,45164.9116737977,145344,0.919,0.00624,NA,0.925,0.925,0.925,0.07,0.0683,NA,NA,NA,0.994,0.995,NA,NA,NA,NA,0.982,0.53,0.461,NA,NA,0.52,0.456,NA,NA,0.991,0.991,0.976,0.976,0.00936,0.00936,0.024,0.0373,"URY_2018"
"URY","country","3","all",3505985,0.2,2018,15167.0554114923,18333.3333333333,59556.0682607091,168400,0.931,0.00218,NA,0.933,0.933,0.933,0.0633,0.0627,NA,NA,NA,0.996,0.996,NA,NA,NA,NA,0.987,0.592,0.403,NA,NA,0.585,0.399,NA,NA,0.995,0.995,0.984,0.984,0.00506,0.00506,0.0164,0.0184,"URY_2018"
"URY","country","4","all",3505985,0.2,2018,22838.8973956473,28850,80691.859152296,214833.328125,0.949,0.000505,NA,0.949,0.949,0.949,0.0483,0.0479,NA,NA,NA,0.997,0.998,NA,NA,NA,NA,0.991,0.685,0.312,NA,NA,0.679,0.309,NA,NA,0.997,0.997,0.988,0.988,0.00305,0.00305,0.0121,0.00528,"URY_2018"
"URY","country","5","all",3505985,0.2,2018,47896.2021246535,1816916,147507.8034119,3626400,0.977,2.42e-05,NA,0.977,0.977,0.977,0.0211,0.0206,NA,NA,NA,0.998,0.999,NA,NA,NA,NA,0.995,0.809,0.19,NA,NA,0.805,0.189,NA,NA,0.999,0.999,0.994,0.994,0.00132,0.00132,0.00615,0.00202,"URY_2018"
"URY","country","total","all",3505985,1,2018,17541.6042252824,1816916,64361.0363922022,3626400,0.94,0.00555,NA,0.945,0.945,0.945,0.051,0.0499,NA,NA,NA,0.995,0.996,NA,NA,NA,NA,0.984,0.612,0.379,NA,NA,0.605,0.373,NA,NA,0.991,0.991,0.978,0.978,0.00925,0.00925,0.0225,0.0374,"URY_2018"
"URY","country","1","female",3505985,0.0973020779786945,2018,4702.45974349054,7900,25484.8931527259,81850,0.948,0.0244,NA,0.972,0.972,0.972,0.0248,0.0232,NA,NA,NA,0.996,0.997,NA,NA,NA,NA,0.961,0.487,0.48,NA,NA,0.478,0.463,NA,NA,0.967,0.967,0.94,0.94,0.0329,0.0329,0.0595,0.145,"URY_2018"
"URY","country","2","female",3505985,0.078416739086049,2018,10178.8481798042,12500,44245.1573697912,145344,0.958,0.00626,NA,0.964,0.964,0.964,0.0324,0.0308,NA,NA,NA,0.995,0.997,NA,NA,NA,NA,0.981,0.588,0.401,NA,NA,0.576,0.397,NA,NA,0.988,0.988,0.973,0.973,0.0115,0.0115,0.027,0.0458,"URY_2018"
"URY","country","3","female",3505985,0.0764028502991612,2018,15213.3681162082,18333.3333333333,58549.7943386306,168400,0.966,0.00226,NA,0.968,0.968,0.968,0.0293,0.0285,NA,NA,NA,0.997,0.998,NA,NA,NA,NA,0.986,0.643,0.353,NA,NA,0.635,0.349,NA,NA,0.996,0.996,0.984,0.984,0.00379,0.00379,0.0163,0.0203,"URY_2018"
"URY","country","4","female",3505985,0.0777404012173729,2018,22901.218426479,28850,78892.8955970627,181480,0.975,0.000123,NA,0.975,0.975,0.975,0.0225,0.022,NA,NA,NA,0.997,0.998,NA,NA,NA,NA,0.989,0.719,0.279,NA,NA,0.71,0.277,NA,NA,0.997,0.997,0.987,0.987,0.00253,0.00253,0.0132,0.00454,"URY_2018"
