"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"VEN","country","1","all",28520000,0.2,2019,21.2127795555367,70.1283178329468,138.1473048202,713.560974121094,NA,0.775,0.107,0.875,0.766,0.593,0.384,0.31,0,0.174,0.529,0.903,0.977,NA,0.174,0.412,NA,0.775,0.789,0.15,0,0.0426,0.669,0.0879,0,0.0176,0.939,0.981,0.757,0.774,0.0188,0.0615,0.226,0.0188,"VEN_2019"
"VEN","country","2","all",28520000,0.2,2019,128.396610638921,191.375732421875,759.204422402851,2641.14462280273,NA,0.752,0.163,0.898,0.75,0.621,0.369,0.311,0,0.176,0.495,0.932,0.99,NA,0.176,0.494,NA,0.813,0.832,0.12,0,0.038,0.719,0.074,0,0.0195,0.953,0.991,0.793,0.812,0.00929,0.0473,0.188,0.00881,"VEN_2019"
"VEN","country","3","all",28520000,0.2,2019,264.556932638316,353.110765729632,1395.84695260306,3797.73573303223,NA,0.776,0.133,0.894,0.781,0.625,0.36,0.303,0,0.193,0.539,0.928,0.986,NA,0.193,0.516,NA,0.844,0.841,0.112,0,0.0352,0.753,0.0723,0,0.0165,0.953,0.988,0.825,0.842,0.0121,0.0473,0.158,0.012,"VEN_2019"
"VEN","country","4","all",28520000,0.2,2019,512.194694438961,734.888346354167,2767.94997319754,8549.82400512695,NA,0.79,0.131,0.912,0.802,0.647,0.34,0.283,0,0.186,0.494,0.93,0.987,NA,0.185,0.533,NA,0.87,0.848,0.112,0,0.0322,0.775,0.0731,0,0.0204,0.961,0.993,0.848,0.869,0.00697,0.0392,0.131,0.00697,"VEN_2019"
"VEN","country","5","all",28520000,0.2,2019,1640.67817775508,54083.30078125,7122.10133700664,120245.63331604,NA,0.807,0.122,0.918,0.817,0.624,0.37,0.318,0,0.212,0.554,0.942,0.995,NA,0.21,0.552,NA,0.881,0.891,0.0868,0,0.0191,0.814,0.0562,0,0.0101,0.978,0.997,0.871,0.881,0.00319,0.0223,0.119,0.00319,"VEN_2019"
"VEN","country","total","all",28520000,1,2019,465.363210999474,54083.30078125,2231.19476059135,120245.63331604,NA,0.78,0.131,0.899,0.783,0.622,0.365,0.305,0,0.188,0.522,0.927,0.987,NA,0.187,0.501,NA,0.837,0.84,0.116,0,0.0334,0.746,0.0727,0,0.0168,0.956,0.99,0.819,0.836,0.0101,0.0435,0.164,0.00997,"VEN_2019"
"VEN","country","1","female",28520000,0.119637271841681,2019,23.2949074017148,70.0918927873884,154.108692614133,713.560974121094,NA,0.763,0.11,0.866,0.745,0.596,0.378,0.298,0,0.182,0.52,0.894,0.975,NA,0.182,0.417,NA,0.73,0.764,0.16,0,0.0501,0.625,0.0854,0,0.0192,0.924,0.975,0.71,0.729,0.0254,0.0755,0.271,0.0254,"VEN_2019"
"VEN","country","2","female",28520000,0.137497137425948,2019,128.767509526884,191.375732421875,784.80410948884,2641.14462280273,NA,0.773,0.147,0.902,0.762,0.668,0.324,0.279,0,0.184,0.501,0.947,0.992,NA,0.184,0.513,NA,0.806,0.843,0.108,0,0.0392,0.727,0.0598,0,0.0186,0.951,0.99,0.786,0.805,0.00995,0.0492,0.195,0.00923,"VEN_2019"
"VEN","country","3","female",28520000,0.132684172656307,2019,265.446498997923,353.098523457845,1416.42677886949,2971.79724121094,NA,0.765,0.14,0.892,0.767,0.619,0.367,0.306,0,0.207,0.539,0.924,0.985,NA,0.206,0.515,NA,0.836,0.841,0.112,0,0.0329,0.746,0.0719,0,0.0157,0.953,0.986,0.818,0.834,0.0143,0.0472,0.166,0.0143,"VEN_2019"
"VEN","country","4","female",28520000,0.119040365820152,2019,513.503737031317,734.803369140625,2618.4259606009,8549.82400512695,NA,0.783,0.141,0.911,0.797,0.65,0.336,0.288,0,0.185,0.475,0.938,0.986,NA,0.184,0.553,NA,0.851,0.836,0.118,0,0.0355,0.753,0.0743,0,0.0226,0.954,0.99,0.827,0.85,0.0104,0.0458,0.15,0.0104,"VEN_2019"
