ARG,BOL,BRA,CHL,COL,CRI,DOM,ECU,GTM,HND,JAM,MEX,NIC,PAN,PER,PRY,SLV,URY
ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci
ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci
ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci
ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci
nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch
idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci
idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch
pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c
factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci
factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch
sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci
edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci
raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci,raza_idioma_ci
raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci,raza_ci
jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci
id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci,id_ind_ci
id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci,id_afro_ci
edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci
zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c,zona_c
region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c,region_c
aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci,aedu_ci
ii9,s01a_10,s01007,v20,p4030s3,v11,donde_proviene_agua,vi12,p02b03,dv105,i4,disp_agua,s1p15,v1i_agua_b,t110,v06,r312,d11
iv6,s01a_10,s01007a,v21,p4030s5,v12,tiene_agua_red_publica,vi13,p02b04,dv106,i5,dotac_agua,s1p15a,v1j_ubicac,t111a,v07,r312d,d12
iv7,s01a_12,s01008,v22,p4040,v13a,tipo_sanitario,vi13a,p02b07,dv113_1,i6,excusado,s1p16,v1j1_veran,p110a1,v07a,r312h,d13
iv8,s01a_13,s01009,v23,p5020,v13b,se_encuentra_conectada_a,vi13b,p02a05a,dv113_1_b,i27,uso_compar,s1p17,v1j1_invie,p110c,v08,r313,d14
iv9,s01a_14_,s01010,v27b,p5030,v14a,,vi13c,p02a05b,dv113_2,i28,sanit_agua,s1p18,v1j2_veran,p110c1,v09,r314,d15
iv10,s01a_140,s01011a,v30b,p5050,v14b,,vi13d,p02a05e,dv113_2_b,i29,bano_comp,,v1j2_invie,p110c2,v12,r315a,d16
iv11,s01a_141,s01011b,,,,,vi14,,dv113_3,i30dy,bano_excus,,v1k_servic,p110c3,v13,r316,
,s01a_15,s01011c,,,,,vi15,,dv113_3_b,i30wk,bano_regad,,h13a_inund,p110a,,r317,
,s01a_16,s01012a,,,,,vi16,,dv113_4,i31,drenaje,,h13b_derru,p110d,,r318_1,
,s01a_17,,,,,,vi16a,,dv113_4_b,i32,biodigest,,v1l_uso_sa,p110e,,,
