ARG,BLZ,BOL,CHL,COL,CRI,DOM,ECU,SLV,GTM,HTI,JAM,MEX,PRY,PER,SUR,TTO,VEN
upm_ci,upm_ci,upm_ci,upm_ci,ylm_ch,upm,upm_ci,upm_ci,upm_ci,upm_ci,anio_c,anio_c,upm_ci,upm_ci,upm_ci,upm_ci,upm_ci,upm_ci
estrato_ci,estrato_ci,estrato_ci,estrato_ci,anio_c,ylm_ch,estrato_ci,estrato_ci,estrato_ci,estrato_ci,nmiembros_ch,aguared_ch,estrato_ci,estrato_ci,estrato_ci,estrato_ci,estrato_ci,estrato_ci
ylm_ch,ylm_ch,ylm_ch,ylm_ch,aguared_ch,anio_c,ylm_ch,ylm_ch,ylm_ch,ylm_ch,idp_ci,aguamala_ch,ylm_ch,ylm_ch,ylm_ch,ylm_ch,ylm_ch,ylm_ch
anio_c,anio_c,anio_c,anio_c,aguamala_ch,aguared_ch,anio_c,anio_c,anio_c,anio_c,idh_ch,aguadist_ch,anio_c,anio_c,anio_c,anio_c,anio_c,anio_c
aguared_ch,aguared_ch,aguared_ch,aguared_ch,aguadist_ch,aguamala_ch,aguared_ch,aguared_ch,aguared_ch,aguared_ch,pais_c,ylm_ci,aguared_ch,aguared_ch,aguared_ch,aguared_ch,aguared_ch,aguared_ch
aguamala_ch,aguamala_ch,aguamala_ch,aguamala_ch,ylm_ci,aguadist_ch,aguamala_ch,aguamala_ch,aguamala_ch,aguamala_ch,factor_ci,ylnm_ci,aguamala_ch,aguamala_ch,aguamala_ch,aguamala_ch,aguamala_ch,aguamala_ch
aguadist_ch,aguadist_ch,aguadist_ch,aguadist_ch,ylnm_ci,ylm_ci,aguadist_ch,aguadist_ch,aguadist_ch,aguadist_ch,factor_ch,ynlm_ci,aguadist_ch,aguadist_ch,aguadist_ch,aguadist_ch,aguadist_ch,aguadist_ch
ylm_ci,ylm_ci,ylm_ci,ylm_ci,ynlm_ci,ylnm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,sexo_ci,ynlnm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci,ylm_ci
ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ynlnm_ci,ynlm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,edad_ci,nmiembros_ch,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci,ylnm_ci
ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,nmiembros_ch,ynlnm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,jefe_ci,idp_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci,ynlm_ci
ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,idp_ci,nmiembros_ch,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,edad_ci,idh_ch,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci,ynlnm_ci
nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,idh_ch,idp_ci,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,zona_c,pais_c,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch,nmiembros_ch
idp_ci,idp_ci,idp_ci,idp_ci,pais_c,idh_ch,idp_ci,idp_ci,idp_ci,idp_ci,region_c,factor_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci,idp_ci
idh_ch,idh_ch,idh_ch,idh_ch,factor_ci,pais_c,idh_ch,idh_ch,idh_ch,idh_ch,aedu_ci,factor_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch,idh_ch
pais_c,pais_c,pais_c,pais_c,factor_ch,factor_ci,pais_c,pais_c,pais_c,pais_c,sh101,sexo_ci,pais_c,pais_c,pais_c,pais_c,pais_c,pais_c
factor_ci,factor_ci,factor_ci,factor_ci,sexo_ci,factor_ch,factor_ci,factor_ci,factor_ci,factor_ci,sh102,edad_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci,factor_ci
factor_ch,factor_ch,factor_ch,factor_ch,edad_ci,sexo_ci,factor_ch,factor_ch,factor_ch,factor_ch,hv201a,jefe_ci,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch,factor_ch
sexo_ci,sexo_ci,sexo_ci,sexo_ci,jefe_ci,edad_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,hv204,edad_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci,sexo_ci
edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,jefe_ci,edad_ci,edad_ci,edad_ci,edad_ci,hv205,zona_c,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci
jefe_ci,jefe_ci,jefe_ci,jefe_ci,zona_c,edad_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,hv225,region_c,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci,jefe_ci
edad_ci,edad_ci,edad_ci,edad_ci,region_c,zona_c,edad_ci,edad_ci,edad_ci,edad_ci,hv230b,aedu_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci,edad_ci
